breach_date,org_name,in_essay3_sample,filing_date,days_from_t0,form,items,accession,primary_doc,filer_vintage,text_on_disk
2020-04-15,Sprint,1,2020-04-16,1,8-K,5.02,0001193125-20-109354,d883806d8k.htm,T-Mobile US,38_1283699_0001193125-20-109354_d883806d8k.htm
2020-08-27,"T-Mobile US, Inc.",1,2020-11-12,77,8-K,5.02,0001193125-20-291827,d94439d8k.htm,T-Mobile US,
2020-08-31,T-Mobile,1,2020-11-12,73,8-K,5.02,0001193125-20-291827,d94439d8k.htm,T-Mobile US,
2021-01-18,T-Mobile,1,2021-06-24,157,8-K,"5.02,7.01,9.01",0001193125-21-198692,d165204d8k.htm,T-Mobile US,
2021-01-18,T-Mobile,1,2021-04-12,84,8-K,"5.02,7.01,8.01,9.01",0001193125-21-113210,d910799d8k.htm,T-Mobile US,40_1283699_0001193125-21-113210_d910799d8k.htm
2021-01-18,T-Mobile,1,2021-03-10,51,8-K,5.02,0001193125-21-076354,d152529d8k.htm,T-Mobile US,41_1283699_0001193125-21-076354_d152529d8k.htm
2021-02-12,"T-Mobile USA, Inc.",1,2021-06-24,132,8-K,"5.02,7.01,9.01",0001193125-21-198692,d165204d8k.htm,T-Mobile US,
2021-02-12,"T-Mobile USA, Inc.",1,2021-04-12,59,8-K,"5.02,7.01,8.01,9.01",0001193125-21-113210,d910799d8k.htm,T-Mobile US,40_1283699_0001193125-21-113210_d910799d8k.htm
2021-02-12,"T-Mobile USA, Inc.",1,2021-03-10,26,8-K,5.02,0001193125-21-076354,d152529d8k.htm,T-Mobile US,41_1283699_0001193125-21-076354_d152529d8k.htm
2021-02-20,T-Mobile,1,2021-06-24,124,8-K,"5.02,7.01,9.01",0001193125-21-198692,d165204d8k.htm,T-Mobile US,
2021-02-20,T-Mobile,1,2021-04-12,51,8-K,"5.02,7.01,8.01,9.01",0001193125-21-113210,d910799d8k.htm,T-Mobile US,40_1283699_0001193125-21-113210_d910799d8k.htm
2021-02-20,T-Mobile,1,2021-03-10,18,8-K,5.02,0001193125-21-076354,d152529d8k.htm,T-Mobile US,41_1283699_0001193125-21-076354_d152529d8k.htm
2021-03-01,"T-Mobile USA, Inc.",1,2021-06-24,115,8-K,"5.02,7.01,9.01",0001193125-21-198692,d165204d8k.htm,T-Mobile US,
2021-03-01,"T-Mobile USA, Inc.",1,2021-04-12,42,8-K,"5.02,7.01,8.01,9.01",0001193125-21-113210,d910799d8k.htm,T-Mobile US,40_1283699_0001193125-21-113210_d910799d8k.htm
2021-03-01,"T-Mobile USA, Inc.",1,2021-03-10,9,8-K,5.02,0001193125-21-076354,d152529d8k.htm,T-Mobile US,41_1283699_0001193125-21-076354_d152529d8k.htm
2021-03-31,T-Mobile,1,2021-09-16,169,8-K,"5.02,7.01,9.01",0001193125-21-275230,d234276d8k.htm,T-Mobile US,
2021-03-31,T-Mobile,1,2021-06-24,85,8-K,"5.02,7.01,9.01",0001193125-21-198692,d165204d8k.htm,T-Mobile US,
2021-03-31,T-Mobile,1,2021-04-12,12,8-K,"5.02,7.01,8.01,9.01",0001193125-21-113210,d910799d8k.htm,T-Mobile US,40_1283699_0001193125-21-113210_d910799d8k.htm
2021-08-13,"T-Mobile USA, Inc.",1,2021-09-16,34,8-K,"5.02,7.01,9.01",0001193125-21-275230,d234276d8k.htm,T-Mobile US,
2021-08-17,T-Mobile USA,1,2021-09-16,30,8-K,"5.02,7.01,9.01",0001193125-21-275230,d234276d8k.htm,T-Mobile US,
2021-08-26,T-Mobile USA,1,2021-09-16,21,8-K,"5.02,7.01,9.01",0001193125-21-275230,d234276d8k.htm,T-Mobile US,
2022-03-08,T-Mobile,1,2022-04-22,45,8-K,5.02,0001193125-22-115091,d328570d8k.htm,T-Mobile US,
2022-11-25,T-Mobile USA,1,2023-03-10,105,8-K,5.02,0001193125-23-066908,d381908d8k.htm,T-Mobile US,
2022-11-25,T-Mobile USA,1,2023-02-13,80,8-K,5.02,0001193125-23-035719,d445719d8k.htm,T-Mobile US,
2022-11-25,T-Mobile USA,1,2023-02-03,70,8-K,5.02,0001193125-23-024130,d634006d8k.htm,T-Mobile US,42_1283699_0001193125-23-024130_d634006d8k.htm
2023-02-01,"T-Mobile USA, Inc.",1,2023-07-20,169,8-K,"5.02,7.01,9.01",0001193125-23-190499,d372769d8k.htm,T-Mobile US,
2023-02-01,"T-Mobile USA, Inc.",1,2023-07-11,160,8-K,5.02,0001193125-23-185341,d506777d8k.htm,T-Mobile US,
2023-02-01,"T-Mobile USA, Inc.",1,2023-06-21,140,8-K,"5.02,5.07,9.01",0001193125-23-171171,d526068d8k.htm,T-Mobile US,
2023-02-01,"T-Mobile USA, Inc.",1,2023-03-10,37,8-K,5.02,0001193125-23-066908,d381908d8k.htm,T-Mobile US,
2023-02-01,"T-Mobile USA, Inc.",1,2023-02-13,12,8-K,5.02,0001193125-23-035719,d445719d8k.htm,T-Mobile US,
2023-02-01,"T-Mobile USA, Inc.",1,2023-02-03,2,8-K,5.02,0001193125-23-024130,d634006d8k.htm,T-Mobile US,42_1283699_0001193125-23-024130_d634006d8k.htm
2023-02-24,T-Mobile,1,2023-07-20,146,8-K,"5.02,7.01,9.01",0001193125-23-190499,d372769d8k.htm,T-Mobile US,
2023-02-24,T-Mobile,1,2023-07-11,137,8-K,5.02,0001193125-23-185341,d506777d8k.htm,T-Mobile US,
2023-02-24,T-Mobile,1,2023-06-21,117,8-K,"5.02,5.07,9.01",0001193125-23-171171,d526068d8k.htm,T-Mobile US,
2023-02-24,T-Mobile,1,2023-03-10,14,8-K,5.02,0001193125-23-066908,d381908d8k.htm,T-Mobile US,
2023-04-28,T-Mobile USA,1,2023-09-08,133,8-K,5.02,0001193125-23-231377,d551212d8k.htm,T-Mobile US,
2023-04-28,T-Mobile USA,1,2023-07-20,83,8-K,"5.02,7.01,9.01",0001193125-23-190499,d372769d8k.htm,T-Mobile US,
2023-04-28,T-Mobile USA,1,2023-07-11,74,8-K,5.02,0001193125-23-185341,d506777d8k.htm,T-Mobile US,
2023-04-28,T-Mobile USA,1,2023-06-21,54,8-K,"5.02,5.07,9.01",0001193125-23-171171,d526068d8k.htm,T-Mobile US,
