org_name,final_grade,n,cik,evidence
ATT-Breach Notification,VERIFIED-GATE1,2,732717.0,"Gate1-G rescue: artifact-name record, AT&T equity (same class as ATT-SecurityBreach)"
ATT-SecurityBreach,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
ATT-SecurityBreach2,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Activision Publishing, Inc.",VERIFIED,2,1870564.0,"EDGAR name: ACTIVISION PUBLISHING, INC."
Adobe Systems Incorporated,VERIFIED-GATE1,3,796343.0,Gate1-A (ADBE)
"Advanced Mobile Notary, LLC",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Aero Charter, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
AeroGrow International,VERIFIED-GATE1,1,1316644.0,Gate1-D exception: SEC-verified operating registrant (10-Ks 2008-2020); legacy AIG carried American International Group returns
"AeroGrow International, Inc.",VERIFIED-GATE1,1,1316644.0,Gate1-D exception: SEC-verified operating registrant (10-Ks 2008-2020); legacy AIG carried American International Group returns
Aladdin Capital,EXCLUDED-PRIVATE,1,,Gate1-D: private; legacy COF was noise
"Allied-Locke Industries, Inc.",EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Alpha & Omega Semiconductor,VERIFIED,1,1387467.0,EDGAR name: ALPHA & OMEGA SEMICONDUCTOR LTD
Altice USA,VERIFIED,2,1702780.0,"EDGAR name: ALTICE USA, INC."
"Altice USA, Inc.",VERIFIED,1,1702780.0,"EDGAR name: ALTICE USA, INC."
"Altria Group, Inc.",VERIFIED,1,764180.0,EDGAR name: ALTRIA GROUP INC
Amadas Industries,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"American Alarm & Communications, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
American Electric Power,VERIFIED-GATE1,2,4904.0,Gate1-A (AEP)
Ametros Financial Corporation,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Amgen Inc.,VERIFIED,2,318154.0,EDGAR name: AMGEN INC
Amphenol Canada Corporation,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Aon Corporation,VERIFIED-GATE1,1,315293.0,"Gate1-A (plain-name record, pre-redomiciliation registrant)"
Aon Corporation PLC,VERIFIED-GATE1,1,1808065.0,Gate1-B: Ireland redomiciliation entity
Aon PLC,VERIFIED-GATE1,1,1808065.0,Gate1-B: Ireland redomiciliation entity
Apple Inc.,VERIFIED,7,320193.0,EDGAR name: APPLE COMPUTER INC
Ariel Corporation,VERIFIED,1,911167.0,EDGAR name: ARIEL CORP
Arx Capital LLC,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Audacy, Inc",VERIFIED-GATE1,1,1067837.0,"Gate1-A: formerly Entercom, active registrant"
"Automatic Data Processing, Inc.",VERIFIED,1,8670.0,EDGAR name: AUTOMATIC DATA PROCESSING INC
B Capital Group,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
BBB Industries LLC,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"BBC Industries, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"BDP International, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Block Electric Company, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Block Inc,VERIFIED,1,1512673.0,"EDGAR name: BLOCK, INC."
"Block and Company, Inc.",VERIFIED-REASONING,3,1512673.0,SEC EDGAR: Block Inc. (formerly Square Inc.) CIK 1512673 verified. Name changed Dec 2021 | EDGAR-confirmed
"Block, Inc.",VERIFIED,1,1512673.0,"EDGAR name: BLOCK, INC."
"Bonland Industries, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Boost Mobile,VERIFIED-GATE1,1,101830.0,"Gate1-F: Sprint-era equity (SEC-verified: SPRINT LLC fka SPRINT CORP/NEXTEL, 10-Ks 2014-2019)"
"Bray International, Inc.",EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Brown Construction Services, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Brown Integrated Logistics, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Brown Paindiris & Scott, LLP",EXCLUDED-UNRESOLVED,3,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Brown, Lisle/Cummings, Inc.",VERIFIED,1,14745.0,"EDGAR name: BROWN, LISLE/CUMMINGS, INC."
Brown-Forman Corporation,VERIFIED,1,14693.0,EDGAR name: BROWN FORMAN CORP
"Burrelles Information Services, LLC",EXCLUDED-UNRESOLVED,3,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"CBD Industries, LLC",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
CLAS Information Services,EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"CM Group Holdings, Inc. d/b/a Creative Memories",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"CSI Financial Services, LLC",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
CSX Transportation,VERIFIED,3,88128.0,EDGAR name: CSX TRANSPORTATION INC
"CSX Transportation, Inc.",VERIFIED,4,88128.0,EDGAR name: CSX TRANSPORTATION INC
CWGS Group,VERIFIED-GATE1,3,1669779.0,Gate1-G rescue: Camping World Holdings (EDGAR-verified: CWGS Holding LLC 1683140 files nothing; CWH is reporting entity)
"Cable One, Inc.",VERIFIED,4,1632127.0,"EDGAR name: CABLE ONE, INC."
"Caesars Entertainment, Inc.",VERIFIED-GATE1,2,1590895.0,Gate1-B: CZR Eldorado-merger entity
"Capital Asset Management Group, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Capital Brands Distribution, LLC",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Capital Integration Systems LLC,VERIFIED,1,1497060.0,EDGAR name: CAPITAL INTEGRATION SYSTEMS LLC
Capital Lumber Company,EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Carnival Corporation,VERIFIED-GATE1,2,815097.0,Gate1-A (CCL)
Carnival Corporation & PLC,VERIFIED,2,1125259.0,EDGAR name: CARNIVAL PLC
Carnival Corporation & plc,VERIFIED,1,1125259.0,EDGAR name: CARNIVAL PLC
"Cencora, Inc.",VERIFIED,57,1140859.0,EDGAR name: AMERISOURCE BERGEN CORP
Centene Management Corporation,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Centerline Communications, LLC",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Centerstone Insurance and Financial Services,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
CenturyLink,VERIFIED,4,18926.0,EDGAR name: CENTURY TELEPHONE ENTERPRISES INC
CenturyLink Communications,VERIFIED-GATE1,2,18926.0,Gate1-G rescue: CenturyLink/Lumen parent (Form 499 relevant carrier) (ticker LUMN -> CIK 18926)
Centurylink Communications,VERIFIED-GATE1,1,18926.0,Gate1-G rescue: CenturyLink/Lumen parent (Form 499 relevant carrier) (ticker LUMN -> CIK 18926)
Change Healthcare Inc.,VERIFIED-GATE1,1,731766.0,Gate1-C: UnitedHealth parent post-10/2022 acquisition; legacy GEHC was fuzzy error
"Chart Industries, Inc.",VERIFIED,1,892553.0,EDGAR name: CHART INDUSTRIES INC
Charter Communication,VERIFIED-GATE1,1,1091667.0,Gate1-C: traded registrant via ticker (ticker CHTR -> CIK 1091667)
Charter Communications,VERIFIED-GATE1,2,1091667.0,Gate1-C: traded registrant via ticker (ticker CHTR -> CIK 1091667)
"Charter Communications, Inc.",VERIFIED-GATE1,5,1091667.0,Gate1-C: traded registrant via ticker (ticker CHTR -> CIK 1091667)
"Charter Next Generation, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Christensen Oâ€™Connor Johnson Kindness PLLC,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Cintas Corporation,VERIFIED,1,723254.0,EDGAR name: CINTAS CORP
"Cisco Systems, Inc.",VERIFIED,2,858877.0,EDGAR name: CISCO SYSTEMS INC
Citrix,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Citrix Systems,VERIFIED,2,877890.0,EDGAR name: CITRIX SYSTEMS INC
Citrix Systems Inc.,VERIFIED,2,877890.0,EDGAR name: CITRIX SYSTEMS INC
"Citrix Systems, Inc.",VERIFIED,2,877890.0,EDGAR name: CITRIX SYSTEMS INC
"Cleo Communications US, LLC",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Coca-Cola Bottling Company of Northern New England,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Cognizant Technology Solutions Corporation,VERIFIED,1,1058290.0,EDGAR name: COGNIZANT TECHNOLOGY SOLUTIONS CORP
Comcast,VERIFIED-GATE1,4,1166691.0,Gate1-A: 2002 AT&T-Comcast merger entity IS Comcast Corp; 22301 pre-2002
Comcast Cable Communications LLC,VERIFIED,12,1040573.0,EDGAR name: COMCAST CABLE COMMUNICATIONS INC
"Comcast Cable Communications, Inc.",VERIFIED,2,1040573.0,EDGAR name: COMCAST CABLE COMMUNICATIONS INC
Communications & Power Industries LLC,VERIFIED,1,1000564.0,EDGAR name: COMMUNICATIONS & POWER INDUSTRIES INC
Consolidated Edison Company of New York LLC,VERIFIED,2,23632.0,EDGAR name: CONSOLIDATED EDISON CO OF NEW YORK INC
"Corebridge Financial, Inc.",VERIFIED,1,1889539.0,"EDGAR name: COREBRIDGE FINANCIAL, INC."
Cornerstone Healthcare Group Management Services LLC,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Corteva Agriscience,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Costco Photo Center,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Cricket Wireless LLC,ADJUDICATED,2,732717.0,AT&T Inc. — Cricket Communications FRN 0004321139; LLC variant; 7/28 adjudication
CrowdStrike Holdings Inc.,VERIFIED,1,1535527.0,"EDGAR name: CROWDSTRIKE HOLDINGS, INC."
"CrowdStrike Holdings, Inc.",VERIFIED,1,1535527.0,"EDGAR name: CROWDSTRIKE HOLDINGS, INC."
Crown Castle,VERIFIED,2,1051470.0,EDGAR name: CROWN CASTLE INC.
"CyrusOne, Inc.",VERIFIED-GATE1,1,1553023.0,"Gate1-C: CYRUSONE INC. via EDGAR names (CONE delisted 2022, ticker-file fallback documented)"
DC Group,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
DISH Network Corporation,VERIFIED-GATE1,1,1001082.0,Gate1-A (DISH equity; 920436 is operating LLC)
DISH Network L.L.C.,VERIFIED-GATE1,1,1001082.0,Gate1-A (DISH equity; 920436 is operating LLC)
"DISH Network, LLC",VERIFIED-GATE1,6,1001082.0,Gate1-A (DISH equity; 920436 is operating LLC)
"Defender Industries, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Dell Inc.,VERIFIED,1,826083.0,EDGAR name: DELL COMPUTER CORP
"Delta Air Lines, Inc.",VERIFIED,2,27904.0,EDGAR name: DELTA AIR LINES INC /DE/
Delta Global Services,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Deluxe Corporation,VERIFIED-GATE1,1,27996.0,Gate1-A (DLX); legacy IDEX ticker was fuzzy noise
"Derby Industries, LLC",EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"DiGiovine, Hnilo, Jordan + Johnson Ltd",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Disney Consumer Products and Interactive Media,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
DoorDash Inc.,VERIFIED,1,1792789.0,EDGAR name: DOORDASH INC
Doubletree Suites by Hilton Walt Disney World,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Duke Energy,VERIFIED-GATE1,1,1326160.0,Gate1-A (DUK 2006 holdco; 30371 is Carolinas utility sub)
Duke Energy Corporation,VERIFIED-GATE1,2,1326160.0,Gate1-A (DUK 2006 holdco; 30371 is Carolinas utility sub)
"Dulany Industries, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Dynapar Corporation,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
E.W. Wylie Corporation,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"EBSCO Industries, Inc.",EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
EMC Corporation,VERIFIED,1,790070.0,EDGAR name: EMC CORP
EMJ Corporation,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Eagle Capital Management, LLC",EXCLUDED-PRIVATE,1,,Gate1-D: private; legacy COF was noise
EatStreet,VERIFIED,1,1560142.0,"EDGAR name: EATSTREET, INC."
Ensinger Industries Inc.,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Ensinger Industries, Inc.",EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Entercom Communications Corp.,VERIFIED,1,1067837.0,"EDGAR name: AUDACY, INC."
"Equifax, Inc.",VERIFIED,1,33185.0,EDGAR name: EQUIFAX INC
"Essex Property Trust, Inc.",VERIFIED,1,920522.0,EDGAR name: ESSEX PORTFOLIO LP
Evening Post Industries,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Evening Telegram Company d/b/a Morgan Murphy Media,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
FGX International Inc.,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Facebook,VERIFIED,3,1326801.0,EDGAR name: FACEBOOK INC
"Facebook, Inc.",VERIFIED,1,1326801.0,EDGAR name: FACEBOOK INC
"FedEx Ground Package System, Inc.",VERIFIED-GATE1,1,1048911.0,"Gate1-C: wholly owned subsidiary, parent-mapped (ticker FDX -> CIK 1048911)"
Festo Corporation,EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Fidelity National Information Services, Inc.",VERIFIED-GATE1,21,1136893.0,Gate1-A (FIS; Certegy renamed 2006 - legitimately FIS despite sink history)
Fidelity National Technology Imaging (FNTI),EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Financial Business and Consumer Solutions, Inc.",EXCLUDED-UNRESOLVED,15,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Financial Institution Service Corporation,EXCLUDED-UNRESOLVED,9,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Financial Risk Mitigation, Inc.",EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
First American Financial Corporation,VERIFIED-GATE1,2,1472787.0,Gate1-B (FAF post-2010 spinoff; ex-placeholder victim of PNC sink)
Fiserv,VERIFIED,2,798354.0,EDGAR name: FISERV INC
"Fiserv, Inc.",VERIFIED,2,798354.0,EDGAR name: FISERV INC
Fluke Corporation,VERIFIED,2,37743.0,EDGAR name: FLUKE CORP
Flutter International Inc.,EXCLUDED-NO-US-LISTING,2,,Gate1-G: pre-US-listing
"Focus Medical Communications, LLC",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Forum Communications Company,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Fox Entertainment Group,AMBIGUOUS,1,,"Candidates: 1068002 (FOX ENTERTAINMENT GROUP INC) | 1321244 (FOX ENTERTAINMENT GROUP, INC.) || legacy ticker: FOXA"
Fox Entertainment Group Inc.,AMBIGUOUS,1,,"Candidates: 1068002 (FOX ENTERTAINMENT GROUP INC) | 1321244 (FOX ENTERTAINMENT GROUP, INC.) || legacy ticker: FOXA"
Fox Group,VERIFIED,1,1145813.0,EDGAR name: FOX GROUP INC
Fox News LLC,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Franklin International,EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Freedom Financial Network, LLC",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Freeport-McMoRan Inc.,VERIFIED-GATE1,1,831259.0,Gate1-A (FCX)
Frontier Communications,VERIFIED,1,20520.0,EDGAR name: CITIZENS COMMUNICATIONS CO
"Frontier Communications Parent, Inc.",VERIFIED,13,20520.0,EDGAR name: CITIZENS COMMUNICATIONS CO
GC Services,EXCLUDED-UNRESOLVED,4,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"GIGAFLIGHT Connectivity, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Gallagher NAC,VERIFIED-GATE1,4,354190.0,Gate1-G rescue: Arthur J. Gallagher subsidiary; legacy 354190 was right (ticker AJG -> CIK 354190)
Gates Corporation,VERIFIED,3,1516658.0,EDGAR name: GATES CORP
General Dynamics Information Technology,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"General Mills, Inc.",VERIFIED,1,40704.0,EDGAR name: GENERAL MILLS INC
"Georgetown Capital Group, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Global Payments Inc.,VERIFIED,1,1123360.0,EDGAR name: GLOBAL PAYMENTS INC
"Global Payments, Inc.",VERIFIED,1,1123360.0,EDGAR name: GLOBAL PAYMENTS INC
GoDaddy,VERIFIED-GATE1,1,1609711.0,Gate1-G rescue: GoDaddy Inc post-4/2015 IPO (Form 499 relevant)
GoDaddy.com,EXCLUDED-PRE-IPO,2,,Gate1-G: pre-IPO
GoDaddy.com LLC,VERIFIED-GATE1,2,1609711.0,Gate1-G rescue: GoDaddy Inc post-4/2015 IPO (Form 499 relevant)
"GoDaddy.com, LLC",VERIFIED-GATE1,5,1609711.0,Gate1-G rescue: GoDaddy Inc post-4/2015 IPO (Form 499 relevant)
Google,VERIFIED-GATE1,1,1652044.0,Gate1-B: Alphabet Inc (ticker GOOGL)
Google Inc.,VERIFIED-GATE1,5,1652044.0,Gate1-B: Alphabet Inc (ticker GOOGL)
"Google, Inc.",VERIFIED-GATE1,2,1288776.0,Gate1-B: Google Inc IPO registrant
"Grand River Capital, LLC",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Gray Television,VERIFIED,1,43196.0,EDGAR name: GRAY COMMUNICATIONS SYSTEMS INC /GA/
Gray Television Inc,VERIFIED,1,43196.0,EDGAR name: GRAY COMMUNICATIONS SYSTEMS INC /GA/
"Gray Television, Inc.",VERIFIED,3,43196.0,EDGAR name: GRAY COMMUNICATIONS SYSTEMS INC /GA/
"Gray, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"HBP, Inc.",VERIFIED,1,1168812.0,EDGAR name: HBP INC
HP Enterprise Services,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
HP Enterprise Services LLC,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"HP Enterprise Services, LLC",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"HTI Technology & Industries, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Harrison, Mauro & Morgan, P.A.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Healthcare Fiscal Management, Inc.",EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Henry Schein, Inc.",VERIFIED,3,1000228.0,EDGAR name: HENRY SCHEIN INC
"Herbalife International of America, Inc.",VERIFIED,2,1205274.0,EDGAR name: HERBALIFE INTERNATIONAL OF AMERICA INC
Hershey Entertainment & Resorts Company,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Hewlett Packard Company,VERIFIED,1,47217.0,EDGAR name: HEWLETT PACKARD CO
Hewlett Packard Enterprise Company,VERIFIED,2,1645590.0,EDGAR name: HEWLETT PACKARD ENTERPRISE CO
Hewlett-Packard Company,VERIFIED,4,47217.0,EDGAR name: HEWLETT PACKARD CO
Holden International,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Home Box Office,VERIFIED,1,1457937.0,"EDGAR name: HOME BOX OFFICE, INC."
"Home Box Office, Inc.",VERIFIED,4,1457937.0,"EDGAR name: HOME BOX OFFICE, INC."
Honeywell International Inc.,VERIFIED,3,773840.0,EDGAR name: ALLIED SIGNAL INC
"Honeywell International, Inc.",VERIFIED,2,773840.0,EDGAR name: ALLIED SIGNAL INC
Horizon Healthcare RCM,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Hoya Optical Labs of America, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
Huntington Hospitality Financial Services Corp,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"Huntington Ingalls Industries, Inc.",VERIFIED,1,1501585.0,"EDGAR name: HUNTINGTON INGALLS INDUSTRIES, INC."
Huntwood Industries,EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
IBM,VERIFIED-GATE1,2,51143.0,Gate1-G rescue: acronym defeated exact match; documented acronym mapping (ticker IBM -> CIK 51143)
