Case,Group,CIK,Row 1,Row 2,Days apart,Same normalized name,Detail 1,Detail 2,PROPOSED,Rule,involves_treated
ADJ-02,adjacent-date pair,20520,"Frontier Communications Parent, Inc. | 2024-04-13 | type=HACK | rec=2 | CAR=3.5229 | fcc=1","Frontier Communications Parent, Inc. | 2024-04-14 | type=HACK | rec=3 | CAR=3.9861 | fcc=1",1,True,"The Maine Office of the Attorney General reported a data breach involving Frontier Communications Parent, Inc.","The Vermont Office of the Attorney General reported that Frontier Communications Parent, Inc. experienced a da",COLLAPSE (proposed),"T-Mobile 8/17-8/18 / FIS 10-04:10-06 precedent: same firm, same type, <=3 days = near-duplicate refiling",True
ADJ-15,adjacent-date pair,896878,Intuit Inc. | 2016-03-01 | type=HACK | rec=161272 | CAR=-1.1849 | fcc=0,Intuit Inc | 2016-03-03 | type=INSD | rec=90990 | CAR=-0.8039 | fcc=0,2,True,"The Maryland Office of the Attorney General reported on March 9, 2016, that Intuit Inc. experienced multiple u",The Massachusetts Office of Consumer Affairs and Business Regulation reported that Intuit Inc experienced a da,FLAG - REVIEW,Same firm <=3 days but different breach types; could be distinct events,False
ADJ-16,adjacent-date pair,896878,"Intuit, Inc. | 2016-03-07 | type=HACK | rec=57 | CAR=-0.4628 | fcc=0",Intuit Inc | 2016-03-08 | type=INSD | rec=32 | CAR=-0.6379 | fcc=0,1,True,"The New Hampshire Attorney General's Office reported on April 1, 2016, that Intuit Inc. experienced unauthoriz","On March 8, 2016, the Indiana Office of the Attorney General reported a data breach involving Intuit Inc., aff",FLAG - REVIEW,Same firm <=3 days but different breach types; could be distinct events,False
ADJ-17,adjacent-date pair,896878,Intuit Inc | 2016-03-08 | type=INSD | rec=32 | CAR=-0.6379 | fcc=0,Intuit | 2016-03-09 | type=HACK | rec=19 | CAR=-2.742 | fcc=0,1,True,"On March 8, 2016, the Indiana Office of the Attorney General reported a data breach involving Intuit Inc., aff","On March 9, 2016, the Massachusetts Office of Consumer Affairs and Business Regulation reported that Intuit ex",FLAG - REVIEW,Same firm <=3 days but different breach types; could be distinct events,False
ADJ-18,adjacent-date pair,896878,Intuit Inc. | 2016-03-22 | type=HACK | rec=182 | CAR=-2.4031 | fcc=0,"Intuit, Inc. | 2016-03-23 | type=HACK | rec=185 | CAR=-2.0225 | fcc=0",1,True,"The Indiana Office of the Attorney General reported a data breach involving Intuit Inc on April 28, 2016. The ","On April 28, 2016, the New Hampshire Attorney General's Office was notified by Intuit Inc. of a data breach in",COLLAPSE (proposed),"T-Mobile 8/17-8/18 / FIS 10-04:10-06 precedent: same firm, same type, <=3 days = near-duplicate refiling",False
ADJ-19,adjacent-date pair,896878,Intuit Inc | 2016-03-29 | type=HACK | rec=903 | CAR=-1.9936 | fcc=0,Intuit Inc. | 2016-04-01 | type=HACK | rec=829 | CAR=-1.4841 | fcc=0,3,True,"The Indiana Office of the Attorney General reported a data breach involving Intuit Inc on October 17, 2016. Th","The Maryland Office of the Attorney General reported a data breach involving Intuit Inc. on June 13, 2016. The",COLLAPSE (proposed),"T-Mobile 8/17-8/18 / FIS 10-04:10-06 precedent: same firm, same type, <=3 days = near-duplicate refiling",False
ADJ-20,adjacent-date pair,896878,Intuit | 2016-04-29 | type=HACK | rec=621 | CAR=3.9436 | fcc=0,Intuit Inc. | 2016-05-02 | type=HACK | rec=2402 | CAR=4.7786 | fcc=0,3,True,The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving Intuit o,"On May 26, 2016, the Indiana Office of the Attorney General reported a data breach involving Intuit Inc. that ",COLLAPSE (proposed),"T-Mobile 8/17-8/18 / FIS 10-04:10-06 precedent: same firm, same type, <=3 days = near-duplicate refiling",False
ADJ-21,adjacent-date pair,896878,Intuit | 2017-01-27 | type=HACK | rec=140 | CAR=2.9495 | fcc=0,Intuit Inc. | 2017-01-30 | type=HACK | rec=5869 | CAR=2.5857 | fcc=0,3,True,The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving Intuit o,"The Indiana Office of the Attorney General reported that Intuit Inc experienced a data breach on January 30, 2",FLAG - REVIEW,Same name/type but records differ >10x; possibly distinct incidents,False
ADJ-22,adjacent-date pair,896878,Intuit | 2017-02-28 | type=HACK | rec=11 | CAR=-5.068 | fcc=0,"Intuit, Inc. | 2017-03-02 | type=HACK | rec=145 | CAR=-2.6336 | fcc=0",2,True,"The Montana Department of Justice reported a data breach involving Intuit that occurred between February 28, 2","The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving Intuit, ",FLAG - REVIEW,Same name/type but records differ >10x; possibly distinct incidents,False
ADJ-23,adjacent-date pair,896878,"Intuit, Inc. | 2017-04-02 | type=HACK | rec=92 | CAR=8.5286 | fcc=0",Intuit | 2017-04-04 | type=HACK | rec=12 | CAR=8.2349 | fcc=0,2,True,"The Indiana Office of the Attorney General reported that IntuitInc experienced a data breach on April 2, 2017,",The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving Intuit o,COLLAPSE (proposed),"T-Mobile 8/17-8/18 / FIS 10-04:10-06 precedent: same firm, same type, <=3 days = near-duplicate refiling",False
ADJ-24,adjacent-date pair,896878,Intuit Inc | 2017-04-17 | type=HACK | rec=56 | CAR=14.5257 | fcc=0,Intuit Inc. | 2017-04-19 | type=HACK | rec=14592 | CAR=13.945 | fcc=0,2,True,"The Indiana Office of the Attorney General reported that Intuit Inc experienced a data breach on April 17, 201","The Indiana Office of the Attorney General reported that Intuit Inc experienced a data breach on April 19, 201",FLAG - REVIEW,Same name/type but records differ >10x; possibly distinct incidents,False
ADJ-25,adjacent-date pair,896878,"Intuit, Inc. | 2017-07-30 | type=HACK | rec=213487 | CAR=3.7955 | fcc=0",Intuit Inc. | 2017-08-01 | type=HACK | rec=67 | CAR=2.2721 | fcc=0,2,True,"The Indiana Office of the Attorney General reported that IntuitInc experienced a data breach on July 30, 2017,",The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving Intuit I,FLAG - REVIEW,Same name/type but records differ >10x; possibly distinct incidents,False
ADJ-26,adjacent-date pair,896878,"Intuit, Inc. | 2019-01-29 | type=HACK | rec=25 | CAR=12.7048 | fcc=0",Intuit Inc. | 2019-01-30 | type=HACK | rec=1078 | CAR=15.2307 | fcc=0,1,True,"The Indiana Office of the Attorney General reported a data breach involving Intuit Inc. on February 26, 2019. ",The Maine Office of the Attorney General reported that Intuit Inc. experienced a data breach on or before Janu,FLAG - REVIEW,Same name/type but records differ >10x; possibly distinct incidents,False
ADJ-27,adjacent-date pair,896878,"Intuit, Inc. | 2019-02-21 | type=HACK | rec=56 | CAR=8.1468 | fcc=0",Intuit Inc. | 2019-02-22 | type=HACK | rec=32 | CAR=7.3263 | fcc=0,1,True,"The Indiana Office of the Attorney General reported on March 12, 2019, that Intuit Inc. experienced a data bre",The Massachusetts Office of Consumer Affairs and Business Regulation reported that Intuit Inc. experienced a d,COLLAPSE (proposed),"T-Mobile 8/17-8/18 / FIS 10-04:10-06 precedent: same firm, same type, <=3 days = near-duplicate refiling",False
ADJ-28,adjacent-date pair,927628,"Pendrick Capital Partner Holdings, LLC | 2021-04-12 | type=HACK | rec=26 | CAR=17.2096 | fcc=0","Eagle Capital Management, LLC | 2021-04-13 | type=HACK | rec=1 | CAR=15.7938 | fcc=0",1,False,"On August 30, 2021, the New Hampshire Attorney General's Office reported a data breach involving Pendrick Capi","The Maryland Office of the Attorney General reported on July 26, 2021, that Eagle Capital Management, LLC expe",KEEP (proposed),Different-brand-same-parent default: distinct events unless evidence says otherwise,False
ADJ-29,adjacent-date pair,1001082,"DISH Network, LLC | 2023-02-22 | type=HACK | rec=3404 | CAR=-40.6017 | fcc=0",DISH Network Corporation | 2023-02-23 | type=HACK | rec=15 | CAR=-39.3194 | fcc=0,1,True,"The Indiana Office of the Attorney General reported that DISH Network, LLC experienced a data breach on Februa","The DISH Security Team reported a data breach on May 8, 2023, following a cybersecurity incident that occurred",FLAG - REVIEW,Same name/type but records differ >10x; possibly distinct incidents,False
ADJ-30,adjacent-date pair,1060391,Republic Services | 2013-08-10 | type=PORT | rec=25416 | CAR=-3.5113 | fcc=0,Republic Services | 2013-08-11 | type=PORT | rec=4 | CAR=-3.0894 | fcc=0,1,True,"On August 26, 2013, the New Hampshire Department of Justice reported that Republic Services experienced a data",The Maine Office of the Attorney General reported that Republic Services experienced a data breach on August 1,FLAG - REVIEW,Same name/type but records differ >10x; possibly distinct incidents,False
ADJ-31,adjacent-date pair,1060391,"Republic Services, Inc. | 2019-02-01 | type=HACK | rec=3 | CAR=-1.757 | fcc=0","Republic Services, Inc | 2019-02-02 | type=HACK | rec=3 | CAR=-1.757 | fcc=0",1,True,"The Maryland Office of the Attorney General reported a data breach involving Republic Services, Inc. on Septem","The Indiana Office of the Attorney General reported that Republic Services, Inc experienced a data breach on F",COLLAPSE (proposed),"T-Mobile 8/17-8/18 / FIS 10-04:10-06 precedent: same firm, same type, <=3 days = near-duplicate refiling",False
ADJ-32,adjacent-date pair,1136893,"Fidelity National Information Services, Inc. | 2023-05-27 | type=HACK | rec=33 | CAR=3.9513 | fcc=0","Fidelity National Information Services, Inc. | 2023-05-29 | type=HACK | rec=80 | CAR=2.7225 | fcc=0",2,True,"The Oregon Department of Justice reported that Fidelity National Information Services, Inc. experienced a data",The New Hampshire Office of the Attorney General reported a data breach involving Progress Software's MOVEit T,COLLAPSE (proposed),"T-Mobile 8/17-8/18 / FIS 10-04:10-06 precedent: same firm, same type, <=3 days = near-duplicate refiling",False
ADJ-33,adjacent-date pair,1136893,"Fidelity National Information Services, Inc. | 2023-05-29 | type=HACK | rec=80 | CAR=2.7225 | fcc=0","Fidelity National Information Services, Inc. | 2023-05-31 | type=HACK | rec=3 | CAR=3.1221 | fcc=0",2,True,The New Hampshire Office of the Attorney General reported a data breach involving Progress Software's MOVEit T,"The New Hampshire Office of the Attorney General reported on September 29, 2023, a data security incident invo",FLAG - REVIEW,Same name/type but records differ >10x; possibly distinct incidents,False
ADJ-34,adjacent-date pair,1136893,"Fidelity National Information Services, Inc. | 2023-09-08 | type=HACK | rec=10 | CAR=-1.7322 | fcc=0",GC Services | 2023-09-11 | type=HACK | rec=1 | CAR=-4.7437 | fcc=0,3,False,"The Massachusetts Office of Consumer Affairs and Business Regulation reported on September 8, 2023, that Fidel","The New Hampshire Attorney General's Office reported a data breach involving GC Services on January 30, 2024. ",KEEP (proposed),Different-brand-same-parent default: distinct events unless evidence says otherwise,False
ADJ-35,adjacent-date pair,1136893,A&A Services | 2023-10-03 | type=HACK | rec=3162 | CAR=-4.5357 | fcc=0,"Fidelity National Information Services, Inc. | 2023-10-04 | type=None | rec=None | CAR=nan | fcc=None",1,False,The Delaware Department of Justice reported that A&A Services d/b/a Sav-Rx experienced a data breach that occu,,KEEP (proposed),Different-brand-same-parent default: distinct events unless evidence says otherwise,False
ADJ-36,adjacent-date pair,1136893,"Fidelity National Information Services, Inc. | 2023-10-04 | type=None | rec=None | CAR=nan | fcc=None","Fidelity National Information Services, Inc. | 2023-10-06 | type=HACK | rec=71 | CAR=-4.1717 | fcc=0",2,True,,The Massachusetts Office of Consumer Affairs and Business Regulation reported that Fidelity National Informati,FLAG - REVIEW,Same firm <=3 days but different breach types; could be distinct events,False
ADJ-39,adjacent-date pair,1283699,"T-Mobile USA, Inc. | 2021-08-17 | type=None | rec=None | CAR=nan | fcc=None",T-Mobile USA | 2021-08-18 | type=None | rec=None | CAR=nan | fcc=None,1,True,,,COLLAPSE (proposed),"T-Mobile 8/17-8/18 / FIS 10-04:10-06 precedent: same firm, same type, <=3 days = near-duplicate refiling",False
ADJ-40,adjacent-date pair,1324404,Sierra Pacific Industries | 2022-06-10 | type=HACK | rec=1 | CAR=5.8503 | fcc=0,Sierra Pacific Industries | 2022-06-11 | type=HACK | rec=444 | CAR=5.8503 | fcc=0,1,True,The Maryland Office of the Attorney General reported a data breach involving Sierra Pacific Industries on Janu,"The Oregon Department of Justice reported a data breach involving Sierra Pacific Industries on August 9, 2022.",FLAG - REVIEW,Same name/type but records differ >10x; possibly distinct incidents,False
ADJ-43,adjacent-date pair,1755336,Time Warner Inc. | 2017-07-20 | type=HACK | rec=8 | CAR=nan | fcc=0,"Home Box Office, Inc. | 2017-07-23 | type=HACK | rec=5 | CAR=nan | fcc=0",3,False,The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving Time War,"On October 30, 2017, the New Hampshire Department of Justice reported a data breach involving Home Box Office,",KEEP (proposed),Different-brand-same-parent default: distinct events unless evidence says otherwise,False
ADJ-44,adjacent-date pair,1932393,"Healthcare Fiscal Management, Inc. | 2020-04-12 | type=HACK | rec=1 | CAR=nan | fcc=0","Healthcare Fiscal Management, Inc. | 2020-04-13 | type=HACK | rec=5 | CAR=nan | fcc=0",1,True,"On July 21, 2020, the New Hampshire Attorney General's Office was notified of a data security incident involvi","On June 26, 2020, the New Hampshire Office of the Attorney General reported a data breach involving Healthcare",COLLAPSE (proposed),"T-Mobile 8/17-8/18 / FIS 10-04:10-06 precedent: same firm, same type, <=3 days = near-duplicate refiling",False
CIK-01,same-parent-same-day,1001082,DISH Network L.L.C. | 2023-02-22 | type=HACK | rec=4 | CAR=-40.6017 | fcc=0,"DISH Network, LLC | 2023-02-22 | type=HACK | rec=3404 | CAR=-40.6017 | fcc=0",0,False,The California Office of the Attorney General reported a data breach at DISH Net,"The Indiana Office of the Attorney General reported that DISH Network, LLC exper",KEEP (proposed),"Different-brand-same-parent default: distinct events (e.g., separate brand operations breached same day)",False
CIK-02,same-parent-same-day,1034054,"Centerline Communications, LLC | 2022-02-10 | type=HACK | rec=6 | CAR=2.2448 | fcc=0","SupraNet Communications, Inc. | 2022-02-10 | type=HACK | rec=1 | CAR=2.2448 | fcc=0",0,False,The New Hampshire Office of the Attorney General reported a data breach involvin,"On March 24, 2022, the Maryland Office of the Attorney General reported that Sup",KEEP (proposed),"Different-brand-same-parent default: distinct events (e.g., separate brand operations breached same day)",False
CIK-08,same-parent-same-day,1324404,Huntwood Industries | 2025-08-09 | type=HACK | rec=60 | CAR=nan | fcc=0,"T.R.A. Industries, Inc. | 2025-08-09 | type=HACK | rec=12122 | CAR=nan | fcc=0",0,False,The Montana Department of Justice reported a data breach involving Huntwood Indu,"On September 26, 2025, the Washington State Office of the Attorney General repor",KEEP (proposed),"Different-brand-same-parent default: distinct events (e.g., separate brand operations breached same day)",False
CIK-09,same-parent-same-day,1543151,Uber | 2014-05-13 | type=HACK | rec=1 | CAR=nan | fcc=0,"Uber Technologies, Inc. | 2014-05-13 | type=HACK | rec=4 | CAR=nan | fcc=0",0,False,"The Montana Department of Justice reported on June 15, 2016, that Uber experienc",The Maine Office of the Attorney General reported a data breach by Uber Technolo,KEEP (proposed),"Different-brand-same-parent default: distinct events (e.g., separate brand operations breached same day)",False
CIK-11,same-parent-same-day,313838,Sony Pictures | 2014-11-01 | type=HACK | rec=191 | CAR=nan | fcc=0,Sony Pictures Entertainment Inc. | 2014-11-01 | type=HACK | rec=18 | CAR=nan | fcc=0,0,False,The Massachusetts Office of Consumer Affairs and Business Regulation reported a ,The Maine Office of the Attorney General reported a data breach involving Sony P,KEEP (proposed),"Different-brand-same-parent default: distinct events (e.g., separate brand operations breached same day)",False
