org_name,breach_date,fcc_form499,reason_classified,date_valid,termination_status,frn,start_date,end_date,end_reason_desc
Boost Mobile,2019-03-14,0,Breach date 2019-03-14 before start_date 2020-06-01,False,,27852722.0,2020-06-01,,
"Bray International, Inc.",2024-04-17,0,No Form 499 match found,False,,,,,
"Brown Construction Services, Inc.",2018-06-14,0,No Form 499 match found,False,,,,,
"Brown Integrated Logistics, Inc.",2023-11-13,0,No Form 499 match found,False,,,,,
"Brown Paindiris & Scott, LLP",2023-11-07,0,No Form 499 match found,False,,,,,
"Brown Paindiris & Scott, LLP",2023-11-01,0,No Form 499 match found,False,,,,,
"Brown, Lisle/Cummings, Inc.",2018-04-15,0,No Form 499 match found,False,,,,,
Brown-Forman Corporation,2020-07-28,0,Breach date 2020-07-28 before start_date 2023-05-01,False,,33738956.0,2023-05-01,,
"Burrelles Information Services, LLC",2022-03-06,0,No Form 499 match found,False,,,,,
"Cable One, Inc.",2019-08-08,1,Current Form 499 filer; no end_date,True,current,3474327.0,2006-08-01,,
"Cable One, Inc.",2019-03-01,1,Current Form 499 filer; no end_date,True,current,3474327.0,2006-08-01,,
"Caesars Entertainment, Inc.",2023-08-23,0,No Form 499 match found,False,,,,,
"Capital Asset Management Group, Inc.",2024-01-19,0,No Form 499 match found,False,,,,,
"Capital Brands Distribution, LLC",2020-02-19,0,No Form 499 match found,False,,,,,
Capital Integration Systems LLC,2018-02-01,0,No Form 499 match found,False,,,,,
Capital Lumber Company,2020-07-27,0,No Form 499 match found,False,,,,,
Capital Lumber Company,2020-07-01,0,No Form 499 match found,False,,,,,
Carnival Corporation,2020-12-25,0,No Form 499 match found,False,,,,,
Carnival Corporation,2021-03-19,0,No Form 499 match found,False,,,,,
Carnival Corporation & plc,2020-08-15,0,No Form 499 match found,False,,,,,
Carnival Corporation & PLC,2019-04-11,0,No Form 499 match found,False,,,,,
Carnival Corporation & PLC,2019-04-01,0,No Form 499 match found,False,,,,,
"CBD Industries, LLC",2020-03-30,0,No Form 499 match found,False,,,,,
"Cencora, Inc.",2024-02-21,0,No Form 499 match found,False,,,,,
"Cencora, Inc.",2024-04-10,0,No Form 499 match found,False,,,,,
"Cencora, Inc.",2024-05-08,0,No Form 499 match found,False,,,,,
Centene Management Corporation,2015-10-08,0,No Form 499 match found,False,,,,,
"Centerline Communications, LLC",2022-02-10,0,No Form 499 match found,False,,,,,
Centerstone Insurance and Financial Services,2018-10-11,0,No Form 499 match found,False,,,,,
CenturyLink,2017-01-30,1,Non-terminating reason (consolidated/absorbed); breach within coverage dates,True,non_terminating,4547089.0,1997-01-01,2022-10-03,All assets of this company have been sold to another party.
CenturyLink,2017-02-28,1,Non-terminating reason (consolidated/absorbed); breach within coverage dates,True,non_terminating,4547089.0,1997-01-01,2022-10-03,All assets of this company have been sold to another party.
CenturyLink,2013-12-27,1,Non-terminating reason (consolidated/absorbed); breach within coverage dates,True,non_terminating,4547089.0,1997-01-01,2022-10-03,All assets of this company have been sold to another party.
CenturyLink Communications,2020-08-20,1,Current Form 499 filer; no end_date,True,current,18421941.0,1997-01-01,,
Centurylink Communications,2022-03-15,1,Current Form 499 filer; no end_date,True,current,18421941.0,1997-01-01,,
Change Healthcare Inc.,2024-02-12,0,No Form 499 match found,False,,,,,
"Chart Industries, Inc.",2009-07-23,0,No Form 499 match found,False,,,,,
Charter Communication,2014-09-30,0,No Form 499 match found,False,,,,,
Charter Communications,2008-08-11,0,No Form 499 match found,False,,,,,
Charter Communications,2022-12-21,0,No Form 499 match found,False,,,,,
"Charter Communications, Inc.",2023-09-01,0,No Form 499 match found,False,,,,,
"Charter Communications, Inc.",2013-04-26,0,No Form 499 match found,False,,,,,
"Charter Communications, Inc.",2008-07-14,0,No Form 499 match found,False,,,,,
"Charter Communications, Inc.",2014-01-21,0,No Form 499 match found,False,,,,,
"Charter Communications, Inc.",2023-01-01,0,No Form 499 match found,False,,,,,
"Charter Next Generation, Inc.",2021-05-01,0,No Form 499 match found,False,,,,,
Christensen Oâ€™Connor Johnson Kindness PLLC,2020-12-24,0,No Form 499 match found,False,,,,,
Cintas Corporation,2020-09-16,0,No Form 499 match found,False,,,,,
"Cisco Systems, Inc.",2012-04-13,0,No Form 499 match found,False,,,,,
"Cisco Systems, Inc.",2012-03-26,0,No Form 499 match found,False,,,,,
Citrix,2019-04-30,0,No Form 499 match found,False,,,,,
Citrix Systems,2016-11-15,0,No Form 499 match found,False,,,,,
Citrix Systems,2018-10-13,0,No Form 499 match found,False,,,,,
Citrix Systems Inc.,2013-04-26,0,No Form 499 match found,False,,,,,
Citrix Systems Inc.,2018-10-13,0,No Form 499 match found,False,,,,,
"Citrix Systems, Inc.",2018-10-13,0,No Form 499 match found,False,,,,,
CLAS Information Services,2024-10-18,0,No Form 499 match found,False,,,,,
"Cleo Communications US, LLC",2022-10-28,0,No Form 499 match found,False,,,,,
"CM Group Holdings, Inc. d/b/a Creative Memories",2019-01-31,0,No Form 499 match found,False,,,,,
Coca-Cola Bottling Company of Northern New England,2018-06-02,0,No Form 499 match found,False,,,,,
Cognizant Technology Solutions Corporation,2020-04-09,0,No Form 499 match found,False,,,,,
Comcast,2014-09-29,0,No Form 499 match found,False,,,,,
Comcast,2008-01-29,0,No Form 499 match found,False,,,,,
Comcast,2024-02-14,0,No Form 499 match found,False,,,,,
Comcast,2023-10-16,0,No Form 499 match found,False,,,,,
Comcast Cable Communications LLC,2024-10-04,0,No Form 499 match found,False,,,,,
Comcast Cable Communications LLC,2024-02-14,0,No Form 499 match found,False,,,,,
Comcast Cable Communications LLC,2023-10-16,0,No Form 499 match found,False,,,,,
Comcast Cable Communications LLC,2024-01-26,0,No Form 499 match found,False,,,,,
"Comcast Cable Communications, Inc.",2009-06-22,0,No Form 499 match found,False,,,,,
"Comcast Cable Communications, Inc.",2009-05-11,0,No Form 499 match found,False,,,,,
Communications & Power Industries LLC,2020-01-18,0,No Form 499 match found,False,,,,,
Consolidated Edison Company of New York LLC,2023-05-29,0,No Form 499 match found,False,,,,,
"Corebridge Financial, Inc.",2023-05-29,0,No Form 499 match found,False,,,,,
Cornerstone Healthcare Group Management Services LLC,2023-12-19,0,No Form 499 match found,False,,,,,
Corteva Agriscience,2023-03-01,0,No Form 499 match found,False,,,,,
Costco Photo Center,2014-06-19,0,No Form 499 match found,False,,,,,
Cricket Wireless LLC,2018-08-21,0,No Form 499 match found,False,,,,,
Cricket Wireless LLC,2018-08-17,0,No Form 499 match found,False,,,,,
CrowdStrike Holdings Inc.,2024-07-19,0,No Form 499 match found,False,,,,,
"CrowdStrike Holdings, Inc.",2022-04-01,0,No Form 499 match found,False,,,,,
Crown Castle,2013-10-31,0,Non-terminating reason but breach 2013-10-31 after end_date 2011-12-31; would require replacement_id traversal,False,non_terminating,3176856.0,1997-01-01,2011-12-31,All assets of this company have been sold to another party.
Crown Castle,2013-11-19,0,Non-terminating reason but breach 2013-11-19 after end_date 2011-12-31; would require replacement_id traversal,False,non_terminating,3176856.0,1997-01-01,2011-12-31,All assets of this company have been sold to another party.
"CSI Financial Services, LLC",2021-03-08,0,No Form 499 match found,False,,,,,
CSX Transportation,2013-09-06,0,No Form 499 match found,False,,,,,
CSX Transportation,2013-10-07,0,No Form 499 match found,False,,,,,
"CSX Transportation, Inc.",2020-12-25,0,No Form 499 match found,False,,,,,
CWGS Group,2022-01-14,0,No Form 499 match found,False,,,,,
"CyrusOne, Inc.",2017-10-18,0,No Form 499 match found,False,,,,,
DC Group,2021-04-11,0,No Form 499 match found,False,,,,,
"Defender Industries, Inc.",2020-11-22,0,No Form 499 match found,False,,,,,
Dell Inc.,2013-02-26,0,No Form 499 match found,False,,,,,
"Delta Air Lines, Inc.",2017-09-01,0,No Form 499 match found,False,,,,,
"Delta Air Lines, Inc.",2017-09-26,0,No Form 499 match found,False,,,,,
Delta Global Services,2018-06-18,0,No Form 499 match found,False,,,,,
Deluxe Corporation,2019-08-13,0,No Form 499 match found,False,,,,,
"Derby Industries, LLC",2021-08-26,0,No Form 499 match found,False,,,,,
"DiGiovine, Hnilo, Jordan + Johnson Ltd",2018-04-23,0,No Form 499 match found,False,,,,,
DISH Network Corporation,2023-02-23,0,Terminating reason and breach 2023-02-23 >= end_date 2015-12-31; service ceased,False,terminating,5083498.0,2012-03-01,2015-12-31,"This company still exists, however it is no longer providing telecommunications services."
DISH Network L.L.C.,2023-02-22,0,Terminating reason and breach 2023-02-22 >= end_date 2015-12-31; service ceased,False,terminating,5083498.0,2012-03-01,2015-12-31,"This company still exists, however it is no longer providing telecommunications services."
"DISH Network, LLC",2023-05-17,0,Terminating reason and breach 2023-05-17 >= end_date 2015-12-31; service ceased,False,terminating,5083498.0,2012-03-01,2015-12-31,"This company still exists, however it is no longer providing telecommunications services."
"DISH Network, LLC",2023-02-23,0,Terminating reason and breach 2023-02-23 >= end_date 2015-12-31; service ceased,False,terminating,5083498.0,2012-03-01,2015-12-31,"This company still exists, however it is no longer providing telecommunications services."
"DISH Network, LLC",2023-02-22,0,Terminating reason and breach 2023-02-22 >= end_date 2015-12-31; service ceased,False,terminating,5083498.0,2012-03-01,2015-12-31,"This company still exists, however it is no longer providing telecommunications services."
Disney Consumer Products and Interactive Media,2016-07-09,0,No Form 499 match found,False,,,,,
DoorDash Inc.,2019-05-04,0,No Form 499 match found,False,,,,,
Doubletree Suites by Hilton Walt Disney World,2015-02-25,0,No Form 499 match found,False,,,,,
Duke Energy,2017-11-10,0,No Form 499 match found,False,,,,,
Duke Energy Corporation,2021-05-28,0,No Form 499 match found,False,,,,,
Duke Energy Corporation,2014-03-24,0,No Form 499 match found,False,,,,,
"Dulany Industries, Inc.",2025-05-27,0,No Form 499 match found,False,,,,,
Dynapar Corporation,2023-01-25,0,No Form 499 match found,False,,,,,
E.W. Wylie Corporation,2020-09-25,0,No Form 499 match found,False,,,,,
"Eagle Capital Management, LLC",2021-04-13,0,No Form 499 match found,False,,,,,
EatStreet,2019-05-03,0,No Form 499 match found,False,,,,,
"EBSCO Industries, Inc.",2016-07-16,0,No Form 499 match found,False,,,,,
"EBSCO Industries, Inc.",2016-07-01,0,No Form 499 match found,False,,,,,
EMC Corporation,2014-01-07,0,No Form 499 match found,False,,,,,
EMJ Corporation,2021-09-05,0,No Form 499 match found,False,,,,,
Ensinger Industries Inc.,2021-06-13,0,No Form 499 match found,False,,,,,
"Ensinger Industries, Inc.",2021-02-08,0,No Form 499 match found,False,,,,,
"Ensinger Industries, Inc.",2021-06-01,0,No Form 499 match found,False,,,,,
Entercom Communications Corp.,2019-09-18,0,No Form 499 match found,False,,,,,
"Equifax, Inc.",2014-01-31,0,No Form 499 match found,False,,,,,
"Essex Property Trust, Inc.",2013-08-13,0,No Form 499 match found,False,,,,,
Evening Post Industries,2016-02-26,0,No Form 499 match found,False,,,,,
Evening Telegram Company d/b/a Morgan Murphy Media,2020-12-29,0,No Form 499 match found,False,,,,,
Facebook,2013-11-24,0,No Form 499 match found,False,,,,,
Facebook,2018-09-01,0,No Form 499 match found,False,,,,,
Facebook,2018-03-01,0,No Form 499 match found,False,,,,,
"Facebook, Inc.",2008-06-09,0,No Form 499 match found,False,,,,,
"FedEx Ground Package System, Inc.",2011-05-01,0,No Form 499 match found,False,,,,,
Festo Corporation,2021-01-01,0,No Form 499 match found,False,,,,,
Festo Corporation,2021-02-01,0,No Form 499 match found,False,,,,,
FGX International Inc.,2020-05-07,0,No Form 499 match found,False,,,,,
"Fidelity National Information Services, Inc.",2023-09-19,0,No Form 499 match found,False,,,,,
"Fidelity National Information Services, Inc.",2023-05-31,0,No Form 499 match found,False,,,,,
"Fidelity National Information Services, Inc.",2023-06-26,0,No Form 499 match found,False,,,,,
"Fidelity National Information Services, Inc.",2023-07-17,0,No Form 499 match found,False,,,,,
"Fidelity National Information Services, Inc.",2023-05-01,0,No Form 499 match found,False,,,,,
"Fidelity National Information Services, Inc.",2023-09-08,0,No Form 499 match found,False,,,,,
"Fidelity National Information Services, Inc.",2023-11-20,0,No Form 499 match found,False,,,,,
"Fidelity National Information Services, Inc.",2007-09-24,0,No Form 499 match found,False,,,,,
"Fidelity National Information Services, Inc.",2023-05-27,0,No Form 499 match found,False,,,,,
"Fidelity National Information Services, Inc.",2023-10-06,0,No Form 499 match found,False,,,,,
"Fidelity National Information Services, Inc.",2023-05-29,0,No Form 499 match found,False,,,,,
"Fidelity National Information Services, Inc.",2023-06-21,0,No Form 499 match found,False,,,,,
"Fidelity National Information Services, Inc.",2023-11-09,0,No Form 499 match found,False,,,,,
"Fidelity National Information Services, Inc.",2023-07-21,0,No Form 499 match found,False,,,,,
Fidelity National Technology Imaging (FNTI),2011-06-10,0,No Form 499 match found,False,,,,,
"Financial Business and Consumer Solutions, Inc.",2024-02-14,0,No Form 499 match found,False,,,,,
"Financial Business and Consumer Solutions, Inc.",2024-02-09,0,No Form 499 match found,False,,,,,
"Financial Risk Mitigation, Inc.",2023-09-28,0,No Form 499 match found,False,,,,,
First American Financial Corporation,2023-12-18,0,No Form 499 match found,False,,,,,
Fiserv,2021-09-25,0,No Form 499 match found,False,,,,,
Fiserv,2023-12-06,0,No Form 499 match found,False,,,,,
"Fiserv, Inc.",2008-12-02,0,No Form 499 match found,False,,,,,
Fluke Corporation,2023-01-25,0,No Form 499 match found,False,,,,,
Flutter International Inc.,2023-05-30,0,No Form 499 match found,False,,,,,
"Focus Medical Communications, LLC",2021-10-12,0,No Form 499 match found,False,,,,,
Forum Communications Company,2025-01-14,0,No Form 499 match found,False,,,,,
Fox Entertainment Group,2009-04-09,0,No Form 499 match found,False,,,,,
Fox Entertainment Group Inc.,2009-04-15,0,No Form 499 match found,False,,,,,
Fox Group,2010-02-08,0,No Form 499 match found,False,,,,,
Fox News LLC,2018-03-13,0,No Form 499 match found,False,,,,,
Franklin International,2021-10-18,0,No Form 499 match found,False,,,,,
"Freedom Financial Network, LLC",2019-12-01,0,No Form 499 match found,False,,,,,
Freeport-McMoRan Inc.,2023-08-08,0,No Form 499 match found,False,,,,,
Frontier Communications,2022-02-24,0,No Form 499 match found,False,,,,,
"Frontier Communications Parent, Inc.",2023-12-18,0,No Form 499 match found,False,,,,,
"Frontier Communications Parent, Inc.",2024-04-13,0,No Form 499 match found,False,,,,,
"Frontier Communications Parent, Inc.",2024-04-14,0,No Form 499 match found,False,,,,,
"Frontier Communications Parent, Inc.",2024-06-10,0,No Form 499 match found,False,,,,,
"Frontier Communications Parent, Inc.",2024-06-12,0,No Form 499 match found,False,,,,,
Gallagher NAC,2017-06-01,0,No Form 499 match found,False,,,,,
Gallagher NAC,2017-06-18,0,No Form 499 match found,False,,,,,
Gates Corporation,2023-02-11,0,No Form 499 match found,False,,,,,
Gates Corporation,2023-02-07,0,No Form 499 match found,False,,,,,
GC Services,2023-09-11,0,No Form 499 match found,False,,,,,
General Dynamics Information Technology,2018-10-31,0,No Form 499 match found,False,,,,,
"General Mills, Inc.",2022-11-18,0,No Form 499 match found,False,,,,,
"Georgetown Capital Group, Inc.",2020-12-08,0,No Form 499 match found,False,,,,,
"GIGAFLIGHT Connectivity, Inc.",2024-05-20,0,No Form 499 match found,False,,,,,
Global Payments Inc.,2012-07-25,0,No Form 499 match found,False,,,,,
"Global Payments, Inc.",2012-06-22,0,No Form 499 match found,False,,,,,
GoDaddy,2021-09-06,0,No Form 499 match found,False,,,,,
GoDaddy.com,2013-01-30,0,Breach date 2013-01-30 before start_date 2017-04-01,False,,25730607.0,2017-04-01,,
GoDaddy.com,2012-08-18,0,Breach date 2012-08-18 before start_date 2017-04-01,False,,25730607.0,2017-04-01,,
GoDaddy.com LLC,2019-10-19,1,Current Form 499 filer; no end_date,True,current,25730607.0,2017-04-01,,
GoDaddy.com LLC,2019-10-16,1,Current Form 499 filer; no end_date,True,current,25730607.0,2017-04-01,,
"GoDaddy.com, LLC",2021-09-06,1,Current Form 499 filer; no end_date,True,current,25730607.0,2017-04-01,,
"GoDaddy.com, LLC",2022-03-14,1,Current Form 499 filer; no end_date,True,current,25730607.0,2017-04-01,,
Google,2016-08-10,0,No Form 499 match found,False,,,,,
Google Inc.,2016-03-29,0,No Form 499 match found,False,,,,,
Google Inc.,2016-08-10,0,No Form 499 match found,False,,,,,
Google Inc.,2016-05-06,0,No Form 499 match found,False,,,,,
"Google, Inc.",2008-06-27,0,No Form 499 match found,False,,,,,
"Google, Inc.",2017-06-29,0,No Form 499 match found,False,,,,,
"Grand River Capital, LLC",2023-04-20,0,No Form 499 match found,False,,,,,
Gray Television,2016-08-08,0,No Form 499 match found,False,,,,,
Gray Television Inc,2016-08-10,0,No Form 499 match found,False,,,,,
"Gray Television, Inc.",2021-09-01,0,No Form 499 match found,False,,,,,
"Gray Television, Inc.",2016-02-16,0,No Form 499 match found,False,,,,,
"Gray Television, Inc.",2016-08-12,0,No Form 499 match found,False,,,,,
"Gray, Inc.",2018-04-01,0,No Form 499 match found,False,,,,,
"Harrison, Mauro & Morgan, P.A.",2022-02-01,0,No Form 499 match found,False,,,,,
"HBP, Inc.",2023-05-14,0,No Form 499 match found,False,,,,,
"Healthcare Fiscal Management, Inc.",2020-04-12,0,No Form 499 match found,False,,,,,
"Healthcare Fiscal Management, Inc.",2020-04-13,0,No Form 499 match found,False,,,,,
"Henry Schein, Inc.",2023-09-27,0,No Form 499 match found,False,,,,,
"Herbalife International of America, Inc.",2022-02-01,0,No Form 499 match found,False,,,,,
Hershey Entertainment & Resorts Company,2015-02-01,0,No Form 499 match found,False,,,,,
Hewlett Packard Company,2007-08-16,0,No Form 499 match found,False,,,,,
Hewlett Packard Enterprise Company,2023-12-12,0,No Form 499 match found,False,,,,,
Hewlett Packard Enterprise Company,2025-02-05,0,No Form 499 match found,False,,,,,
Hewlett-Packard Company,2010-02-09,0,No Form 499 match found,False,,,,,
Hewlett-Packard Company,2007-07-01,0,No Form 499 match found,False,,,,,
Hewlett-Packard Company,2008-12-08,0,No Form 499 match found,False,,,,,
Hewlett-Packard Company,2008-12-04,0,No Form 499 match found,False,,,,,
Holden International,2021-04-01,0,No Form 499 match found,False,,,,,
Home Box Office,2017-05-15,0,Non-terminating reason but breach 2017-05-15 after end_date 2003-03-31; would require replacement_id traversal,False,non_terminating,,1997-01-01,2003-03-31,All assets of this company have been sold to another party.
"Home Box Office, Inc.",2017-05-15,0,Non-terminating reason but breach 2017-05-15 after end_date 2003-03-31; would require replacement_id traversal,False,non_terminating,,1997-01-01,2003-03-31,All assets of this company have been sold to another party.
"Home Box Office, Inc.",2017-07-23,0,Non-terminating reason but breach 2017-07-23 after end_date 2003-03-31; would require replacement_id traversal,False,non_terminating,,1997-01-01,2003-03-31,All assets of this company have been sold to another party.
"Home Box Office, Inc.",2017-10-30,0,Non-terminating reason but breach 2017-10-30 after end_date 2003-03-31; would require replacement_id traversal,False,non_terminating,,1997-01-01,2003-03-31,All assets of this company have been sold to another party.
Honeywell International Inc.,2021-02-16,0,No Form 499 match found,False,,,,,
Honeywell International Inc.,2023-06-03,0,No Form 499 match found,False,,,,,
Honeywell International Inc.,2023-05-27,0,No Form 499 match found,False,,,,,
"Honeywell International, Inc.",2023-05-27,0,No Form 499 match found,False,,,,,
Horizon Healthcare RCM,2024-12-26,0,No Form 499 match found,False,,,,,
"Hoya Optical Labs of America, Inc.",2021-03-15,0,No Form 499 match found,False,,,,,
HP Enterprise Services,2012-12-28,0,No Form 499 match found,False,,,,,
HP Enterprise Services LLC,2016-09-16,0,No Form 499 match found,False,,,,,
"HP Enterprise Services, LLC",2016-11-07,0,No Form 499 match found,False,,,,,
"HTI Technology & Industries, Inc.",2022-08-18,0,No Form 499 match found,False,,,,,
Huntington Hospitality Financial Services Corp,2025-07-18,0,No Form 499 match found,False,,,,,
"Huntington Ingalls Industries, Inc.",2022-03-01,0,No Form 499 match found,False,,,,,
Huntwood Industries,2025-08-09,0,No Form 499 match found,False,,,,,
IBM,2007-02-23,0,No Form 499 match found,False,,,,,
IBM,2011-04-14,0,No Form 499 match found,False,,,,,
"IES Communications, LLC",2025-03-07,0,No Form 499 match found,False,,,,,
iHeart Media Inc,2017-08-31,0,No Form 499 match found,False,,,,,
"iHeartMedia + Entertainment, Inc.",2024-12-24,0,No Form 499 match found,False,,,,,
"iHeartMedia + Entertainment, Inc.",2025-04-30,0,No Form 499 match found,False,,,,,
"IMA Financial Group, Inc.",2022-10-19,0,No Form 499 match found,False,,,,,
"IMA Financial Group, Inc.",2022-10-18,0,No Form 499 match found,False,,,,,
Impact Mobile Home Communities,2019-07-01,0,No Form 499 match found,False,,,,,
Impact Mobile Home Communities,2018-10-03,0,No Form 499 match found,False,,,,,
"Indian Industries, Inc. d/b/a RAVE Sports",2021-01-05,0,No Form 499 match found,False,,,,,
InterActive Financial Marketing Group,2007-11-01,0,No Form 499 match found,False,,,,,
International Paper Company,2023-05-30,0,No Form 499 match found,False,,,,,
"Intuit, Inc.",2008-05-26,0,No Form 499 match found,False,,,,,
Intuit,2008-09-24,0,No Form 499 match found,False,,,,,
