org_name,normalized,candidates
"Brown Paindiris & Scott, LLP",BROWN PAINDIRIS & SCOTT LLP,"Keycomm Voice & Data Services LLP (overlap=2); SCOTT BROWN MEDIA GROUP, INC. (overlap=2); Marne & Elk Horn Tel. Co. (overlap=1)"
"Brown Paindiris & Scott, LLP",BROWN PAINDIRIS & SCOTT LLP,"Keycomm Voice & Data Services LLP (overlap=2); SCOTT BROWN MEDIA GROUP, INC. (overlap=2); Marne & Elk Horn Tel. Co. (overlap=1)"
"Brown, Lisle/Cummings, Inc.",BROWN LISLE/CUMMINGS,"Brown County MSA Cellular Ltd. Partnership (overlap=1); Brown County CLEC, LLC (overlap=1); Brown Hills Enterprises, Inc. (overlap=1)"
"Burrelles Information Services, LLC",BURRELLES INFORMATION SERVICES,"Centris Information Services (overlap=2); Time Warner Cable Information Services (Maine), LLC (overlap=2); Time Warner Cable Information Services (Texas), LP (overlap=2)"
"Caesars Entertainment, Inc.",CAESARS ENTERTAINMENT,"Home Box Office, a Division of Time Warner Entertainment (overlap=1); Windstream Lexcom Entertainment, LLC. (overlap=1); Platinum Touch Entertainment, LLC. (overlap=1)"
"Capital Asset Management Group, Inc.",CAPITAL ASSET MANAGEMENT GROUP,"Phone Company Management Group, LLC (overlap=2); Gila River Asset Management, Inc. (overlap=2); Gila River Asset Management, Inc. (overlap=2)"
"Capital Brands Distribution, LLC",CAPITAL BRANDS DISTRIBUTION,"Capital Telecommunications, Inc. (overlap=1); Capital Telecommunications, Inc. (overlap=1); GE Capital Communication Services (overlap=1)"
Capital Integration Systems LLC,CAPITAL INTEGRATION SYSTEMS,"Systems Development Integration, LLC. (overlap=2); Systems Development Integration, LLC. (overlap=2); eHome Integration Systems (overlap=2)"
Capital Lumber Company,CAPITAL LUMBER,"Capital Telecommunications, Inc. (overlap=1); Capital Telecommunications, Inc. (overlap=1); GE Capital Communication Services (overlap=1)"
Capital Lumber Company,CAPITAL LUMBER,"Capital Telecommunications, Inc. (overlap=1); Capital Telecommunications, Inc. (overlap=1); GE Capital Communication Services (overlap=1)"
Carnival Corporation,CARNIVAL,None
Carnival Corporation,CARNIVAL,None
Carnival Corporation & plc,CARNIVAL CORPORATION & PLC,Marne & Elk Horn Tel. Co. (overlap=1); Marne & Elk Horn Telephone Company (overlap=1); Marne & Elk Horn Telephone Company (overlap=1)
Carnival Corporation & PLC,CARNIVAL CORPORATION & PLC,Marne & Elk Horn Tel. Co. (overlap=1); Marne & Elk Horn Telephone Company (overlap=1); Marne & Elk Horn Telephone Company (overlap=1)
Carnival Corporation & PLC,CARNIVAL CORPORATION & PLC,Marne & Elk Horn Tel. Co. (overlap=1); Marne & Elk Horn Telephone Company (overlap=1); Marne & Elk Horn Telephone Company (overlap=1)
"CBD Industries, LLC",CBD INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
"Cencora, Inc.",CENCORA,None
"Cencora, Inc.",CENCORA,None
"Cencora, Inc.",CENCORA,None
Centene Management Corporation,CENTENE MANAGEMENT,"Coin Phone Management Company (overlap=1); Coin Phone Management Company (overlap=1); Payphone Management, Inc. (overlap=1)"
"Centerline Communications, LLC",CENTERLINE COMMUNICATIONS,"Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1); Liberty Communications (overlap=1)"
Centerstone Insurance and Financial Services,CENTERSTONE INSURANCE AND FINANCIAL SERVICES,"R & P Sales and Services (overlap=2); R & P Sales and Services (overlap=2); Aulds And Garner Tele-Com Services, Inc. (overlap=2)"
Change Healthcare Inc.,CHANGE HEALTHCARE,Tele-Waves  (please change line 104 to this name) (overlap=1); ENA HEALTHCARE SERVICES LLC (overlap=1); POSITIVE CHANGE COMMUNICATIONS LLC (overlap=1)
"Chart Industries, Inc.",CHART INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
Charter Communication,CHARTER COMMUNICATION,"Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1)"
Charter Communications,CHARTER COMMUNICATIONS,"Charter Communications Operating, LLC (overlap=2); Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1)"
Charter Communications,CHARTER COMMUNICATIONS,"Charter Communications Operating, LLC (overlap=2); Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1)"
"Charter Communications, Inc.",CHARTER COMMUNICATIONS,"Charter Communications Operating, LLC (overlap=2); Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1)"
"Charter Communications, Inc.",CHARTER COMMUNICATIONS,"Charter Communications Operating, LLC (overlap=2); Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1)"
"Charter Communications, Inc.",CHARTER COMMUNICATIONS,"Charter Communications Operating, LLC (overlap=2); Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1)"
"Charter Communications, Inc.",CHARTER COMMUNICATIONS,"Charter Communications Operating, LLC (overlap=2); Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1)"
"Charter Communications, Inc.",CHARTER COMMUNICATIONS,"Charter Communications Operating, LLC (overlap=2); Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1)"
"Charter Next Generation, Inc.",CHARTER NEXT GENERATION,"Charter Payphones of Texas, LLC (overlap=1); Charter Payphones of Texas, LLC (overlap=1); Charter Fiberlink - Missouri, LLC (overlap=1)"
Christensen Oâ€™Connor Johnson Kindness PLLC,CHRISTENSEN OÂ€™CONNOR JOHNSON KINDNESS PLLC,CN Johnson Holding (overlap=1); Christensen Communications Co. (overlap=1); Christensen Communications Co. (overlap=1)
Cintas Corporation,CINTAS,None
"Cisco Systems, Inc.",CISCO SYSTEMS,"Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1)"
"Cisco Systems, Inc.",CISCO SYSTEMS,"Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1)"
Citrix,CITRIX,"Citrix Online Audio, LLC (overlap=1); Citrix Online Audio, LLC (overlap=1); Citrix Online Conference Services Group, LLC. (overlap=1)"
Citrix Systems,CITRIX SYSTEMS,"Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1)"
Citrix Systems,CITRIX SYSTEMS,"Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1)"
Citrix Systems Inc.,CITRIX SYSTEMS,"Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1)"
Citrix Systems Inc.,CITRIX SYSTEMS,"Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1)"
"Citrix Systems, Inc.",CITRIX SYSTEMS,"Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1)"
CLAS Information Services,CLAS INFORMATION SERVICES,"Centris Information Services (overlap=2); Time Warner Cable Information Services (Maine), LLC (overlap=2); Time Warner Cable Information Services (Texas), LP (overlap=2)"
"Cleo Communications US, LLC",CLEO COMMUNICATIONS US,"U.S. South Communications, Inc. (overlap=2); U.S. Telecom Communications, Inc. (overlap=2); U.S. Telecom Communications, Inc. (overlap=2)"
"CM Group Holdings, Inc. d/b/a Creative Memories",CM GROUP HOLDINGS INC D/B/A CREATIVE MEMORIES,"Global Crossing Holdings USA, Inc. (Debtor-In-Possession) (overlap=2); iLOKA, Inc. d/b/a Microtech-Tel (overlap=2); Layerone Holdings, Inc.- CONSOLIDATED (overlap=2)"
Coca-Cola Bottling Company of Northern New England,COCACOLA BOTTLING COMPANY OF NORTHERN NEW ENGLAND,"Enhanced Communications of Northern New England, Inc. (overlap=4); Enhanced Communications of Northern New England, Inc. (overlap=4); CITIZENS TELECOMMUNICATIONS COMPANY OF NEW YORK INC (overlap=3)"
Cognizant Technology Solutions Corporation,COGNIZANT TECHNOLOGY SOLUTIONS,"CBTS Technology Solutions LLC (overlap=2); CBTS Technology Solutions LLC (overlap=2); Deimos Technology Solutions, LLC (overlap=2)"
Comcast,COMCAST,"Comcast Telephony Communications of Maryland, Inc. (overlap=1); Comcast Telephony Communications of Maryland, Inc. (overlap=1); Comcast Business Communications, LLC. (overlap=1)"
Comcast,COMCAST,"Comcast Telephony Communications of Maryland, Inc. (overlap=1); Comcast Telephony Communications of Maryland, Inc. (overlap=1); Comcast Business Communications, LLC. (overlap=1)"
Comcast,COMCAST,"Comcast Telephony Communications of Maryland, Inc. (overlap=1); Comcast Telephony Communications of Maryland, Inc. (overlap=1); Comcast Business Communications, LLC. (overlap=1)"
Comcast,COMCAST,"Comcast Telephony Communications of Maryland, Inc. (overlap=1); Comcast Telephony Communications of Maryland, Inc. (overlap=1); Comcast Business Communications, LLC. (overlap=1)"
Comcast Cable Communications LLC,COMCAST CABLE COMMUNICATIONS,"Cable & Cellular Communications LLC (overlap=2); Comcast Telephony Communications of Maryland, Inc. (overlap=2); Comcast Telephony Communications of Maryland, Inc. (overlap=2)"
Comcast Cable Communications LLC,COMCAST CABLE COMMUNICATIONS,"Cable & Cellular Communications LLC (overlap=2); Comcast Telephony Communications of Maryland, Inc. (overlap=2); Comcast Telephony Communications of Maryland, Inc. (overlap=2)"
Comcast Cable Communications LLC,COMCAST CABLE COMMUNICATIONS,"Cable & Cellular Communications LLC (overlap=2); Comcast Telephony Communications of Maryland, Inc. (overlap=2); Comcast Telephony Communications of Maryland, Inc. (overlap=2)"
Comcast Cable Communications LLC,COMCAST CABLE COMMUNICATIONS,"Cable & Cellular Communications LLC (overlap=2); Comcast Telephony Communications of Maryland, Inc. (overlap=2); Comcast Telephony Communications of Maryland, Inc. (overlap=2)"
"Comcast Cable Communications, Inc.",COMCAST CABLE COMMUNICATIONS,"Cable & Cellular Communications LLC (overlap=2); Comcast Telephony Communications of Maryland, Inc. (overlap=2); Comcast Telephony Communications of Maryland, Inc. (overlap=2)"
"Comcast Cable Communications, Inc.",COMCAST CABLE COMMUNICATIONS,"Cable & Cellular Communications LLC (overlap=2); Comcast Telephony Communications of Maryland, Inc. (overlap=2); Comcast Telephony Communications of Maryland, Inc. (overlap=2)"
Communications & Power Industries LLC,COMMUNICATIONS & POWER INDUSTRIES,City of Longmont Power & Communications (overlap=3); Longmont Power & Communications (overlap=3); Longmont Power & Communications (overlap=3)
Consolidated Edison Company of New York LLC,CONSOLIDATED EDISON COMPANY OF NEW YORK,CITIZENS TELECOMMUNICATIONS COMPANY OF NEW YORK INC (overlap=4); CITIZENS TELECOMMUNICATIONS COMPANY OF NEW YORK INC (overlap=4); Covista of New York (overlap=3)
"Corebridge Financial, Inc.",COREBRIDGE FINANCIAL,"Spectrotel Services, LLC Razgate Financial, LLC (overlap=1); Minnesota Phone Company Financial Group, LLP (overlap=1); Minnesota Phone Company Financial Group, LLP (overlap=1)"
Cornerstone Healthcare Group Management Services LLC,CORNERSTONE HEALTHCARE GROUP MANAGEMENT SERVICES,"Business Services Group, Inc. (overlap=2); The Via Services Group, Inc. (overlap=2); The Via Services Group, Inc. (overlap=2)"
Corteva Agriscience,CORTEVA AGRISCIENCE,None
Costco Photo Center,COSTCO PHOTO CENTER,"Center Junction Tel. Co. (overlap=1); Center Junction Telephone Co., Inc. (overlap=1); Center Junction Telephone Co. Inc. (overlap=1)"
Cricket Wireless LLC,CRICKET WIRELESS,"Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1); Corr Wireless (overlap=1)"
Cricket Wireless LLC,CRICKET WIRELESS,"Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1); Corr Wireless (overlap=1)"
CrowdStrike Holdings Inc.,CROWDSTRIKE HOLDINGS,"Palmer Wireless Holdings, Inc. (overlap=1); Gray Florida Holdings, Inc. (overlap=1); VoiceStream PV/SS PCS Holdings, LP (overlap=1)"
"CrowdStrike Holdings, Inc.",CROWDSTRIKE HOLDINGS,"Palmer Wireless Holdings, Inc. (overlap=1); Gray Florida Holdings, Inc. (overlap=1); VoiceStream PV/SS PCS Holdings, LP (overlap=1)"
"CSI Financial Services, LLC",CSI FINANCIAL SERVICES,"Spectrotel Services, LLC Razgate Financial, LLC (overlap=2); ABM Financial Services, Inc. (overlap=2); ABM Financial Services, Inc. (overlap=2)"
CSX Transportation,CSX TRANSPORTATION,"Digital Transportation Corp. (overlap=1); MAGIC TRANSPORTATION COMPANY, INC. (overlap=1)"
CSX Transportation,CSX TRANSPORTATION,"Digital Transportation Corp. (overlap=1); MAGIC TRANSPORTATION COMPANY, INC. (overlap=1)"
"CSX Transportation, Inc.",CSX TRANSPORTATION,"Digital Transportation Corp. (overlap=1); MAGIC TRANSPORTATION COMPANY, INC. (overlap=1)"
CWGS Group,CWGS GROUP,"Lakeland Communications Group, LLC (overlap=1); Communications Buying Group, Inc. (overlap=1); Communications Buying Group, Inc. (overlap=1)"
"CyrusOne, Inc.",CYRUSONE,None
DC Group,DC GROUP,"Lakeland Communications Group, LLC (overlap=1); Communications Buying Group, Inc. (overlap=1); Communications Buying Group, Inc. (overlap=1)"
"Defender Industries, Inc.",DEFENDER INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
Dell Inc.,DELL,"Dell Telephone Co-op., Inc. (overlap=1); Dell Telephone Cooperative, Inc. (overlap=1)"
"Delta Air Lines, Inc.",DELTA AIR LINES,"Delta Tel. Co. Inc. (overlap=1); Delta Telephone Co., Inc. (overlap=1); Delta Telephone Co., Inc. (overlap=1)"
"Delta Air Lines, Inc.",DELTA AIR LINES,"Delta Tel. Co. Inc. (overlap=1); Delta Telephone Co., Inc. (overlap=1); Delta Telephone Co., Inc. (overlap=1)"
Delta Global Services,DELTA GLOBAL SERVICES,"Global Crossing Local Services, Inc. (overlap=2); Global Crossing Local Services, Inc. (overlap=2); Global Crossing Local Services, Inc. (overlap=2)"
Deluxe Corporation,DELUXE,None
"Derby Industries, LLC",DERBY INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
"DiGiovine, Hnilo, Jordan + Johnson Ltd",DIGIOVINE HNILO JORDAN + JOHNSON LTD,"CN Johnson Holding (overlap=1); Brazos Cellular Communications, Ltd. (overlap=1); Macon Cellular Telephone System, Ltd. Partnership (overlap=1)"
Disney Consumer Products and Interactive Media,DISNEY CONSUMER PRODUCTS AND INTERACTIVE MEDIA,"Interactive Media Technologies, Inc. (overlap=2); Interactive Media Technologies, Inc. (overlap=2); Happy Elves Media And More, LLC. (overlap=2)"
DoorDash Inc.,DOORDASH,None
Doubletree Suites by Hilton Walt Disney World,DOUBLETREE SUITES BY HILTON WALT DISNEY WORLD,DTE World (overlap=1); All West World Connect (overlap=1); Personal Communication Services World Corp. (overlap=1)
Duke Energy,DUKE ENERGY,"Reliant Energy Communications, Inc. (overlap=1); Reliant Energy Communications, Inc. (overlap=1); Energy East Telecommunications,  Inc. (overlap=1)"
Duke Energy Corporation,DUKE ENERGY,"Reliant Energy Communications, Inc. (overlap=1); Reliant Energy Communications, Inc. (overlap=1); Energy East Telecommunications,  Inc. (overlap=1)"
Duke Energy Corporation,DUKE ENERGY,"Reliant Energy Communications, Inc. (overlap=1); Reliant Energy Communications, Inc. (overlap=1); Energy East Telecommunications,  Inc. (overlap=1)"
"Dulany Industries, Inc.",DULANY INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
Dynapar Corporation,DYNAPAR,None
E.W. Wylie Corporation,EW WYLIE,Ultra Refill; EW Studio; U Call (overlap=1)
"Eagle Capital Management, LLC",EAGLE CAPITAL MANAGEMENT,Castle Rock Capital Management Ltd (overlap=2); Eagle Valley Tel. Co. (overlap=1); Eagle Valley Telephone Company (overlap=1)
EatStreet,EATSTREET,None
"EBSCO Industries, Inc.",EBSCO INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
"EBSCO Industries, Inc.",EBSCO INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
EMC Corporation,EMC,None
EMJ Corporation,EMJ,None
Ensinger Industries Inc.,ENSINGER INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
