org_name,breach_date,matched,matched_field,legal_name,dba,trade_name,frn,start_date,end_date,end_reason_desc,replacement_id,nearest_candidates
Cricket Wireless LLC,2018-08-21,0,,,,,,,,,,"Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1); Corr Wireless (overlap=1)"
Cricket Wireless LLC,2018-08-17,0,,,,,,,,,,"Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1); Corr Wireless (overlap=1)"
CrowdStrike Holdings Inc.,2024-07-19,0,,,,,,,,,,"Palmer Wireless Holdings, Inc. (overlap=1); Gray Florida Holdings, Inc. (overlap=1); VoiceStream PV/SS PCS Holdings, LP (overlap=1)"
"CrowdStrike Holdings, Inc.",2022-04-01,0,,,,,,,,,,"Palmer Wireless Holdings, Inc. (overlap=1); Gray Florida Holdings, Inc. (overlap=1); VoiceStream PV/SS PCS Holdings, LP (overlap=1)"
Crown Castle,2013-10-31,1,normalized_match,"Crown Castle USA, Inc.","Crown Castle USA, Inc.",,0003176856,1997-01-01,2011-12-31,All assets of this company have been sold to another party.,820282,
Crown Castle,2013-11-19,1,normalized_match,"Crown Castle USA, Inc.","Crown Castle USA, Inc.",,0003176856,1997-01-01,2011-12-31,All assets of this company have been sold to another party.,820282,
"CSI Financial Services, LLC",2021-03-08,0,,,,,,,,,,"Spectrotel Services, LLC Razgate Financial, LLC (overlap=2); ABM Financial Services, Inc. (overlap=2); ABM Financial Services, Inc. (overlap=2)"
CSX Transportation,2013-09-06,0,,,,,,,,,,"Digital Transportation Corp. (overlap=1); MAGIC TRANSPORTATION COMPANY, INC. (overlap=1)"
CSX Transportation,2013-10-07,0,,,,,,,,,,"Digital Transportation Corp. (overlap=1); MAGIC TRANSPORTATION COMPANY, INC. (overlap=1)"
"CSX Transportation, Inc.",2020-12-25,0,,,,,,,,,,"Digital Transportation Corp. (overlap=1); MAGIC TRANSPORTATION COMPANY, INC. (overlap=1)"
CWGS Group,2022-01-14,0,,,,,,,,,,"Lakeland Communications Group, LLC (overlap=1); Communications Buying Group, Inc. (overlap=1); Communications Buying Group, Inc. (overlap=1)"
"CyrusOne, Inc.",2017-10-18,0,,,,,,,,,,None
DC Group,2021-04-11,0,,,,,,,,,,"Lakeland Communications Group, LLC (overlap=1); Communications Buying Group, Inc. (overlap=1); Communications Buying Group, Inc. (overlap=1)"
"Defender Industries, Inc.",2020-11-22,0,,,,,,,,,,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
Dell Inc.,2013-02-26,0,,,,,,,,,,"Dell Telephone Co-op., Inc. (overlap=1); Dell Telephone Cooperative, Inc. (overlap=1)"
"Delta Air Lines, Inc.",2017-09-01,0,,,,,,,,,,"Delta Tel. Co. Inc. (overlap=1); Delta Telephone Co., Inc. (overlap=1); Delta Telephone Co., Inc. (overlap=1)"
"Delta Air Lines, Inc.",2017-09-26,0,,,,,,,,,,"Delta Tel. Co. Inc. (overlap=1); Delta Telephone Co., Inc. (overlap=1); Delta Telephone Co., Inc. (overlap=1)"
Delta Global Services,2018-06-18,0,,,,,,,,,,"Global Crossing Local Services, Inc. (overlap=2); Global Crossing Local Services, Inc. (overlap=2); Global Crossing Local Services, Inc. (overlap=2)"
Deluxe Corporation,2019-08-13,0,,,,,,,,,,None
"Derby Industries, LLC",2021-08-26,0,,,,,,,,,,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
"DiGiovine, Hnilo, Jordan + Johnson Ltd",2018-04-23,0,,,,,,,,,,"CN Johnson Holding (overlap=1); Brazos Cellular Communications, Ltd. (overlap=1); Macon Cellular Telephone System, Ltd. Partnership (overlap=1)"
DISH Network Corporation,2023-02-23,1,normalized_match,DISH Network Corporation,DISH Network LLC,TerraStar Networks,0005083498,2012-03-01,2015-12-31,"This company still exists, however it is no longer providing telecommunications services.",,
DISH Network L.L.C.,2023-02-22,1,normalized_match,DISH Network Corporation,DISH Network LLC,TerraStar Networks,0005083498,2012-03-01,2015-12-31,"This company still exists, however it is no longer providing telecommunications services.",,
"DISH Network, LLC",2023-05-17,1,normalized_match,DISH Network Corporation,DISH Network LLC,TerraStar Networks,0005083498,2012-03-01,2015-12-31,"This company still exists, however it is no longer providing telecommunications services.",,
"DISH Network, LLC",2023-02-23,1,normalized_match,DISH Network Corporation,DISH Network LLC,TerraStar Networks,0005083498,2012-03-01,2015-12-31,"This company still exists, however it is no longer providing telecommunications services.",,
"DISH Network, LLC",2023-02-22,1,normalized_match,DISH Network Corporation,DISH Network LLC,TerraStar Networks,0005083498,2012-03-01,2015-12-31,"This company still exists, however it is no longer providing telecommunications services.",,
Disney Consumer Products and Interactive Media,2016-07-09,0,,,,,,,,,,"Interactive Media Technologies, Inc. (overlap=2); Interactive Media Technologies, Inc. (overlap=2); Happy Elves Media And More, LLC. (overlap=2)"
DoorDash Inc.,2019-05-04,0,,,,,,,,,,None
Doubletree Suites by Hilton Walt Disney World,2015-02-25,0,,,,,,,,,,DTE World (overlap=1); All West World Connect (overlap=1); Personal Communication Services World Corp. (overlap=1)
Duke Energy,2017-11-10,0,,,,,,,,,,"Reliant Energy Communications, Inc. (overlap=1); Reliant Energy Communications, Inc. (overlap=1); Energy East Telecommunications,  Inc. (overlap=1)"
Duke Energy Corporation,2021-05-28,0,,,,,,,,,,"Reliant Energy Communications, Inc. (overlap=1); Reliant Energy Communications, Inc. (overlap=1); Energy East Telecommunications,  Inc. (overlap=1)"
Duke Energy Corporation,2014-03-24,0,,,,,,,,,,"Reliant Energy Communications, Inc. (overlap=1); Reliant Energy Communications, Inc. (overlap=1); Energy East Telecommunications,  Inc. (overlap=1)"
"Dulany Industries, Inc.",2025-05-27,0,,,,,,,,,,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
Dynapar Corporation,2023-01-25,0,,,,,,,,,,None
E.W. Wylie Corporation,2020-09-25,0,,,,,,,,,,Ultra Refill; EW Studio; U Call (overlap=1)
"Eagle Capital Management, LLC",2021-04-13,0,,,,,,,,,,Castle Rock Capital Management Ltd (overlap=2); Eagle Valley Tel. Co. (overlap=1); Eagle Valley Telephone Company (overlap=1)
EatStreet,2019-05-03,0,,,,,,,,,,None
"EBSCO Industries, Inc.",2016-07-16,0,,,,,,,,,,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
"EBSCO Industries, Inc.",2016-07-01,0,,,,,,,,,,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
EMC Corporation,2014-01-07,0,,,,,,,,,,None
EMJ Corporation,2021-09-05,0,,,,,,,,,,None
Ensinger Industries Inc.,2021-06-13,0,,,,,,,,,,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
"Ensinger Industries, Inc.",2021-02-08,0,,,,,,,,,,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
"Ensinger Industries, Inc.",2021-06-01,0,,,,,,,,,,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
Entercom Communications Corp.,2019-09-18,0,,,,,,,,,,"Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1); Liberty Communications (overlap=1)"
"Equifax, Inc.",2014-01-31,0,,,,,,,,,,None
"Essex Property Trust, Inc.",2013-08-13,0,,,,,,,,,,"Muller Property Tax Advisors, Inc. (overlap=1); Essex Communications (overlap=1); Infinity Communications Group Trust (overlap=1)"
Evening Post Industries,2016-02-26,0,,,,,,,,,,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
Evening Telegram Company d/b/a Morgan Murphy Media,2020-12-29,0,,,,,,,,,,Farmers Telephone Company (IA) (overlap=1); United States Cellular Operating Company of Des Moines (overlap=1); Ohio State Cellular Phone Company (for Roanoke) (overlap=1)
Facebook,2013-11-24,0,,,,,,,,,,None
Facebook,2018-09-01,0,,,,,,,,,,None
Facebook,2018-03-01,0,,,,,,,,,,None
"Facebook, Inc.",2008-06-09,0,,,,,,,,,,None
"FedEx Ground Package System, Inc.",2011-05-01,0,,,,,,,,,,"Pine Telephone System, Inc. (overlap=1); Pine Telephone System, Inc. (overlap=1); Pine Telephone System, Inc. (overlap=1)"
Festo Corporation,2021-01-01,0,,,,,,,,,,None
Festo Corporation,2021-02-01,0,,,,,,,,,,None
FGX International Inc.,2020-05-07,0,,,,,,,,,,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
"Fidelity National Information Services, Inc.",2023-09-19,0,,,,,,,,,,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",2023-05-31,0,,,,,,,,,,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",2023-06-26,0,,,,,,,,,,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",2023-07-17,0,,,,,,,,,,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",2023-05-01,0,,,,,,,,,,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",2023-09-08,0,,,,,,,,,,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",2023-11-20,0,,,,,,,,,,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",2007-09-24,0,,,,,,,,,,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",2023-05-27,0,,,,,,,,,,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",2023-10-06,0,,,,,,,,,,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",2023-05-29,0,,,,,,,,,,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",2023-06-21,0,,,,,,,,,,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",2023-11-09,0,,,,,,,,,,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
"Fidelity National Information Services, Inc.",2023-07-21,0,,,,,,,,,,Centris Information Services (overlap=2); Fidelity Communications Services I Inc (overlap=2); Fidelity Communications Services (overlap=2)
Fidelity National Technology Imaging (FNTI),2011-06-10,0,,,,,,,,,,Fidelity Tel. Co. (overlap=1); Fidelity Telephone Company (overlap=1); Fidelity Communications (overlap=1)
"Financial Business and Consumer Solutions, Inc.",2024-02-14,0,,,,,,,,,,"GE Business Productivity Solutions, Inc. (overlap=2); Adelphia Business Solutions Atlantic, Inc. (overlap=2); Adelphia Business Solutions Atlantic, Inc. (overlap=2)"
"Financial Business and Consumer Solutions, Inc.",2024-02-09,0,,,,,,,,,,"GE Business Productivity Solutions, Inc. (overlap=2); Adelphia Business Solutions Atlantic, Inc. (overlap=2); Adelphia Business Solutions Atlantic, Inc. (overlap=2)"
"Financial Risk Mitigation, Inc.",2023-09-28,0,,,,,,,,,,"Spectrotel Services, LLC Razgate Financial, LLC (overlap=1); Minnesota Phone Company Financial Group, LLP (overlap=1); Minnesota Phone Company Financial Group, LLP (overlap=1)"
First American Financial Corporation,2023-12-18,0,,,,,,,,,,"First American Telecom, Corp. (overlap=2); First American Telecom, Corp. (overlap=2); American Financial Marketing Group Inc. (overlap=2)"
Fiserv,2021-09-25,0,,,,,,,,,,None
Fiserv,2023-12-06,0,,,,,,,,,,None
"Fiserv, Inc.",2008-12-02,0,,,,,,,,,,None
Fluke Corporation,2023-01-25,0,,,,,,,,,,None
Flutter International Inc.,2023-05-30,0,,,,,,,,,,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
"Focus Medical Communications, LLC",2021-10-12,0,,,,,,,,,,"Global Focus Communications, Inc. (overlap=2); Global Focus Communications, Inc. (overlap=2); Corr Wireless Communications, LLC (overlap=1)"
Forum Communications Company,2025-01-14,0,,,,,,,,,,"Forum One Communications Corporation (overlap=2); Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1)"
Fox Entertainment Group,2009-04-09,0,,,,,,,,,,"Lakeland Communications Group, LLC (overlap=1); Communications Buying Group, Inc. (overlap=1); Communications Buying Group, Inc. (overlap=1)"
Fox Entertainment Group Inc.,2009-04-15,0,,,,,,,,,,"Lakeland Communications Group, LLC (overlap=1); Communications Buying Group, Inc. (overlap=1); Communications Buying Group, Inc. (overlap=1)"
Fox Group,2010-02-08,0,,,,,,,,,,"Lakeland Communications Group, LLC (overlap=1); Communications Buying Group, Inc. (overlap=1); Communications Buying Group, Inc. (overlap=1)"
Fox News LLC,2018-03-13,0,,,,,,,,,,"Fox Pager, Inc. (overlap=1); Fox Pager, Inc. (overlap=1); Fox Communications Corp. (overlap=1)"
Franklin International,2021-10-18,0,,,,,,,,,,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
"Freedom Financial Network, LLC",2019-12-01,0,,,,,,,,,,"Transworld Network, LLC (overlap=1); Transworld Network Corp (overlap=1); Transworld Network, LLC (overlap=1)"
Freeport-McMoRan Inc.,2023-08-08,0,,,,,,,,,,None
Frontier Communications,2022-02-24,0,,,,,,,,,,Frontier Communications Northwest Inc (overlap=2); Frontier Communications Northwest Inc (overlap=2); Frontier Communications West Coast Inc. (overlap=2)
"Frontier Communications Parent, Inc.",2023-12-18,0,,,,,,,,,,Frontier Communications Northwest Inc (overlap=2); Frontier Communications Northwest Inc (overlap=2); Frontier Communications West Coast Inc. (overlap=2)
"Frontier Communications Parent, Inc.",2024-04-13,0,,,,,,,,,,Frontier Communications Northwest Inc (overlap=2); Frontier Communications Northwest Inc (overlap=2); Frontier Communications West Coast Inc. (overlap=2)
"Frontier Communications Parent, Inc.",2024-04-14,0,,,,,,,,,,Frontier Communications Northwest Inc (overlap=2); Frontier Communications Northwest Inc (overlap=2); Frontier Communications West Coast Inc. (overlap=2)
"Frontier Communications Parent, Inc.",2024-06-10,0,,,,,,,,,,Frontier Communications Northwest Inc (overlap=2); Frontier Communications Northwest Inc (overlap=2); Frontier Communications West Coast Inc. (overlap=2)
"Frontier Communications Parent, Inc.",2024-06-12,0,,,,,,,,,,Frontier Communications Northwest Inc (overlap=2); Frontier Communications Northwest Inc (overlap=2); Frontier Communications West Coast Inc. (overlap=2)
Gallagher NAC,2017-06-01,0,,,,,,,,,,None
Gallagher NAC,2017-06-18,0,,,,,,,,,,None
Gates Corporation,2023-02-11,0,,,,,,,,,,"Gates Communications, Inc. (overlap=1); Gates Communications, Inc. (overlap=1)"
Gates Corporation,2023-02-07,0,,,,,,,,,,"Gates Communications, Inc. (overlap=1); Gates Communications, Inc. (overlap=1)"
GC Services,2023-09-11,0,,,,,,,,,,"RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
General Dynamics Information Technology,2018-10-31,0,,,,,,,,,,Horizon Information Technology (overlap=2); Horizon Information Technology (overlap=2); Horizon Information Technology (overlap=2)
"General Mills, Inc.",2022-11-18,0,,,,,,,,,,Kentucky RSA #4 Cellular General Partnership (overlap=1); Kentucky RSA #3 Cellular General Partnership (overlap=1); Acadiana Cellular General Partnership (overlap=1)
"Georgetown Capital Group, Inc.",2020-12-08,0,,,,,,,,,,"Lakeland Communications Group, LLC (overlap=1); Capital Telecommunications, Inc. (overlap=1); Capital Telecommunications, Inc. (overlap=1)"
"GIGAFLIGHT Connectivity, Inc.",2024-05-20,0,,,,,,,,,,"NYSE Technologies Connectivity, Inc (overlap=1); NYSE Technologies Connectivity, Inc (overlap=1); NYSE Technologies Connectivity Inc. (overlap=1)"
Global Payments Inc.,2012-07-25,0,,,,,,,,,,Global Valley Networks (overlap=1); Global Valley Networks (overlap=1); Global Valley Networks (overlap=1)
"Global Payments, Inc.",2012-06-22,0,,,,,,,,,,Global Valley Networks (overlap=1); Global Valley Networks (overlap=1); Global Valley Networks (overlap=1)
GoDaddy,2021-09-06,0,,,,,,,,,,None
GoDaddy.com,2013-01-30,1,normalized_match,GoDaddy.com LLC,,,0025730607,2017-04-01,,,,
GoDaddy.com,2012-08-18,1,normalized_match,GoDaddy.com LLC,,,0025730607,2017-04-01,,,,
GoDaddy.com LLC,2019-10-19,1,normalized_match,GoDaddy.com LLC,,,0025730607,2017-04-01,,,,
GoDaddy.com LLC,2019-10-16,1,normalized_match,GoDaddy.com LLC,,,0025730607,2017-04-01,,,,
"GoDaddy.com, LLC",2021-09-06,1,normalized_match,GoDaddy.com LLC,,,0025730607,2017-04-01,,,,
"GoDaddy.com, LLC",2022-03-14,1,normalized_match,GoDaddy.com LLC,,,0025730607,2017-04-01,,,,
Google,2016-08-10,0,,,,,,,,,,Google Dialer Inc. (overlap=1); Google Hangouts (overlap=1); Google Hangouts (overlap=1)
Google Inc.,2016-03-29,0,,,,,,,,,,Google Dialer Inc. (overlap=1); Google Hangouts (overlap=1); Google Hangouts (overlap=1)
Google Inc.,2016-08-10,0,,,,,,,,,,Google Dialer Inc. (overlap=1); Google Hangouts (overlap=1); Google Hangouts (overlap=1)
Google Inc.,2016-05-06,0,,,,,,,,,,Google Dialer Inc. (overlap=1); Google Hangouts (overlap=1); Google Hangouts (overlap=1)
"Google, Inc.",2008-06-27,0,,,,,,,,,,Google Dialer Inc. (overlap=1); Google Hangouts (overlap=1); Google Hangouts (overlap=1)
"Google, Inc.",2017-06-29,0,,,,,,,,,,Google Dialer Inc. (overlap=1); Google Hangouts (overlap=1); Google Hangouts (overlap=1)
"Grand River Capital, LLC",2023-04-20,0,,,,,,,,,,"Grand River Mutual Tel. Corporation (overlap=2); Grand River Long Distance (overlap=2); Grand River Communications, Inc. (overlap=2)"
Gray Television,2016-08-08,0,,,,,,,,,,"Gray Florida Holdings, Inc. (overlap=1); Commercial Radio & Television, Inc. (overlap=1); Manning Municipal Communications & Television (overlap=1)"
Gray Television Inc,2016-08-10,0,,,,,,,,,,"Gray Florida Holdings, Inc. (overlap=1); Commercial Radio & Television, Inc. (overlap=1); Manning Municipal Communications & Television (overlap=1)"
"Gray Television, Inc.",2021-09-01,0,,,,,,,,,,"Gray Florida Holdings, Inc. (overlap=1); Commercial Radio & Television, Inc. (overlap=1); Manning Municipal Communications & Television (overlap=1)"
"Gray Television, Inc.",2016-02-16,0,,,,,,,,,,"Gray Florida Holdings, Inc. (overlap=1); Commercial Radio & Television, Inc. (overlap=1); Manning Municipal Communications & Television (overlap=1)"
"Gray Television, Inc.",2016-08-12,0,,,,,,,,,,"Gray Florida Holdings, Inc. (overlap=1); Commercial Radio & Television, Inc. (overlap=1); Manning Municipal Communications & Television (overlap=1)"
"Gray, Inc.",2018-04-01,0,,,,,,,,,,"Gray Florida Holdings, Inc. (overlap=1); Gray Bear Resources Corp (overlap=1); Gray Bear Resources Corp (overlap=1)"
"Harrison, Mauro & Morgan, P.A.",2022-02-01,0,,,,,,,,,,Marne & Elk Horn Tel. Co. (overlap=1); Marne & Elk Horn Telephone Company (overlap=1); Marne & Elk Horn Telephone Company (overlap=1)
"HBP, Inc.",2023-05-14,0,,,,,,,,,,None
"Healthcare Fiscal Management, Inc.",2020-04-12,0,,,,,,,,,,"Coin Phone Management Company (overlap=1); Coin Phone Management Company (overlap=1); Payphone Management, Inc. (overlap=1)"
"Healthcare Fiscal Management, Inc.",2020-04-13,0,,,,,,,,,,"Coin Phone Management Company (overlap=1); Coin Phone Management Company (overlap=1); Payphone Management, Inc. (overlap=1)"
"Henry Schein, Inc.",2023-09-27,0,,,,,,,,,,Henry County Tel. Co. (overlap=1); Henry County Telephone Company (overlap=1); Henry County Telephone Company (overlap=1)
"Herbalife International of America, Inc.",2022-02-01,0,,,,,,,,,,Telehouse International Corporation of America (overlap=3); Telehouse International Corporation of America (overlap=3); Telehouse International Corporation of America (overlap=3)
Hershey Entertainment & Resorts Company,2015-02-01,0,,,,,,,,,,1Stop Media & Entertainment Inc. (overlap=2); 1Stop Media & Entertainment Inc. (overlap=2); Marne & Elk Horn Tel. Co. (overlap=1)
Hewlett Packard Company,2007-08-16,0,,,,,,,,,,Packard Fiber LTD (overlap=1); Packard Fiber LTD (overlap=1)
Hewlett Packard Enterprise Company,2023-12-12,0,,,,,,,,,,"Verizon Enterprise Solutions (overlap=1); Verizon Enterprise Solutions (overlap=1); Global Enterprise Telecommunication Spec., Inc. (overlap=1)"
Hewlett Packard Enterprise Company,2025-02-05,0,,,,,,,,,,"Verizon Enterprise Solutions (overlap=1); Verizon Enterprise Solutions (overlap=1); Global Enterprise Telecommunication Spec., Inc. (overlap=1)"
Hewlett-Packard Company,2010-02-09,0,,,,,,,,,,None
Hewlett-Packard Company,2007-07-01,0,,,,,,,,,,None
Hewlett-Packard Company,2008-12-08,0,,,,,,,,,,None
Hewlett-Packard Company,2008-12-04,0,,,,,,,,,,None
Holden International,2021-04-01,0,,,,,,,,,,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
Home Box Office,2017-05-15,1,normalized_match,"Home Box Office, a Division of Time Warner Entertainment",HBO Communications Center,Home Box Office,,1997-01-01,2003-03-31,All assets of this company have been sold to another party.,823192,
"Home Box Office, Inc.",2017-05-15,1,normalized_match,"Home Box Office, a Division of Time Warner Entertainment",HBO Communications Center,Home Box Office,,1997-01-01,2003-03-31,All assets of this company have been sold to another party.,823192,
"Home Box Office, Inc.",2017-07-23,1,normalized_match,"Home Box Office, a Division of Time Warner Entertainment",HBO Communications Center,Home Box Office,,1997-01-01,2003-03-31,All assets of this company have been sold to another party.,823192,
"Home Box Office, Inc.",2017-10-30,1,normalized_match,"Home Box Office, a Division of Time Warner Entertainment",HBO Communications Center,Home Box Office,,1997-01-01,2003-03-31,All assets of this company have been sold to another party.,823192,
Honeywell International Inc.,2021-02-16,0,,,,,,,,,,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
Honeywell International Inc.,2023-06-03,0,,,,,,,,,,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
Honeywell International Inc.,2023-05-27,0,,,,,,,,,,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
"Honeywell International, Inc.",2023-05-27,0,,,,,,,,,,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
Horizon Healthcare RCM,2024-12-26,0,,,,,,,,,,Horizon Chillicothe Telephone (overlap=1); Horizon Chillicothe Telephone (overlap=1); Horizon one (overlap=1)
"Hoya Optical Labs of America, Inc.",2021-03-15,0,,,,,,,,,,"Frontier Communications of America, Inc. (overlap=2); Frontier Communications of America, Inc. (overlap=2); Frontier Communications of America, Inc. (overlap=2)"
HP Enterprise Services,2012-12-28,0,,,,,,,,,,"Fidium Enterprise Services, LLC (overlap=2); Consolidated Communications Enterprise Services (overlap=2); Yipes Enterprise Services, Inc. (overlap=2)"
HP Enterprise Services LLC,2016-09-16,0,,,,,,,,,,"Fidium Enterprise Services, LLC (overlap=2); Consolidated Communications Enterprise Services (overlap=2); Yipes Enterprise Services, Inc. (overlap=2)"
"HP Enterprise Services, LLC",2016-11-07,0,,,,,,,,,,"Fidium Enterprise Services, LLC (overlap=2); Consolidated Communications Enterprise Services (overlap=2); Yipes Enterprise Services, Inc. (overlap=2)"
"HTI Technology & Industries, Inc.",2022-08-18,0,,,,,,,,,,"State of Iowa, Iowa Telecommunications & Technology (overlap=2); Nebraska Technology & Telecommunications, Inc. (overlap=2); Nebraska Technology & Telecommunications, Inc. (overlap=2)"
Huntington Hospitality Financial Services Corp,2025-07-18,0,,,,,,,,,,"Spectrotel Services, LLC Razgate Financial, LLC (overlap=2); ABM Financial Services, Inc. (overlap=2); ABM Financial Services, Inc. (overlap=2)"
"Huntington Ingalls Industries, Inc.",2022-03-01,0,,,,,,,,,,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
Huntwood Industries,2025-08-09,0,,,,,,,,,,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
IBM,2007-02-23,0,,,,,,,,,,None
IBM,2011-04-14,0,,,,,,,,,,None
"IES Communications, LLC",2025-03-07,0,,,,,,,,,,"Corr Wireless Communications, LLC (overlap=1); Corr Wireless Communications, LLC (overlap=1); Liberty Communications (overlap=1)"
iHeart Media Inc,2017-08-31,0,,,,,,,,,,"Four Media Company (overlap=1); Interactive Media Technologies, Inc. (overlap=1); Interactive Media Technologies, Inc. (overlap=1)"
"iHeartMedia + Entertainment, Inc.",2024-12-24,0,,,,,,,,,,"Home Box Office, a Division of Time Warner Entertainment (overlap=1); M + B Telcom, Inc. (overlap=1); M + B Telcom (overlap=1)"
"iHeartMedia + Entertainment, Inc.",2025-04-30,0,,,,,,,,,,"Home Box Office, a Division of Time Warner Entertainment (overlap=1); M + B Telcom, Inc. (overlap=1); M + B Telcom (overlap=1)"
"IMA Financial Group, Inc.",2022-10-19,0,,,,,,,,,,"Minnesota Phone Company Financial Group, LLP (overlap=2); Minnesota Phone Company Financial Group, LLP (overlap=2); American Financial Marketing Group Inc. (overlap=2)"
"IMA Financial Group, Inc.",2022-10-18,0,,,,,,,,,,"Minnesota Phone Company Financial Group, LLP (overlap=2); Minnesota Phone Company Financial Group, LLP (overlap=2); American Financial Marketing Group Inc. (overlap=2)"
Impact Mobile Home Communities,2019-07-01,0,,,,,,,,,,RAMONA LINCOLN MOBILE HOME PARK LLC (overlap=2); The Home Telephone Company (overlap=1); The Home Telephone Company (overlap=1)
Impact Mobile Home Communities,2018-10-03,0,,,,,,,,,,RAMONA LINCOLN MOBILE HOME PARK LLC (overlap=2); The Home Telephone Company (overlap=1); The Home Telephone Company (overlap=1)
"Indian Industries, Inc. d/b/a RAVE Sports",2021-01-05,0,,,,,,,,,,"iLOKA, Inc. d/b/a Microtech-Tel (overlap=2); Internet Xpress, Inc. d/b/a IXpress Telecom (overlap=2); Internet Xpress, Inc. d/b/a IXpress Telecom (overlap=2)"
InterActive Financial Marketing Group,2007-11-01,0,,,,,,,,,,"American Financial Marketing Group Inc. (overlap=3); Response Marketing Group (overlap=2); Interactive Marketing Technologies, Inc. (overlap=2)"
International Paper Company,2023-05-30,0,,,,,,,,,,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
"Intuit, Inc.",2008-05-26,0,,,,,,,,,,None
Intuit,2008-09-24,0,,,,,,,,,,None
Intuit Inc.,2014-04-18,0,,,,,,,,,,None
