candidate_type,cik,org,breach_date,candidate,parent_cik,parent_name,cik_resolved_by,verdict,reason,accession,form,filing_date,matching_line,shared_tokens,document_url
a_subsidiary,72945,Northrop Grumman Systems Corporation,2016-04-18,Northrop Grumman Corporation,1133421,Northrop Grumman Corporation,nomination file parent_cik,VERIFIED,named in Exhibit 21 (document type EX-21),0001133421-16-000065,10-K,2016-02-01,Northrop Grumman Systems Corporation,NORTHROP GRUMMAN SYSTEMS,https://www.sec.gov/Archives/edgar/data/1133421/000113342116000065/noc-12312015xex21.htm
a_subsidiary,108772,Xerox Corporation,2023-12-10,Xerox Holdings Corporation,1770450,Xerox Holdings Corporation,nomination file parent_cik,VERIFIED,named in Exhibit 21 (document type EX-21),0001770450-24-000012,10-K,2024-02-23,Xerox Corporation,XEROX,https://www.sec.gov/Archives/edgar/data/1770450/000177045024000012/xrx-123123xex21.htm
a_subsidiary,353394,"Leidos, Inc.",2022-09-30,"Leidos Holdings, Inc.",1336920,"Leidos Holdings, Inc.",nomination file parent_cik,VERIFIED,named in Exhibit 21 (document type EX-21),0001336920-23-000015,10-K,2023-02-14,"Leidos, Inc.",LEIDOS,https://www.sec.gov/Archives/edgar/data/1336920/000133692023000015/ldos12302022ex21.htm
b_successor_cik,826083,Dell Inc.,2013-02-26,"DELL TECHNOLOGIES INC (gvkey 14489, cik 1571996)",1571996,"DELL TECHNOLOGIES INC (gvkey 14489, cik 1571996)",parsed from the Stage 2 candidate string,UNVERIFIED,no 8-K or 12g-3 by either party names the other in a passage carrying succession language,,,,,,
b_successor_cik,912752,"Sinclair Broadcast Group, Inc.",2020-05-01,"SINCLAIR INC (gvkey 60800, cik 1971213)",1971213,"SINCLAIR INC (gvkey 60800, cik 1971213)",parsed from the Stage 2 candidate string,VERIFIED,"CIK 1971213 filing names 'Sinclair Broadcast Group, Inc.' in a passage carrying succession language",0001193125-23-158935,8-K,2023-06-01,"”) that, following the Share Exchange, New Sinclair became the successor issuer to SBG. More specifically, pursuant to Exchange Act Rule 12g-3(a), the",defined term 'SBG',https://www.sec.gov/Archives/edgar/data/1971213/000119312523158935/d530850d8k.htm
b_successor_cik,912752,"Sinclair Broadcast Group, Inc.",2021-06-23,"SINCLAIR INC (gvkey 60800, cik 1971213)",1971213,"SINCLAIR INC (gvkey 60800, cik 1971213)",parsed from the Stage 2 candidate string,VERIFIED,"CIK 1971213 filing names 'Sinclair Broadcast Group, Inc.' in a passage carrying succession language",0001193125-23-158935,8-K,2023-06-01,"”) that, following the Share Exchange, New Sinclair became the successor issuer to SBG. More specifically, pursuant to Exchange Act Rule 12g-3(a), the",defined term 'SBG',https://www.sec.gov/Archives/edgar/data/1971213/000119312523158935/d530850d8k.htm
b_successor_cik,912752,"Sinclair Broadcast Group, Inc.",2021-12-16,"SINCLAIR INC (gvkey 60800, cik 1971213)",1971213,"SINCLAIR INC (gvkey 60800, cik 1971213)",parsed from the Stage 2 candidate string,VERIFIED,"CIK 1971213 filing names 'Sinclair Broadcast Group, Inc.' in a passage carrying succession language",0001193125-23-158935,8-K,2023-06-01,"”) that, following the Share Exchange, New Sinclair became the successor issuer to SBG. More specifically, pursuant to Exchange Act Rule 12g-3(a), the",defined term 'SBG',https://www.sec.gov/Archives/edgar/data/1971213/000119312523158935/d530850d8k.htm
b_successor_cik,1000564,Communications & Power Industries LLC,2020-01-18,"AMERICAN ELECTRIC POWER CO (gvkey 1440, cik 4904)",4904,"AMERICAN ELECTRIC POWER CO (gvkey 1440, cik 4904)",parsed from the Stage 2 candidate string,UNVERIFIED,no 8-K or 12g-3 by either party names the other in a passage carrying succession language,,,,,,
a_subsidiary,1091411,Sony Corporation of America,2009-06-02,Sony Group Corporation,313838,Sony Group Corporation,nomination file parent_cik,UNVERIFIED,no 10-K within 548 days of 2009-06-02 00:00:00,,,,,,
a_subsidiary,1137785,Seagate US LLC,2016-02-29,Seagate Technology Holdings plc,1137789,Seagate Technology Holdings plc,nomination file parent_cik,VERIFIED,named in Exhibit 21 (document type EX-21.1),0001047469-16-014732,10-K,2016-08-05,Seagate US LLC,SEAGATE US,https://www.sec.gov/Archives/edgar/data/1137789/000104746916014732/a2229376zex-21_1.htm
a_subsidiary,1137785,Seagate US LLC,2016-03-14,Seagate Technology Holdings plc,1137789,Seagate Technology Holdings plc,nomination file parent_cik,VERIFIED,named in Exhibit 21 (document type EX-21.1),0001047469-16-014732,10-K,2016-08-05,Seagate US LLC,SEAGATE US,https://www.sec.gov/Archives/edgar/data/1137789/000104746916014732/a2229376zex-21_1.htm
a_subsidiary,1205274,"Herbalife International of America, Inc.",2022-02-01,Herbalife Ltd.,1180262,Herbalife Ltd.,nomination file parent_cik,VERIFIED,named in Exhibit 21 (document type EX-21.1),0000950170-22-001787,10-K,2022-02-23,"Herbalife International of America, Inc.",HERBALIFE INTERNATIONAL AMERICA,https://www.sec.gov/Archives/edgar/data/1180262/000095017022001787/hlf-ex21_1.htm
b_successor_cik,1283246,International Paper Company,2023-05-30,"INTL PAPER CO (gvkey 6104, cik 51434)",51434,"INTL PAPER CO (gvkey 6104, cik 51434)",parsed from the Stage 2 candidate string,UNVERIFIED,no 8-K or 12g-3 by either party names the other in a passage carrying succession language,,,,,,
a_subsidiary,1387793,"T. Rowe Price Retirement Plan Services, Inc.",2007-12-24,"T. Rowe Price Group, Inc.",1113169,"T. Rowe Price Group, Inc.",nomination file parent_cik,VERIFIED,named in Exhibit 21 (filename pattern (no EX-21 document type found)),0000950133-08-000389,10-K,2008-02-07,"T. Rowe Price Retirement Plan Services, Inc. (Maryland)",T ROWE PRICE RETIREMENT PLAN SERVICES,https://www.sec.gov/Archives/edgar/data/1113169/000095013308000389/w47962exv21.htm
a_subsidiary,1387793,"T. Rowe Price Retirement Plan Services, Inc.",2023-05-29,"T. Rowe Price Group, Inc.",1113169,"T. Rowe Price Group, Inc.",nomination file parent_cik,VERIFIED,named in Exhibit 21 (document type EX-21),0001113169-23-000007,10-K,2023-02-15,"T. Rowe Price Retirement Plan Services, Inc.",T ROWE PRICE RETIREMENT PLAN SERVICES,https://www.sec.gov/Archives/edgar/data/1113169/000111316923000007/a202210k-exhibit21q42022.htm
b_successor_cik,1431473,Uber,2014-05-13,"UBER TECHNOLOGIES INC (gvkey 35077, cik 1543151)",1543151,"UBER TECHNOLOGIES INC (gvkey 35077, cik 1543151)",parsed from the Stage 2 candidate string,UNVERIFIED,no 8-K or 12g-3 by either party names the other in a passage carrying succession language,,,,,,
a_subsidiary,1457738,"iHeartMedia + Entertainment, Inc.",2024-12-24,"iHeartMedia, Inc.",1400891,"iHeartMedia, Inc.",nomination file parent_cik,VERIFIED,named in Exhibit 21 (document type EX-21),0001400891-25-000009,10-K,2025-02-27,"iHeartMedia + Entertainment, Inc.",IHEARTMEDIA ENTERTAINMENT,https://www.sec.gov/Archives/edgar/data/1400891/000140089125000009/exhibit21-ihmedia2024q4.htm
a_subsidiary,1457738,"iHeartMedia + Entertainment, Inc.",2025-04-30,"iHeartMedia, Inc.",1400891,"iHeartMedia, Inc.",nomination file parent_cik,VERIFIED,named in Exhibit 21 (document type EX-21),0001400891-25-000009,10-K,2025-02-27,"iHeartMedia + Entertainment, Inc.",IHEARTMEDIA ENTERTAINMENT,https://www.sec.gov/Archives/edgar/data/1400891/000140089125000009/exhibit21-ihmedia2024q4.htm
a_subsidiary,1501362,"J.B. Hunt Transport, Inc.",2020-08-01,"J.B. Hunt Transport Services, Inc.",728535,"J.B. Hunt Transport Services, Inc.",nomination file parent_cik,VERIFIED,named in Exhibit 21 (document type EX-21.1),0001437749-20-004119,10-K,2020-03-02,"J.B. Hunt Transport, Inc., a Georgia corporation",JB HUNT TRANSPORT,https://www.sec.gov/Archives/edgar/data/728535/000143774920004119/ex_174335.htm
a_subsidiary,1501362,"J.B. Hunt Transport, Inc.",2020-08-17,"J.B. Hunt Transport Services, Inc.",728535,"J.B. Hunt Transport Services, Inc.",nomination file parent_cik,VERIFIED,named in Exhibit 21 (document type EX-21.1),0001437749-20-004119,10-K,2020-03-02,"J.B. Hunt Transport, Inc., a Georgia corporation",JB HUNT TRANSPORT,https://www.sec.gov/Archives/edgar/data/728535/000143774920004119/ex_174335.htm
a_subsidiary,1516658,Gates Corporation,2023-02-07,Gates Industrial Corporation plc,1718512,Gates Industrial Corporation plc,nomination file parent_cik,VERIFIED,named in Exhibit 21 (document type EX-21.1),0001718512-23-000013,10-K,2023-02-09,Gates Corporation,GATES,https://www.sec.gov/Archives/edgar/data/1718512/000171851223000013/gtes-exhibit211xq42022.htm
a_subsidiary,1516658,Gates Corporation,2023-02-11,Gates Industrial Corporation plc,1718512,Gates Industrial Corporation plc,nomination file parent_cik,VERIFIED,named in Exhibit 21 (document type EX-21.1),0001718512-23-000013,10-K,2023-02-09,Gates Corporation,GATES,https://www.sec.gov/Archives/edgar/data/1718512/000171851223000013/gtes-exhibit211xq42022.htm
b_successor_cik,1808065,Aon Corporation PLC,2020-12-29,"AON PLC (gvkey 3221, cik 315293)",315293,"AON PLC (gvkey 3221, cik 315293)",parsed from the Stage 2 candidate string,VERIFIED,CIK 315293 filing names 'Aon Corporation PLC' in a passage carrying succession language,0001193125-20-093512,8-K12B,2020-04-01,"As a result of the Reorganization, Aon UK is now a wholly owned subsidiary of Aon Ireland. Pursuant to Rule 12g-3(a) promulgated under the Securities Exchange Act of 1934, as amended (the “Exchange Act”), Aon Ireland is the successor issuer to Aon UK and the Aon Ireland Shares are deemed to be regis",AON,https://www.sec.gov/Archives/edgar/data/315293/000119312520093512/d867242d8k12b.htm
b_successor_cik,1808065,Aon PLC,2022-02-25,"AON PLC (gvkey 3221, cik 315293)",315293,"AON PLC (gvkey 3221, cik 315293)",parsed from the Stage 2 candidate string,VERIFIED,CIK 315293 filing names 'Aon PLC' in a passage carrying succession language,0001193125-20-093512,8-K12B,2020-04-01,"As a result of the Reorganization, Aon UK is now a wholly owned subsidiary of Aon Ireland. Pursuant to Rule 12g-3(a) promulgated under the Securities Exchange Act of 1934, as amended (the “Exchange Act”), Aon Ireland is the successor issuer to Aon UK and the Aon Ireland Shares are deemed to be regis",AON,https://www.sec.gov/Archives/edgar/data/315293/000119312520093512/d867242d8k12b.htm
a_subsidiary,1834695,"Volkswagen Group of America, Inc.",2019-08-01,Volkswagen AG,1111708,Volkswagen AG,"NOMINATED: SEC cik-lookup-data.txt exact unique name match; basis: name knowledge: VW Group of America is US sub; parent foreign, ADR only",UNVERIFIED,no 10-K within 548 days of 2019-08-01 00:00:00,,,,,,
a_subsidiary,1870564,"Activision Publishing, Inc.",2012-08-01,"Activision Blizzard, Inc.",718877,"Activision Blizzard, Inc.",NOMINATED: SEC cik-lookup-data.txt exact unique name match; basis: name knowledge: Activision Publishing is the operating sub,VERIFIED,named in Exhibit 21 (filename pattern (no EX-21 document type found)),0001047469-12-001775,10-K,2012-02-28,"Activision Publishing, Inc",ACTIVISION PUBLISHING,https://www.sec.gov/Archives/edgar/data/718877/000104746912001775/a2207405zex-21_1.htm
a_subsidiary,1870564,"Activision Publishing, Inc.",2022-12-02,"Activision Blizzard, Inc.",718877,"Activision Blizzard, Inc.",NOMINATED: SEC cik-lookup-data.txt exact unique name match; basis: name knowledge: Activision Publishing is the operating sub,VERIFIED,named in Exhibit 21 (document type EX-21.1),0001628280-23-004842,10-K,2023-02-23,"Activision Publishing, Inc.",ACTIVISION PUBLISHING,https://www.sec.gov/Archives/edgar/data/718877/000162828023004842/atvi123122ex211.htm
a_subsidiary,1984463,"Warn Industries, Inc.",2018-02-28,Dover Corporation,29905,Dover Corporation,nomination file parent_cik,UNVERIFIED,"Exhibit 21 does not list 'Warn Industries, Inc.'",0000029905-18-000019,10-K/A,2018-02-16,,,https://www.sec.gov/Archives/edgar/data/29905/000002990518000019/a2017123110-kaexhibit21.htm
ncusip_name_mismatch,732717,Cricket Wireless LLC,2018-08-17,,732717,A T & T INC,permno 66093 -> cusip8 -> gvkey -> cik via the local pulls,VERIFIED,named in Exhibit 21 (document type EX-21),0000732717-18-000009,10-K,2018-02-20,Cricket Wireless LLC,CRICKET WIRELESS,https://www.sec.gov/Archives/edgar/data/732717/000073271718000009/ex21.htm
ncusip_name_mismatch,732717,Cricket Wireless LLC,2018-08-21,,732717,A T & T INC,permno 66093 -> cusip8 -> gvkey -> cik via the local pulls,VERIFIED,named in Exhibit 21 (document type EX-21),0000732717-18-000009,10-K,2018-02-20,Cricket Wireless LLC,CRICKET WIRELESS,https://www.sec.gov/Archives/edgar/data/732717/000073271718000009/ex21.htm
