kind,cik,org_name,breach_date,field,old_value,new_value,applied,evidence
stage3_a_subsidiary,1137785,Seagate US LLC,2016-02-29,final_cik,1137785,1137789,YES,Stage 3 VERIFIED (a_subsidiary); accession 0001047469-16-014732; matching line/passage: 'Seagate US LLC'
stage3_a_subsidiary,1137785,Seagate US LLC,2016-03-14,final_cik,1137785,1137789,YES,Stage 3 VERIFIED (a_subsidiary); accession 0001047469-16-014732; matching line/passage: 'Seagate US LLC'
stage3_a_subsidiary,1205274,"Herbalife International of America, Inc.",2022-02-01,final_cik,1205274,1180262,YES,"Stage 3 VERIFIED (a_subsidiary); accession 0000950170-22-001787; matching line/passage: 'Herbalife International of America, Inc.'"
stage3_b_successor_cik,1288776,"Google, Inc.",2008-06-27,final_cik,1288776,1652044,YES,"Stage 3 VERIFIED (b_successor_cik); accession 0001193125-15-336577; matching line/passage: '(“ Alphabet ”), by implementing a holding company reorganization (the “ Alphabet Merger ”). Following the Alphabet Merge'"
stage3_a_subsidiary,1387793,"T. Rowe Price Retirement Plan Services, Inc.",2007-12-24,final_cik,1387793,1113169,YES,"Stage 3 VERIFIED (a_subsidiary); accession 0000950133-08-000389; matching line/passage: 'T. Rowe Price Retirement Plan Services, Inc. (Maryland)'"
stage3_a_subsidiary,1387793,"T. Rowe Price Retirement Plan Services, Inc.",2023-05-29,final_cik,1387793,1113169,YES,"Stage 3 VERIFIED (a_subsidiary); accession 0001113169-23-000007; matching line/passage: 'T. Rowe Price Retirement Plan Services, Inc.'"
stage3_a_subsidiary,1457738,"iHeartMedia + Entertainment, Inc.",2024-12-24,final_cik,1457738,1400891,YES,"Stage 3 VERIFIED (a_subsidiary); accession 0001400891-25-000009; matching line/passage: 'iHeartMedia + Entertainment, Inc.'"
stage3_a_subsidiary,1457738,"iHeartMedia + Entertainment, Inc.",2025-04-30,final_cik,1457738,1400891,YES,"Stage 3 VERIFIED (a_subsidiary); accession 0001400891-25-000009; matching line/passage: 'iHeartMedia + Entertainment, Inc.'"
stage3_a_subsidiary,1501362,"J.B. Hunt Transport, Inc.",2020-08-01,final_cik,1501362,728535,YES,"Stage 3 VERIFIED (a_subsidiary); accession 0001437749-20-004119; matching line/passage: 'J.B. Hunt Transport, Inc., a Georgia corporation'"
stage3_a_subsidiary,1501362,"J.B. Hunt Transport, Inc.",2020-08-17,final_cik,1501362,728535,YES,"Stage 3 VERIFIED (a_subsidiary); accession 0001437749-20-004119; matching line/passage: 'J.B. Hunt Transport, Inc., a Georgia corporation'"
stage3_a_subsidiary,1516658,Gates Corporation,2023-02-07,final_cik,1516658,1718512,YES,Stage 3 VERIFIED (a_subsidiary); accession 0001718512-23-000013; matching line/passage: 'Gates Corporation'
stage3_a_subsidiary,1516658,Gates Corporation,2023-02-11,final_cik,1516658,1718512,YES,Stage 3 VERIFIED (a_subsidiary); accession 0001718512-23-000013; matching line/passage: 'Gates Corporation'
stage3_b_successor_cik,1808065,Aon Corporation PLC,2020-12-29,final_cik,1808065,315293,YES,"Stage 3 VERIFIED (b_successor_cik); accession 0001193125-20-093512; matching line/passage: 'As a result of the Reorganization, Aon UK is now a wholly owned subsidiary of Aon Ireland. Pursuant to Rule 12g-3(a) pro'"
stage3_b_successor_cik,1808065,Aon PLC,2022-02-25,final_cik,1808065,315293,YES,"Stage 3 VERIFIED (b_successor_cik); accession 0001193125-20-093512; matching line/passage: 'As a result of the Reorganization, Aon UK is now a wholly owned subsidiary of Aon Ireland. Pursuant to Rule 12g-3(a) pro'"
stage3_a_subsidiary,1870564,"Activision Publishing, Inc.",2012-08-01,final_cik,1870564,718877,YES,"Stage 3 VERIFIED (a_subsidiary); accession 0001047469-12-001775; matching line/passage: 'Activision Publishing, Inc'"
stage3_a_subsidiary,1870564,"Activision Publishing, Inc.",2022-12-02,final_cik,1870564,718877,YES,"Stage 3 VERIFIED (a_subsidiary); accession 0001628280-23-004842; matching line/passage: 'Activision Publishing, Inc.'"
