final_cik,breach_date,org_name,name_variants,n_source_records,breach_type,multi_type,total_affected_max,multi_filing,incident_details,reported_date,end_breach_date,information_affected,organization_type,final_grade,final_evidence,chain_note,fcc_form499,treatment_evidence
51143,2007-02-23,IBM,IBM,1,PHYS,False,19,False,"The New Hampshire Department of Justice reported on April 26, 2007, that IBM experienced a data breach involving the loss of data tapes containing archival employment-related information on current and former IBM employees, including Social Security numbers. The breach affected 1,468 New Hampshire residents, and the vendor has implemented remedial measures to prevent recurrence.",2007-04-26 00:00:00,2007-02-23 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number"""",""""Dates of employment"""",""""Birth date"""",""""Address""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Employment-related information"""",""""IBM work history"""",""""Dates of employment""""]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED-GATE1,Gate1-G rescue: acronym defeated exact match; documented acronym mapping (ticker IBM -> CIK 51143),,0,
51143,2011-04-14,IBM,IBM,1,HACK,False,1900000,False,"The U.S. Department of Health and Human Services reported a data breach involving IBM on April 14, 2011, affecting a total of 1,900,000 individuals. The specific type of breach is unknown, and the location of the breached information is listed as 'Other' in New York (NY).",2011-04-14 00:00:00,2011-04-14 00:00:00,"{""""Encryption Status"""":""""UNKN"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Protected Classification Characteristics"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Customer Records"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]}}}",BSO,VERIFIED-GATE1,Gate1-G rescue: acronym defeated exact match; documented acronym mapping (ticker IBM -> CIK 51143),,0,
58696,2023-07-20,Lennar Corporation,Lennar Corporation,1,HACK,False,7448,False,"The Oregon Department of Justice reported that Lennar Corporation experienced a data breach affecting 7,448 individuals. The breach occurred between July 20, 2023, and August 11, 2023, with the discovery date on July 20, 2023, and notification sent on October 4, 2023.",2023-10-10 00:00:00,2023-08-11 00:00:00,"{""""Encryption Status"""":""""UNKN"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Protected Classification Characteristics"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Customer Records"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]}}}",BSO,VERIFIED,EDGAR name: LENNAR CORP,,0,
62709,2013-06-01,"Marsh & McLennan Companies, Inc.","Marsh & McLennan Companies, Inc.",1,HACK,False,86,False,"On November 26, 2013, the New Hampshire Office of the Attorney General reported a data breach at Kroll Background Screening Services affecting 86 New Hampshire residents. The breach involved unauthorized access to personal information including names, Social Security Numbers, addresses, and employment histories, which began in June 2013 and continued until September 2013.",2013-11-26 00:00:00,2013-09,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Name"""",""""Social Security Number"""",""""Address""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Employment histories""""]},""""Education Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Academic histories""""]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security Number""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED,EDGAR name: MARSH & MCLENNAN COMPANIES INC,,0,
68505,2009-01-01,"Motorola, Inc.","Motorola, Inc.",1,HACK,False,6,False,"On February 6, 2009, the New Hampshire Attorney General's Office reported a data breach involving Motorola's Enterprise Mobility Solutions, revealing a security vulnerability on its Software Technology Center website. This breach potentially affected the personal information of six New Hampshire residents, including names, contact information, and payment card details from transactions made between 2000 and 2005.",2009-02-06 00:00:00,2005-12-01 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Name"""",""""Address"""",""""E-mail address"""",""""Phone number"""",""""Payment card number""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Payment card number"""",""""Payment card expiration date""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED,EDGAR name: MOTOROLA INC,,0,
68505,2009-02-17,"Motorola, Inc.","Motorola, Inc.",1,HACK,False,3,False,"The Massachusetts Office of Consumer Affairs and Business Regulation reported that Motorola, Inc. experienced a data breach on February 17, 2009, affecting 50 residents. The breach involved the compromise of electronic records, specifically credit and debit numbers.",2009-02-17 00:00:00,2009-02-17 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""CreditDebitNumbers""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED,EDGAR name: MOTOROLA INC,,0,
69960,2016-01-01,NCH Corporation,NCH Corporation,2,HACK,False,4171,True,"The Maine Attorney General's Office reported a data breach involving NCH Corporation on January 25, 2019. The breach occurred between January 1, 2016, and November 30, 2018, affecting a total of 4,171 individuals, including 7 Maine residents. The compromised information included driver's license numbers or non-driver identification card numbers, and identity theft protection services were offered for 12 months through Experian.",2019-01-25 00:00:00,2018-11-30 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Driver's license number"""",""""Non-driver identification card number""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Driver's license number"""",""""Non-driver identification card number""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED,EDGAR name: NCH CORP,,0,
69960,2018-11-30,NCH Corporation,NCH Corporation,1,HACK,False,12,False,"The New Hampshire Attorney General's Office reported a data breach involving NCH Corporation on January 28, 2019. The breach, discovered on November 30, 2018, involved unauthorized access to legacy databases containing the names and Social Security numbers of twelve New Hampshire residents, beginning in January 2016.",2019-01-28 00:00:00,2018-12-20 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Name"""",""""Social Security number""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED,EDGAR name: NCH CORP,,0,
69960,2021-03-02,NCH Corporation,NCH Corporation,2,HACK,False,29,True,"The Maine Attorney General's Office reported that NCH Corporation experienced a data breach involving unauthorized access to its network between March 2, 2021, and March 5, 2021. The breach potentially exposed the names and Social Security numbers and/or driversâ€™ license numbers of certain current and former employees and their dependents. NCH plans to notify six affected Maine residents by mail starting July 29, 2021.",2021-07-29 00:00:00,2021-03-05 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Names"""",""""Social Security numbers"""",""""Driversâ€™ license numbers"""",""""Passport numbers""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security numbers"""",""""Driversâ€™ license numbers"""",""""Passport numbers""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED,EDGAR name: NCH CORP,,0,
72945,2016-04-18,Northrop Grumman Systems Corporation,Northrop Grumman Systems Corporation,1,HACK,False,2,False,"The New Hampshire Attorney General's Office reported a data breach involving Northrop Grumman Systems Corporation on April 19, 2017. The breach, confirmed by Equifax Workforce Solutions, involved unauthorized access to employees' personal information from April 18, 2016, to March 29, 2017, potentially affecting approximately two New Hampshire residents. The compromised information included names, addresses, Social Security numbers, and wage information.",2017-04-19 00:00:00,2017-03-29 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Name"""",""""Address"""",""""Work email address"""",""""Work phone number"""",""""Social Security number"""",""""Employer identification number"""",""""Personal phone number"""",""""Personal email address""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED,EDGAR name: NORTHROP CORP,,0,
73309,2023-05-26,Nucor Corporation,Nucor Corporation,3,HACK,False,8824,True,"The Maryland Office of the Attorney General reported on June 28, 2023, that Nucor Corporation experienced unauthorized access to personal information affecting four Maryland residents. The breach occurred between approximately May 26, 2023, and June 1, 2023, due to a vulnerability in the MOVEit file transfer system, compromising names, bank account numbers, amounts deposited, and routing numbers.",2023-06-28 00:00:00,2023-06-01 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Name"""",""""Bank account number"""",""""Routing number""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Bank account number"""",""""Routing number""""]},""""Customer Records"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Bank account number"""",""""Routing number""""]}}}",BSO,VERIFIED,EDGAR name: NUCOR CORP,,0,
73309,2025-05-03,Nucor Corporation,Nucor Corporation,2,HACK,False,1,True,"The New Hampshire Attorney General's Office reported a data breach involving Nucor Corporation on June 27, 2025. The breach occurred between May 3, 2025, and May 13, 2025, affecting the personal information of one New Hampshire resident, including their Social Security number, corporate credit card number, and date of birth. Nucor is offering 24 months of free credit monitoring to the affected individual.",2025-06-27 00:00:00,2025-05-13 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number"""",""""Date of birth""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number"""",""""Corporate credit card number""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED,EDGAR name: NUCOR CORP,,0,
73756,2024-01-01,"Oceaneering International, Inc.","Oceaneering International, Inc.",1,DISC,False,1,False,"On March 1, 2024, the New Hampshire Department of Justice reported a data breach involving Oceaneering International, Inc. The breach, discovered in early February 2024, involved the mailing of W-2 forms that exposed the personal information of one New Hampshire resident due to a transparent window in the envelope. Oceaneering is providing credit monitoring services through Experian IdentityWorks to the affected individual.",2024-03-01 00:00:00,2024-02-01 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Personal information on W-2 form""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED,EDGAR name: OCEANEERING INTERNATIONAL INC,,0,
75362,2018-01-22,PACCAR,PACCAR,1,PORT,False,1,False,"The New Hampshire Attorney General's Office reported a data breach involving PACCAR on February 14, 2018. The breach occurred due to a stolen laptop and thumb drive containing customer information on January 22, 2018. The incident potentially affected personal information of one resident, including names, social security numbers, and credit information.",2018-02-14 00:00:00,2018-01-22 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Name"""",""""Social Security number""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Credit information""""]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED,EDGAR name: PACCAR INC,,0,
76334,2022-03-11,Parker-Hannifin Corporation,Parker-Hannifin Corporation,3,HACK,False,99238,True,"The Washington State Office of the Attorney General reported a data breach involving Parker-Hannifin Corporation on May 12, 2022. The breach occurred from March 11, 2022, to March 14, 2022, due to unauthorized access, affecting 4,597 Washington residents, with compromised information including names, Social Security numbers, financial data, and health information.",2022-05-12 00:00:00,2022-03-14 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Name"""",""""Social Security number"""",""""Date of birth"""",""""Address"""",""""Driver's license number"""",""""U.S. passport number"""",""""Online account username/password""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number"""",""""Driver's license number"""",""""U.S. passport number"""",""""Financial account information (bank account and routing numbers)"""",""""Health insurance plan member ID number"""",""""Medical and clinical treatment information""""]},""""Customer Records"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Financial account information (bank account and routing numbers)"""",""""Health insurance plan member ID number""""]}}}",BSO,VERIFIED,EDGAR name: PARKER HANNIFIN CORP,,0,
77476,2021-02-24,"PepsiCo, Inc.","PepsiCo, Inc.",1,HACK,False,4,False,"On October 7, 2022, the New Hampshire Office of the Attorney General was notified of a data breach involving PepsiCo, Inc. and its service provider, Donlen Corporation (now known as Sellerco Corporation). The breach occurred between February 24, 2021, and March 4, 2021, potentially affecting the personal data of four New Hampshire residents, including full names and driverâ€™s license numbers.",2022-10-07 00:00:00,2021-03-04 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Full name"""",""""Driver's license number""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Driver's license number""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED,EDGAR name: PEPSICO INC,,0,
78003,2006-12-01,Pfizer Inc,Pfizer Inc,1,INSD,False,34000,False,"The New Hampshire Department of Justice reported on August 24, 2007, that Pfizer Inc experienced a data breach affecting an estimated 34,000 individuals due to unauthorized removal of confidential information by a former employee. The breach involved potential exposure of sensitive personal information, including names, Social Security numbers, and other identifying details, with no confirmed misuse reported thus far.",2007-08-24 00:00:00,2007-07-10 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Name"""",""""Social Security number"""",""""Taxpayer Identification number"""",""""Home address"""",""""Home phone number"""",""""Cellular phone number"""",""""Fax number"""",""""E-mail address"""",""""Credit card number"""",""""Bank account number"""",""""Passport number"""",""""Driver's license number"""",""""Military identification number"""",""""Birth date"""",""""Signature""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Reason for termination of Pfizer employment""""]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number"""",""""Taxpayer Identification number"""",""""Credit card number"""",""""Bank account number"""",""""Passport number"""",""""Driver's license number"""",""""Military identification number""""]},""""Customer Records"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Signature"""",""""Home phone number"""",""""Cellular phone number"""",""""Fax number""""]}}}",BSO,VERIFIED,EDGAR name: PFIZER INC,,0,
