final_cik,breach_date,org_name,name_variants,n_source_records,breach_type,multi_type,total_affected_max,multi_filing,incident_details,reported_date,end_breach_date,information_affected,organization_type,final_grade,final_evidence,chain_note,fcc_form499,treatment_evidence,car_5d,car_30d,bhar_5d,bhar_30d,return_volatility_pre,return_volatility_post,volume_volatility_pre,volume_volatility_post,volatility_change,permno,matched_ticker,permno_match,has_crsp_data,firm_size_log,leverage,roa,op_margin,prior_breaches_total,prior_breaches_1yr,disclosure_delay_days,delay_invalid,delay_recoded,immediate_disclosure,health_breach,executive_change_30d,executive_change_90d,executive_change_180d,days_to_first_item_5_02,bdt,rdt,e2_pre_sd,e2_post_sd,e2_vol_change,e2_anchor_year,e2_n_pre,e2_n_post,e2_anchor_found,sich,sic2,prior_records_oldstyle,delay_w,prior_events,size_q,year,garch_dv
723254,2020-09-16,Cintas Corporation,Cintas Corporation,1,HACK,False,2,False,"The New Hampshire Attorney General's Office reported a data breach involving Cintas Corporation on February 18, 2021. The breach occurred between September 16, 2020, and September 20, 2020, potentially affecting the names and financial account numbers of two New Hampshire residents. Cintas has implemented additional security measures in response to the incident.",2021-02-18 00:00:00,2020-12-25 00:00:00,"{
  """"Encryption Status"""": """"Unencrypted"""",
  """"Categories Affected"""": {
    """"Personal Identifiers"""": {
      """"Affected"""": """"Yes"""",
      """"Examples"""": [""""Name"""", """"Financial account number""""]
    },
    """"Protected Classification Characteristics"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    },
    """"Commercial Information"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    },
    """"Biometric Information"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    },
    """"Internet or Network Activity"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    },
    """"Geolocation Data"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    },
    """"Sensory Data"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    },
    """"Professional or Employment-Related Information"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    },
    """"Education Information"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    },
    """"Inferences Drawn from Personal Information"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    },
    """"Sensitive Personal Information"""": {
      """"Affected"""": """"Yes"""",
      """"Examples"""": [""""Financial account number""""]
    },
    """"Customer Records"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    }
  }
}",BSO,VERIFIED,EDGAR name: CINTAS CORP,,0,,1.2286,-0.9051,1.1504,-1.0619,25.0576,26.09,128144.36,198086.32,1.0324,23660.0,CTAS,window,1,8.9451,0.5782,0.1142,0.2022,0,0,155.0,0,0,0.0,0,0,0,0,,2020-09-16,2021-02-18,1.652409,2.233079,0.58067,2021.0,21,21,True,7200.0,72,0,155.0,0.0,Q2,2021,0.260858626466846
732712,2008-06-27,Verizon,Verizon,1,HACK,False,3696,False,"The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving Verizon on June 27, 2008, affecting 3,696 residents. The breach compromised electronic records, specifically Social Security Numbers (SSNs).",2008-06-27 00:00:00,2008-06-27 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED-REASONING,SEC EDGAR: Verizon Communications Inc. parent | EDGAR-confirmed,,1,"Clause (a) adjudicated 8/4: Verizon carrier filer family (e.g., Verizon-NY FRN 0003469442 through 2021; successor consolidated records active after) — consolidation naming defeats exact matching post-2021",6.6395,3.7943,6.6036,3.8165,30.7536,22.937,6401200.15,3406965.96,-7.8166,65875.0,VZ,window,1,12.1386,0.5568,0.0295,0.3326,0,0,0.0,0,0,1.0,0,0,0,1,96.0,2008-06-27,2008-06-27,1.910114,1.377018,-0.533096,2008.0,21,21,True,4813.0,48,0,0.0,0.0,Q4 (largest),2008,0.005480631068754738
732712,2014-01-20,Verizon Corporate Services Group Inc.,Verizon Corporate Services Group Inc.,1,HACK,False,1,False,"The Indiana Office of the Attorney General reported that Verizon Corporate Services Group Inc experienced a data breach on January 20, 2014, affecting a total of 215 individuals, including 1 resident of Indiana. The breach was reported on February 25, 2014.",2014-02-25 00:00:00,2014-01-20 00:00:00,"{""""Encryption Status"""":""""UNKN"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Protected Classification Characteristics"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Customer Records"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]}}}",BSO,VERIFIED-GATE1,Gate1-E: operating subsidiary,,1,"Clause (a) adjudicated 8/4: Verizon carrier filer family (e.g., Verizon-NY FRN 0003469442 through 2021; successor consolidated records active after) — consolidation naming defeats exact matching post-2021",0.3329,-4.4631,0.3348,-4.6192,16.9499,17.1173,4662488.14,7175551.01,0.1674,65875.0,VZ,window,1,12.5212,0.6519,0.0419,0.4029,1,0,36.0,0,0,0.0,0,1,1,1,22.0,2014-01-20,2014-02-25,1.041285,0.806973,-0.23431199999999996,2014.0,21,21,True,4812.0,48,1,36.0,1.0,Q4 (largest),2014,-0.037807761988919886
732712,2014-02-26,Verizon,Verizon,1,PHYS,False,7,False,"The Massachusetts Office of Consumer Affairs and Business Regulation reported that Verizon experienced a data breach on February 26, 2014, affecting 7 residents. The breach involved paper records containing Social Security Numbers (SSN) and account numbers.",2014-02-26 00:00:00,2014-02-26 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security Number""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security Number""""]},""""Customer Records"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Account number""""]}}}",BSO,VERIFIED-REASONING,SEC EDGAR: Verizon Communications Inc. parent | EDGAR-confirmed,,1,"Clause (a) adjudicated 8/4: Verizon carrier filer family (e.g., Verizon-NY FRN 0003469442 through 2021; successor consolidated records active after) — consolidation naming defeats exact matching post-2021",0.697,3.4982,0.6801,3.5643,20.8005,14.8122,118371167.67,27078603.73,-5.9883,65875.0,VZ,window,1,12.5212,0.6519,0.0419,0.4029,2,1,0.0,0,0,1.0,0,0,0,0,,2014-02-26,2014-02-26,1.087376,0.759899,-0.3274769999999999,2014.0,21,21,True,4812.0,48,2,0.0,2.0,Q4 (largest),2014,-0.04784607983319411
732712,2016-08-10,Verizon,Verizon,1,HACK,False,2,False,"On July 20, 2017, the Montana Department of Justice reported a data breach involving Verizon, which occurred due to unauthorized access to payment card and reservation information through Sabre Hospitality Solutions’ system. The breach was first accessed on August 10, 2016, and the last access was recorded on March 9, 2017, affecting 2 individuals.",2017-07-20 00:00:00,2017-03-09 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Cardholder name"""",""""Guest name"""",""""Email"""",""""Phone number"""",""""Address""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Payment card number"""",""""Card expiration date"""",""""Card security code""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED-REASONING,SEC EDGAR: Verizon Communications Inc. parent | EDGAR-confirmed,,1,"Clause (a) adjudicated 8/4: Verizon carrier filer family (e.g., Verizon-NY FRN 0003469442 through 2021; successor consolidated records active after) — consolidation naming defeats exact matching post-2021",-1.0349,-2.8656,-1.0439,-2.9167,13.2505,15.4156,3324459.08,3072208.48,2.1651,65875.0,VZ,window,1,12.4075,0.9271,0.0731,0.3729,3,0,344.0,0,0,0.0,0,1,1,1,22.0,2016-08-10,2017-07-20,0.79708,1.768141,0.971061,2017.0,21,21,True,4812.0,48,3,344.0,3.0,Q4 (largest),2017,2.6645352591003757e-15
732712,2017-07-20,Verizon,Verizon,1,DISC,False,4,False,"The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving Verizon on July 20, 2017. The breach affected 4 residents and involved the exposure of credit and debit numbers within electronic records.",2017-07-20 00:00:00,2017-07-20 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Credit card numbers"""",""""Debit card numbers""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED-REASONING,SEC EDGAR: Verizon Communications Inc. parent | EDGAR-confirmed,,1,"Clause (a) adjudicated 8/4: Verizon carrier filer family (e.g., Verizon-NY FRN 0003469442 through 2021; successor consolidated records active after) — consolidation naming defeats exact matching post-2021",9.8463,10.237,10.0097,10.408,12.6957,29.1129,3569536.7,8959875.21,16.4172,65875.0,VZ,window,1,12.4057,0.9016,0.0538,0.3332,4,1,0.0,0,0,1.0,0,0,1,1,76.0,2017-07-20,2017-07-20,0.79708,1.768141,0.971061,2017.0,21,21,True,4812.0,48,4,0.0,4.0,Q4 (largest),2017,2.6645352591003757e-15
732712,2019-03-12,Verizon Media,Verizon Media,2,INSD,False,2,True,"The New Hampshire Attorney General's Office reported on October 7, 2019, that Verizon Media experienced a data breach involving a third-party customer support agent who improperly accessed personal information of members between March 12, 2019, and August 12, 2019. One New Hampshire resident was affected, with compromised data potentially including names, email addresses, passwords, security questions, telephone numbers, postal addresses, dates of birth, and payment card information.",2019-10-07 00:00:00,2019-08-12 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Name"""",""""Email address"""",""""Online account password"""",""""Security questions and answers"""",""""Telephone number"""",""""Postal address"""",""""Date of birth""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Payment card information"""",""""Other financial account information""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED-GATE1,Gate1-E: Verizon ownership window 7/2017-8/2021,,0,"NOT treated (8/4): content division (Yahoo/AOL), not telecom subscriber operations",-1.7768,-4.4758,-1.7974,-4.6809,14.2581,15.5538,3573983.72,4345901.28,1.2957,65875.0,VZ,window,1,12.4868,0.7934,0.0586,0.3605,5,0,209.0,0,0,0.0,0,0,1,1,58.0,2019-03-12,2019-10-07,0.606733,0.806372,0.199639,2019.0,21,21,True,4812.0,48,5,209.0,5.0,Q4 (largest),2019,0.019111687493425844
732712,2019-04-24,Verizon,Verizon,1,HACK,False,470000,False,"The Maine Attorney General's Office reported a data breach involving Verizon that occurred between April 24, 2019, and April 26, 2019. The breach affected a total of 26 individuals, with 1 resident from Maine specifically impacted. Consumers were notified on May 31, 2019, and Verizon offered two years of credit monitoring and identity theft protection services through Experian.",2019-05-31 00:00:00,2019-04-26 00:00:00,"{""""Encryption Status"""":""""UNKN"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Protected Classification Characteristics"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Customer Records"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]}}}",BSO,VERIFIED-REASONING,SEC EDGAR: Verizon Communications Inc. parent | EDGAR-confirmed,,1,"Clause (a) adjudicated 8/4: Verizon carrier filer family (e.g., Verizon-NY FRN 0003469442 through 2021; successor consolidated records active after) — consolidation naming defeats exact matching post-2021",-0.6765,3.851,-0.7084,3.6228,16.7494,14.0704,4683949.08,2754971.35,-2.679,65875.0,VZ,window,1,12.4868,0.7934,0.0586,0.3605,6,1,37.0,0,0,0.0,0,1,1,1,15.0,2019-04-24,2019-05-31,0.918668,1.061529,0.1428609999999999,2019.0,21,21,True,4812.0,48,7,37.0,6.0,Q4 (largest),2019,0.020730985179592043
732712,2019-06-03,Verizon,Verizon,1,PHYS,False,6,False,"The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving Verizon on June 3, 2019. The breach affected 1 resident and involved compromised credit/debit numbers contained in paper records.",2019-06-03 00:00:00,2019-06-03 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Credit/debit numbers""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED-REASONING,SEC EDGAR: Verizon Communications Inc. parent | EDGAR-confirmed,,1,"Clause (a) adjudicated 8/4: Verizon carrier filer family (e.g., Verizon-NY FRN 0003469442 through 2021; successor consolidated records active after) — consolidation naming defeats exact matching post-2021",-1.1221,-1.6664,-1.2405,-1.9635,20.4998,20.5422,4421663.4,3491225.97,0.0424,65875.0,VZ,window,1,12.4868,0.7934,0.0586,0.3605,7,2,0.0,0,0,1.0,0,0,0,0,,2019-06-03,2019-06-03,0.756208,1.1092,0.352992,2019.0,21,21,True,4812.0,48,8,0.0,7.0,Q4 (largest),2019,0.0184179162271374
732712,2023-05-11,Verizon,Verizon,1,INSD,False,1,False,"The Maryland Office of the Attorney General reported a data breach involving Verizon on May 11, 2023. The breach occurred when a partner employee improperly accessed Social Security numbers of Verizon customers, affecting one Maryland resident. The exposed information included names and Social Security numbers.",2023-05-11 00:00:00,2023-05-11 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Name"""",""""Social Security number""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED-REASONING,SEC EDGAR: Verizon Communications Inc. parent | EDGAR-confirmed,,1,"Clause (a) adjudicated 8/4: Verizon carrier filer family (e.g., Verizon-NY FRN 0003469442 through 2021; successor consolidated records active after) — consolidation naming defeats exact matching post-2021",-5.3474,-8.181,-5.3025,-8.3574,24.2172,21.2822,5293307.64,12791069.27,-2.935,65875.0,VZ,window,1,12.8471,0.7565,0.056,0.3477,8,0,0.0,0,0,1.0,0,0,0,0,,2023-05-11,2023-05-11,1.660383,1.301285,-0.3590979999999999,2023.0,21,21,True,4812.0,48,9,0.0,8.0,Q4 (largest),2023,2.554875822013969e-08
732712,2023-09-21,Verizon Communications Inc.,Verizon Communications | Verizon Communications Inc | Verizon Communications Inc.,6,HACK+INSD,True,63206,True,"The Maryland Office of the Attorney General reported a data breach involving Verizon Communications Inc. on February 5, 2024. The breach occurred on or around September 21, 2023, when a Verizon employee unlawfully obtained a file containing personal information of 3,192 Maryland employees, including names, addresses, Social Security numbers, gender, union affiliations, dates of birth, and compensation information.",2024-02-05 00:00:00,2023-12-12 00:00:00,"{
  """"Encryption Status"""": """"Unencrypted"""",
  """"Categories Affected"""": {
    """"Personal Identifiers"""": {
      """"Affected"""": """"Yes"""",
      """"Examples"""": [""""Names"""", """"Addresses"""", """"Social Security numbers""""]
    },
    """"Protected Classification Characteristics"""": {
      """"Affected"""": """"Yes"""",
      """"Examples"""": [""""Gender"""", """"Union affiliations""""]
    },
    """"Commercial Information"""": {
      """"Affected"""": """"Yes"""",
      """"Examples"""": [""""Compensation information""""]
    },
    """"Biometric Information"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    },
    """"Internet or Network Activity"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    },
    """"Geolocation Data"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    },
    """"Sensory Data"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    },
    """"Professional or Employment-Related Information"""": {
      """"Affected"""": """"Yes"""",
      """"Examples"""": [""""Compensation information""""]
    },
    """"Education Information"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    },
    """"Inferences Drawn from Personal Information"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    },
    """"Sensitive Personal Information"""": {
      """"Affected"""": """"Yes"""",
      """"Examples"""": [""""Social Security numbers""""]
    },
    """"Customer Records"""": {
      """"Affected"""": """"No"""",
      """"Examples"""": []
    }
  }
}",BSO,VERIFIED,EDGAR name: BELL ATLANTIC CORP,,1,"Clause (a) adjudicated 8/4: Verizon carrier filer family (e.g., Verizon-NY FRN 0003469442 through 2021; successor consolidated records active after) — consolidation naming defeats exact matching post-2021",-0.9666,11.8399,-0.937,11.6046,15.6013,19.2434,5514190.93,3725018.86,3.6421,65875.0,VZ,window,1,12.8471,0.7565,0.056,0.3477,9,1,137.0,0,0,0.0,0,0,0,1,125.0,2023-09-21,2024-02-05,1.995397,0.904407,-1.0909900000000001,2024.0,21,21,True,4812.0,48,10,137.0,9.0,Q4 (largest),2024,-0.1392438575148005
732712,2024-02-06,Verizon Communications Inc.,Verizon Communications Inc.,2,HACK+INSD,True,3251,True,"On February 6, 2024, the Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving Verizon Communications Inc., which affected 3,251 residents and compromised Social Security Numbers (SSN).",2024-02-06 00:00:00,2024-02-06 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED,EDGAR name: BELL ATLANTIC CORP,"NEAR-DUPLICATE CHAIN CH-06: 2 firm-day events collapsed [2024-02-06, 2024-02-09] (Gate 2 signed; record-count gaps not a distinctness signal)",1,"Clause (a) adjudicated 8/4: Verizon carrier filer family (e.g., Verizon-NY FRN 0003469442 through 2021; successor consolidated records active after) — consolidation naming defeats exact matching post-2021",-3.4017,-8.9702,-3.3667,-9.1442,30.2243,14.6865,7057834.84,3767661.84,-15.5378,65875.0,VZ,window,1,12.8486,0.7533,0.0305,0.3527,10,2,0.0,0,0,1.0,0,0,0,1,107.0,2024-02-06,2024-02-06,1.996365,0.883167,-1.113198,2024.0,21,21,True,4812.0,48,16,0.0,10.0,Q4 (largest),2024,-0.15168627750117825
732717,2008-05-23,AT&T,AT&T,1,PHYS,False,621,False,"The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving AT&T on May 23, 2008, affecting 621 residents. The breach involved the exposure of electronic records, specifically Social Security Numbers (SSN).",2008-05-23 00:00:00,2008-05-31 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security Number""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security Number""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED-GATE1,Gate1-A: active registrant; 5907 is pre-2005 AT&T Corp (ticker T -> CIK 732717),,1,"Clause (a): registry match ""AT&T"" [dba] -> AT&T Enterprises, LLC (FRN 0005937974, start 1997-01-01, end none)",0.7156,-6.9862,0.6718,-6.363,17.7916,24.5752,4344355.38,6677646.25,6.7836,66093.0,T,window,1,12.5269,0.5815,0.0434,0.353,0,0,0.0,0,0,1.0,0,0,0,1,129.0,2008-05-23,2008-05-23,1.044347,1.614591,0.5702440000000002,2008.0,21,21,True,4813.0,48,0,0.0,0.0,Q4 (largest),2008,0.1508524974837171
