accession,section_text
0001171843-12-003874,"(b) On November 1, 2012, Automatic Data Processing, Inc. (the ""Company"") announced that the Company and Christopher Reidy have mutually agreed that Mr. Reidy would no longer serve as Chief Financial Officer of the Company after November 2, 2012. Mr. Reidy will remain available through calendar year-end to facilitate an orderly transition of his responsibilities to his successor. (c) On November 1, 2012, the Company announced that Jan Siegmund, the Company's Chief Strategy Officer and President, Added Value Services, has been appointed Chief Financial Officer of the Company, effective November 5, 2012. Mr. Siegmund, who is 48 years old, joined the Company in 1999 as Vice President of Corporate Strategy and has held increasingly senior executive leadership positions since that time. Prior to his promotion, he served as both Chief Strategy Officer, with overall responsibility for the Company's strategy, product management, marketing and corporate development, as well as President of the Added Value Services division, overseeing tax, compliance services and insurance services. He assumed these positions in 2009 and 2007, respectively. Prior to these roles, Mr. Siegmund served as the Company's Corporate Vice President, Strategic Development from 2004 to 2007 and as Senior Vice President of Strategic Development, Brokerage Services at the Company's Brokerage Services Group from 2000 to 2004."
0000950142-12-002159,"On November 12, 2012, Automatic Data Processing, Inc. (the “Company”) entered into a Separation Agreement and Release (the “Separation Agreement”) with Christopher R. Reidy, in which the Company and Mr. Reidy mutually agreed that Mr. Reidy will depart from the Company effective January 2, 2013 (the “Separation Date”). Pursuant to the Separation Agreement, the Company will provide Mr. Reidy with the following: (i) a separation payment of $571,200 paid out in twelve equal monthly installments on the Company’s regular monthly payroll dates beginning on the Separation Date; (ii) a cash payment of $457,000, equal to Mr. Reidy’s target annual bonus for fiscal year 2013, paid on the Company’s regular January 2013 pay date; and (iii) a cash payment equal to the cash value of 13,000 shares of the Company’s common stock, based on the per share trading price of the Company’s common stock as of the Separation Date, payable within 20 business days of the Separation Date. Mr. Reidy is also entitled to continued vesting for one year following the Separation Date of all unvested outstanding stock options (with all vested stock options remaining exercisable until the earlier of their scheduled expiration date and 24 months following the Separation Date). With respect to shares of restricted stock, Mr. Reidy may retain any shares of time-based restricted stock scheduled to vest prior to the one-year anniversary of the Separation Date in accordance with the original vesting schedule; and he may retain the 13,000 shares of performance-based restricted stock granted in respect of fiscal year 2012, the restrictions on which shall vest in accordance with the original schedule. In addition, the Company will transfer ownership to Mr. Reidy of his Company car and Mr. Reidy will be provided with 12 months of outplacement assistance. The foregoing compensation and benefits are being provided by the Company in exchange for Mr. Reidy’s providing an effective and irrevocable release and waiver of claims against the Company (both at the time of entering into the Separation Agreement, and also again on January 2, 2013). Pursuant to the Separation Agreement, Mr. Reidy has agreed to non-competition, non-solicitation and non-hire covenants that apply for a period of two years following the Separation Date, as well as customary confidentiality and non-disparagement covenants, and has agreed to remain bound by all the conditions of the agreements evidencing the Company’s prior grants of stock options and restricted stock, and has further agreed that any applicable non-competition period under such agreements will not terminate until 24 months after the Separation Date. If, prior to either payment of any amounts under the Separation Agreement or the vesting of any rights or lapsing of any restrictions on equity of the Company, he violates any non-competition, non-solicitation, non-disparagement, non-disclosure or confidentiality obligations set forth in the Separation Agreement or any other agreement with the Company, or in any Company plan, policy or arrangement that applies to him, he will have immediately forfeited the receipt of any remaining cash payments as well as the benefit of any such vesting or lapse of restrictions. The foregoing is qualified in its entirety by reference to the Separation Agreement, which is filed as Exhibit 10.1 hereto and incorporated by reference herein."
0000950142-13-001766,"(b) On August 6, 2013, Mr. Enrique T. Salem notified the Board of Directors of the Registrant that he will not stand for re-election as a director of the Registrant at the end of his current term, and intends to resign from the Registrant’s Board of Directors effective as of the date of the Registrant’s 2013 Annual Meeting of Shareholders. Mr. Salem’s decision not to stand for re-election was based on his stated desire to devote more time to his investments in various start-up ventures and other business commitments, and was not due to any disagreements with the Registrant on any matter relating to the Registrant’s operations, policies, or practices."
0000012927-14-000070,"On December 19, 2014, The Boeing Company (the “Company”) issued a press release with respect to the announcement by Shephard W. Hill, President, Boeing International and Senior Vice President, Business Development and Strategy, of his intention to retire from the Company effective April 1, 2015. A copy of the Company’s press release is furnished as Exhibit 99.1 to this Current Report on Form 8-K."
0000012927-15-000004,"On February 5, 2015, Linda Z. Cook informed The Boeing Company (the “Company”) of her decision not to stand for re-election at the Company's 2015 annual meeting of shareholders on April 27, 2015. Ms. Cook's resignation is not due to any disagreement with the Company on any matter relating to its operations, policies or practices. The Company's press release announcing Ms. Cook's decision is furnished as Exhibit 99.1 to this Current Report on Form 8-K."
0000012927-15-000035,"On June 22, 2015, W. James McNerney, Jr. decided to step down as Chief Executive Officer of The Boeing Company (the “Company”) effective July 1, 2015 (the “Effective Date”) and Dennis A. Muilenburg was elected as President and Chief Executive Officer of the Company and a member of the Board of Directors (the “Board”) as of the Effective Date. Mr. McNerney will continue to serve as the Chairman of the Board. A copy of the Company’s press release announcing these changes is attached hereto as Exhibit 99.1 and is incorporated herein by reference. Mr. McNerney and the Company entered into a Transition and Retirement Agreement (the “Agreement”) dated June 22, 2015, which supersedes the existing employment agreement between Mr. McNerney and the Company. Pursuant to the Agreement, Mr. McNerney will remain employed by the Company between the Effective Date and February 29, 2016 (such period, the “Transition Period”) in order to assist with the leadership transition. During the Transition Period, Mr. McNerney will receive a base salary at an annual rate of $1.5 million (the “Transition Base Salary”), will be eligible to earn an annual incentive award at a target rate of 150% of the Transition Base Salary, and will continue to be eligible to accrue certain pension benefits. As of the Effective Date, Mr. McNerney will not be entitled to receive future grants of awards as an employee pursuant to The Boeing Company 2003 Incentive Stock Plan (the “Stock Plan”) nor will he be eligible to participate in the Boeing Executive Layoff Plan. Mr. McNerney’s outstanding equity and other incentive awards will continue to vest, if at all, in accordance with the terms of the applicable agreements. During the Transition Period, Mr. McNerney will continue to receive benefits and executive perquisites similar in nature and scope to those he received during his tenure as Chief Executive Officer, consistent with the Company’s previously disclosed policies and subject to the terms set forth in the Agreement with respect to air travel. The Agreement preserves the non-competition, confidentiality and non-solicitation provisions from Mr. McNerney’s existing employment agreement. Following the Transition Period, Mr. McNerney will receive the same cash and equity compensation for his Board service as other non-employee Board members in accordance with the Company’s non-employee director compensation program, including any additional cash retainer that the Board may provide Mr. McNerney in connection with his service as Chairman of the Board. The foregoing description of the Agreement is qualified in its entirety by reference to the Agreement, which is filed as Exhibit 10.1 and incorporated herein by reference. Mr. Muilenburg, 51, has served as the Company’s Vice Chairman, President and Chief Operating Officer since December 2013. Prior to that, he served as Boeing Executive Vice President and President and Chief Executive Officer, Boeing Defense, Space & Security from September 2009 to December 2013. In connection with his new role, Mr. Muilenburg will receive a base salary at an annual rate of $1.6 million and will be eligible to earn an annual incentive award at a target rate of 170% of his base salary. In addition, Mr. Muilenburg will receive 18,709 restricted stock units, effective as of the Effective Date and upon his commencing to serve as the Company’s Chief Executive Officer on the Effective Date. The restricted stock units will vest three years after the Effective Date and will be subject to the terms and conditions set forth in the Stock Plan and the Notice of Terms of Restricted Stock Units, a copy of which is filed as Exhibit 10.2 and incorporated herein by reference. The Board also appointed Mr. Muilenburg to serve as Chair of the Board’s Special Programs Committee and as the sole member of the Board’s Stock Plan Committee, in each case as of the Effective Date."
0000012927-15-000061,"On August 11, 2015, the Board of Directors (the “Board”) of The Boeing Company (the “Company”) elected Lynn J. Good, Vice Chairman, President and CEO of Duke Energy Corporation, as a new director. The Board has appointed Ms. Good to the Audit Committee and the Finance Committee. Ms. Good will participate in the Company’s nonemployee director compensation program, which is described on pages 14 to 15 of the Company’s proxy statement for its 2015 Annual Meeting of Shareholders filed with the Securities and Exchange Commission on March 13, 2015. A copy of the Company’s press release announcing the election of Ms. Good is attached hereto as Exhibit 99.1 and is incorporated herein by reference."
0000012927-15-000083,"On December 14, 2015, the Board of Directors (the “Board”) of The Boeing Company (the “Company”) elected Randall L. Stephenson, Chairman and Chief Executive Officer of AT&T Inc., as a new director effective as of February 17, 2016 (the ""Effective Date""). Mr. Stephenson will serve on the Audit Committee, Finance Committee and Special Programs Committee, and will be nominated for election at the Company's 2016 annual meeting of shareholders. Mr. Stephenson will participate in the Company’s nonemployee director compensation program, which is described on pages 14 to 15 of the Company’s proxy statement for its 2015 Annual Meeting of Shareholders filed with the Securities and Exchange Commission on March 13, 2015. A copy of the Company’s press release announcing the election of Mr. Stephenson is attached hereto as Exhibit 99.1 and is incorporated herein by reference."
0000012927-16-000105,"On February 18, 2016, W. James McNerney, Jr. decided to step down as Chairman and a member of the Board of Directors (the “Board”) of The Boeing Company (the “Company”) effective March 1, 2016. The Board elected Dennis A. Muilenburg, President and Chief Executive Officer of the Company, to serve as Chairman of the Board effective March 1, 2016. A copy of the Company’s press release announcing these changes is attached hereto as Exhibit 99.1 and is incorporated herein by reference. On February 22, 2016, the Compensation Committee of the Board approved a grant of 20,000 restricted stock units (the “Award”) to J. Michael Luttig, the Company’s Executive Vice President and General Counsel. The Award was granted in recognition of Mr. Luttig’s performance and as a retention vehicle. The Award will vest 100% and settle in shares of the Company’s common stock on a one-for-one basis on February 22, 2018. The Award was made under the Company’s 2003 Incentive Stock Plan, as amended and restated (the “2003 Plan”), and is subject to the terms and conditions set forth in the 2003 Plan and the Notice of Terms of Supplemental Restricted Stock Units, the form of which is attached hereto as Exhibit 10.1 and is incorporated herein by reference."
0000012927-16-000147,"On October 14, 2016, the Board of Directors (the “Board”) of The Boeing Company (the “Company”) elected Robert A. Bradway, Chairman and Chief Executive Officer of Amgen Inc., as a new director. The Board has appointed Mr. Bradway to the Audit Committee and the Finance Committee. Mr. Bradway will participate in the Company’s nonemployee director compensation program, which is described on pages 17 to 19 of the Company’s proxy statement for its 2016 Annual Meeting of Shareholders filed with the Securities and Exchange Commission on March 18, 2016. A copy of the Company’s press release announcing the election of Mr. Bradway is attached hereto as Exhibit 99.1 and is incorporated herein by reference."
0000012927-16-000165,"On November 16, 2016, Raymond L. Conner notified The Boeing Company of his decision to step down as President and Chief Executive Officer, Boeing Commercial Airplanes. The Board of Directors has elected Kevin G. McAllister to serve as President and Chief Executive Officer, Boeing Commercial Airplanes effective November 21, 2016. Mr. Conner will continue to serve as Vice Chairman through 2017. A copy of the press release issued by the Company announcing these and other management and organizational changes is attached hereto as Exhibit 99.1."
0000012927-17-000040,"The Compensation Committee of the Board of Directors of The Boeing Company (the “Company”) approved a grant of 50,000 restricted stock units (the “Award”) effective July 3, 2017, to Gregory D. Smith, the Company’s Chief Financial Officer and Executive Vice President, Corporate Development & Strategy. The Award was granted in connection with the expansion of Mr. Smith's responsibilities beginning July 1, 2017, at which time he will begin to serve as the Company’s Chief Financial Officer and Executive Vice President, Enterprise Performance & Strategy, as well as in recognition of his performance and as a retention vehicle. The Award will vest 100% and settle in shares of the Company’s common stock on a one-for-one basis on July 3, 2021. The Award was made under the Company’s 2003 Incentive Stock Plan, as amended and restated (the “Plan”), and is subject to the terms and conditions set forth in the Plan and the Notice of Terms of Supplemental Restricted Stock Units, the form of which is filed as Exhibit 10.1 and is incorporated herein by reference. A copy of the Company’s press release announcing these changes is attached hereto as Exhibit 99.1 and is incorporated herein by reference."
0001193125-12-134562,"On March 27, 2012, Edward A. Mueller announced his intention to resign from our Board of Directors, effective the date of our 2012 annual meeting of shareholders, which is scheduled for May 23, 2012. Mr. Mueller, who formerly served as chairman and chief executive officer of Qwest Communications International Inc. (“Qwest”), joined our Board in connection with our acquisition of Qwest on April 1, 2011 and is currently serving a term otherwise scheduled to end in 2013. 2"
0001193125-13-012088,"(e) One-Year Extension of Employment Agreement with James E. Ousley . On January 8, 2013, CenturyLink, Inc. (the “Company”), its wholly-owned subsidiary, Savvis, Inc. (“Savvis”), and James E. Ousley, Chief Executive Officer of Savvis, agreed to extend Mr. Ousley’s employment agreement (the “2011 Agreement”), effective as of January 1, 2013. The 2011 Agreement, originally entered into on September 2, 2011, expired on December 31, 2012. The extended agreement (“Extended Agreement”) is materially similar to the 2011 Agreement, which was filed as an exhibit to the Company’s Form 10-Q for the quarter ended September 30, 2011. Under the Extended Agreement, Mr. Ousley will continue to serve as Savvis’ Chief Executive Officer. Mr. Ousley’s base salary continues to be set at $550,000, and his annual bonus target opportunity for 2013 remains at 110% of his base salary. Any 2013 equity award and the performance metrics of Mr. Ousley’s 2013 bonus will be determined by the Compensation Committee of the Company’s Board of Directors during the first quarter of 2013. As is the case under Mr. Ousley’s 2011 Agreement, the Company will pay certain expenses incurred by Mr. Ousley in connection with commuting from his home in Sedona, Arizona to the various Company offices from which he works. The terms of Mr. Ousley’s previous severance benefit are not modified by this extension. The Extended Agreement requires Mr. Ousley to keep confidential certain Company nonpublic information known to him and, for a year following his termination of employment for any reason, not to compete with the Company or solicit any of its customers or employees. The Extended Agreement will expire on December 31, 2013 unless terminated prior to that time in accordance with its terms."
0001193125-13-124519,"(b) James E. Ousley, Chief Executive Officer, Savvis Operations, will retire effective April 1, 2013. A press release announcing his retirement is attached as Exhibit 99.1."
0001193125-14-221590,"On May 29, 2014, the Board of Directors terminated our Amended and Restated 2001 Employee Stock Purchase Plan (the “ESPP”), effective as of July 1, 2014. The last offering period under the ESPP will end on June 30, 2014."
0001193125-15-197966,"(e) above, (4) approved, on an advisory basis, the compensation of our named executive officers and (5) did not approve a shareholder proposal regarding equity retention. You can find additional information about each of these matters in our 2015 Proxy Statement. Our independent inspector of election reported the vote of shareholders as follows: 1. Shareholders elected 12 directors to serve until 2016 based on the following votes: Nominees For Withheld Broker Non-Votes Virginia Boulet 374,141,932 20,475,015 113,388,523 Peter C. Brown 386,972,489 7,644,458 113,388,523 Richard A. Gephardt 373,937,839 20,679,108 113,388,523 W. Bruce Hanks 380,062,491 14,554,456 113,388,523 Gregory J. McCray 389,504,730 5,112,217 113,388,523 C. G. Melville, Jr. 386,094,931 8,522,016 113,388,523 William A. Owens 387,710,086 6,906,861 113,388,523 Harvey P. Perry 386,403,312 8,213,635 113,388,523 Glen F. Post, III 388,251,344 6,365,603 113,388,523 Michael J. Roberts 387,821,507 6,795,440 113,388,523 Laurie A. Siegel 390,407,564 4,209,383 113,388,523 Joseph R. Zimmel 385,332,092 9,284,855 113,388,523 2 2. Shareholders ratified the appointment of KPMG LLP as our independent auditor for 2015 based on the following votes: For 467,886,433 Against 37,790,122 Abstain 2,328,915 Broker non-votes N/A 3. Shareholders approved our 2015 Executive Officer Short-Term Incentive Plan based on the following votes: For 376,444,331 Against 14,954,873 Abstain 3,217,743 Broker non-votes 113,388,523 4. Shareholders approved, on a non-binding and advisory basis, the overall compensation of our named executive officers based on the following votes: For 371,232,444 Against 20,145,172 Abstain 3,239,331 Broker non-votes 113,388,523 5. Shareholders rejected a shareholder proposal regarding equity retention based on the following votes: For 96,712,948 Against 294,080,547 Abstain 3,823,452 Broker non-votes 113,388,523 3"
0001193125-15-210785,"(b) On June 2, 2015, CenturyLink, Inc. (the “Company”) issued a press release announcing that Karen A. Puckett, President, Global Markets, is leaving the Company effective August 31, 2015. A copy of the press release is filed as Exhibit 99.1 to this Current Report and is incorporated herein by reference. (e) In connection with Ms. Puckett’s departure, the Compensation Committee of the Company’s Board of Directors has approved certain changes to her outstanding equity awards. Specifically, the shares of time-based restricted stock granted to her in fiscal 2013 and 2014 that are currently unvested (10,167 and 21,033 shares, respectively) will be accelerated effective August 31, 2015. With respect to her performance-based restricted stock, she will continue to hold the awards granted to her in fiscal 2013 and 2014 (30,501 and 47,325 shares, respectively), which will remain subject to their original performance conditions. Ms. Puckett’s remaining equity awards, all which were granted to her on February 23, 2015, will be forfeited upon her termination of employment."
0001193125-15-378521,"(d) Effective November 16, 2015, the Board of Directors (the “Board”) of CenturyLink, Inc. (the “Company”) increased its size from 12 to 13 members and, on the recommendation of its Nominating and Corporate Governance Committee, appointed Mary L. Landrieu to fill the resulting vacancy effective immediately. Ms. Landrieu, age 59, served as a Louisiana state representative (1980-1988) and state treasurer (1988-1996) before serving in the U.S. Senate from 1996-2014. Although Ms. Landrieu has not yet been appointed to serve on any Board committee, the Board expects to do so as part of their regular 2016 committee assessment and appointment process. Ms. Landrieu will participate in the Company’s standard outside director compensation program described in the Company’s 2015 proxy statement, filed with the U.S. Securities and Exchange Commission (the “SEC”) on April 8, 2015. It is currently anticipated that Ms. Landrieu will receive her initial grant of restricted stock when outside director equity grants are made under the program following the 2016 annual shareholders meeting. In addition, Ms. Landrieu is expected to execute the Company’s form of indemnification agreement, a copy of which has been filed as Exhibit 10.5 to the Company’s Quarterly Report on Form 10-Q for the period ended June 30, 2009, as filed with the SEC on August 7, 2009. On November 16, 2015, the Company issued a press release announcing the appointment of Ms. Landrieu to the Board. A copy of the press release is filed with this Form 8-K as Exhibit 99.1."
