cik,grp,pkey,first_date,n_mentions,n_filings,accessions,first_accession,persons,is_ceo,restated_only,vacancy_only,director_only
96021,director,stephanie,2022-02-28,1,1,0001193125-22-058196,0001193125-22-058196,Ms. Stephanie,0,0,0,1
96021,exec,aaron,2022-12-15,1,1,0001193125-22-305398,0001193125-22-305398,Mr. Aaron,0,0,0,1
96021,exec,judith,2023-09-08,2,2,0000096021-23-000144;0000096021-23-000186,0000096021-23-000144,Ms. Judith,0,0,0,1
96021,exec,russell,2023-03-28,1,1,0000096021-23-000042,0000096021-23-000042,Mr. Neil A. Russell,0,0,0,1
96021,exec,tim,2022-05-04,1,1,0001193125-22-139528,0001193125-22-139528,Mr. Tim,0,0,0,1
101830,director,arora,2016-06-24,1,1,0000101830-16-000070,0000101830-16-000070,Nikesh Arora,0,0,0,1
101830,director,kappes,2018-05-30,1,1,0000101830-18-000027,0000101830-18-000027,Stephen R. Kappes,0,0,0,1
101830,director,kennard,2007-03-06,1,1,0000101830-07-000011,0000101830-07-000011,William E. Kennard,0,0,0,1
101830,director,nextel,2008-02-13,2,2,0000101830-08-000008;0000101830-08-000030,0000101830-08-000008,Sprint Nextel,0,0,0,1
101830,director,schieber,2013-12-19,1,1,0000101830-13-000053,0000101830-13-000053,Mr. Schieber,0,0,0,1
101830,exec,arendt,2008-10-07,1,1,0000101830-08-000028,0000101830-08-000028,William Arendt,0,0,0,1
101830,exec,brust,2011-02-28,5,3,0000101830-11-000010;0000101830-11-000014;0000101830-12-000024,0000101830-11-000010,Robert H. Brust,0,0,0,1
101830,exec,claure,2014-08-06,2,1,0001193125-14-297076,0001193125-14-297076,Marcelo Claure,0,0,0,1
101830,exec,claure,2018-01-04,2,2,0000101830-18-000003;0000101830-18-000029,0000101830-18-000003,Marcelo Claure,1,0,0,1
101830,exec,elfman,2014-03-12,2,2,0000101830-14-000021;0000101830-14-000049,0000101830-14-000021,Steven L. Elfman,0,0,0,1
101830,exec,euteneuer,2015-08-03,1,1,0001193125-15-275046,0001193125-15-275046,Joseph Euteneuer,0,0,0,1
101830,exec,forsee,2007-10-12,1,1,0000101830-07-000036,0000101830-07-000036,Gary Forsee,1,0,0,1
101830,exec,gregoire,2009-03-03,1,1,0000101830-09-000005,0000101830-09-000005,Christopher J. Gregoire,0,0,0,1
101830,exec,hall,2009-10-16,1,1,0000101830-09-000014,0000101830-09-000014,Charles L. Hall,0,0,0,1
101830,exec,hesse,2014-08-06,3,1,0001193125-14-297076,0001193125-14-297076,Daniel R. Hesse,1,0,0,1
101830,exec,johnson,2014-11-12,1,1,0000101830-14-000081,0000101830-14-000081,Robert L. Johnson,0,0,0,1
101830,exec,kelly,2008-01-24,1,1,0000101830-08-000006,0000101830-08-000006,Timothy E. Kelly,0,0,0,1
101830,exec,park,2014-11-12,1,1,0000101830-14-000081,0000101830-14-000081,Overland Park,0,0,0,1
101830,exec,robbiati,2018-01-04,1,1,0000101830-18-000003,0000101830-18-000003,Tarek Robbiati,0,0,0,1
101830,exec,schieber,2020-04-01,1,1,0001193125-20-093630,0001193125-20-093630,Paul Schieber,0,0,0,1
101830,exec,schulman,2010-07-21,3,2,0000101830-10-000015;0000101830-11-000010,0000101830-10-000015,Daniel H. Schulman | Daniel Schulman,0,0,0,1
101830,exec,schwartz,2015-10-15,1,1,0000101830-15-000030,0000101830-15-000030,Michael Schwartz,0,0,0,1
101830,exec,west,2008-11-28,1,1,0000950123-08-016627,0000950123-08-016627,Barry J. West,0,0,0,1
277135,director,ryan,2017-08-02,1,1,0000277135-17-000028,0000277135-17-000028,James T. Ryan,0,0,0,0
277135,exec,high,2018-04-02,2,1,0001104659-18-021832,0001104659-18-021832,Joseph C. High,0,0,0,1
277135,exec,jadin,2017-07-19,3,2,0000277135-17-000020;0001104659-18-021832,0000277135-17-000020,Ronald L. Jadin,0,0,0,1
277135,exec,lomax,2016-10-03,1,1,0000277135-16-000057,0000277135-16-000057,William Lomax,0,0,0,1
277135,exec,ryan,2016-08-08,2,2,0000277135-17-000028;0001104659-16-137921,0001104659-16-137921,James T. Ryan,1,0,0,1
315293,director,uk,2020-04-01,1,1,0001193125-20-093512,0001193125-20-093512,Aon UK,0,0,0,1
315293,exec,bruno,2021-01-29,1,1,0001193125-21-022598,0001193125-21-022598,John Bruno,0,0,0,1
315293,exec,goland,2021-07-01,1,1,0001193125-21-206409,0001193125-21-206409,Anthony Goland,0,0,0,1
315293,exec,lieb,2019-06-04,1,1,0001193125-19-165112,0001193125-19-165112,Peter Lieb,0,0,0,1
315293,exec,o’connor,2020-02-24,1,1,0001193125-20-045455,0001193125-20-045455,Michael O’Connor,0,0,0,1
318154,exec,griffith,2019-10-23,2,1,0001193125-19-272011,0001193125-19-272011,Peter H. Griffith,0,0,0,1
318154,exec,louie,2023-08-04,1,1,0001193125-23-203033,0001193125-23-203033,Linda H. Louie,0,0,0,1
318154,exec,meline,2019-10-23,2,1,0001193125-19-272011,0001193125-19-272011,David W. Meline,0,0,0,1
318154,exec,there,2019-10-23,1,1,0001193125-19-272011,0001193125-19-272011,Additional Information There,0,0,0,1
320193,director,eric,2009-08-04,1,1,0001181431-09-037492,0001181431-09-037492,Dr. Eric,0,0,0,1
320193,director,iger,2019-09-13,1,1,0000320193-19-000093,0000320193-19-000093,Bob Iger,0,0,0,1
320193,director,wagner,2014-07-17,1,1,0001193125-14-271698,0001193125-14-271698,Susan L. Wagner,0,0,0,1
320193,exec,ahrendts,2019-02-06,2,1,0000320193-19-000026,0000320193-19-000026,Angela Ahrendts,0,0,0,1
320193,exec,jobs,2011-08-26,1,1,0001181431-11-047179,0001181431-11-047179,Steve Jobs,1,0,0,1
320193,exec,mansfield,2013-07-30,1,1,0001181431-13-041847,0001181431-13-041847,Bob Mansfield,0,0,0,1
320193,exec,oppenheimer,2014-03-05,3,2,0001181431-14-021923;0001193125-14-084697,0001193125-14-084697,Peter Oppenheimer,0,0,0,1
320193,exec,rafael,2012-06-28,1,1,0001181431-12-038301,0001181431-12-038301,Betsy Rafael,0,0,0,1
320193,exec,sewell,2017-10-12,1,1,0001193125-17-308859,0001193125-17-308859,Bruce Sewell,0,0,0,1
354950,director,sargent,2012-11-16,1,1,0000354950-12-000032,0000354950-12-000032,Ronald L. Sargent,0,0,0,1
354950,director,,2013-05-29,1,1,0000354950-13-000017,0000354950-13-000017,None,0,0,0,1
354950,exec,blake,2014-08-21,1,1,0000354950-14-000030,0000354950-14-000030,Francis S. Blake,1,0,0,1
723254,exec,andersen,2019-07-01,1,1,0000723254-19-000015,0000723254-19-000015,Arthur Andersen,0,0,0,1
723254,exec,frooman,2021-04-26,2,1,0000723254-21-000012,0000723254-21-000012,Thomas E. Frooman,0,0,0,1
732712,director,barker,2007-09-11,1,1,0001193125-07-199004,0001193125-07-199004,James R. Barker,0,0,0,1
732712,director,carrión,2019-02-08,1,1,0001193125-19-031476,0001193125-19-031476,Richard L. Carrión,0,0,0,1
732712,director,healey,2024-01-24,1,1,0001193125-24-013874,0001193125-24-013874,Melanie L. Healey,0,0,0,1
732712,director,keeth,2019-02-08,1,1,0001193125-19-031476,0001193125-19-031476,Frances Keeth,0,0,0,1
732712,director,lane,2015-01-14,1,1,0001193125-15-010064,0001193125-15-010064,Robert W. Lane,0,0,0,1
732712,director,mcadam,2019-02-08,2,1,0001193125-19-031476,0001193125-19-031476,Lowell C. McAdam,0,0,0,0
732712,director,nicolaisen,2016-12-20,2,1,0001193125-16-798875,0001193125-16-798875,Donald T. Nicolaisen,0,0,0,1
732712,director,shipley,2007-12-07,1,1,0001193125-07-261097,0001193125-07-261097,Walter V. Shipley,0,0,0,1
732712,director,tesija,2020-02-05,1,1,0001193125-20-025340,0001193125-20-025340,Kathryn A. Tesija,0,0,0,1
732712,director,wasson,2018-10-04,2,1,0001193125-18-292824,0001193125-18-292824,Gregory D. Wasson,0,0,0,1
