accession,fcc_form499,section_text
0001193125-16-442035,0,"On January 28, 2016, the Board of Directors (the “ Board ”) of Arthur J. Gallagher & Co. (“ Gallagher ”) increased the number of directors on the Board from 9 to 10, in accordance with Section 3.1 of Gallagher’s Bylaws. In order to fill the resulting vacancy, the Board appointed Ralph J. Nicoletti as a director of Gallagher, to serve until he stands for election at the 2016 Annual Meeting of Stockholders. Concurrently with his appointment to the Board, Mr. Nicoletti was appointed to serve on the"
0000354950-12-000027,0,"On September 20, 20 12, the Board of Directors of The Home Depot, Inc. (the ""Company"") elected Mr. Mark Vadon as a director of the Company upon the recommendation of the Nominating and Corporate Governance Committee. The Board of Directors also appointed Mr. Vadon to serve on the Audit Committee and the Finance Committee of the Board. Mr. Vadon will participate in the standard non-employee director compensation arrangements described in the Company's 2012 proxy statement, filed with the Securiti"
0000354950-13-000037,0,"On September 20, 2013, the Board of Directors of The Home Depot, Inc. (the ""Company"") elected Ms. Helena B. Foulkes as a director of the Company upon the recommendation of the Nominating and Corporate Governance Committee. The Board of Directors also appointed Ms. Foulkes to serve on the Leadership Development and Compensation Committee and the Finance Committee of the Board. Ms. Foulkes will participate in the standard non-employee director compensation arrangements described in the Company's 2"
0001193125-17-165255,1,"(e) On May 4, 2017, the shareholders of Verizon Communications Inc. (“Verizon”) approved the Verizon 2017 Long-Term Incentive Plan (the “Plan”) at the annual meeting of shareholders (the “Annual Meeting”). The Plan became effective immediately upon shareholder approval. The Plan is described in Item 5 of Verizon’s Definitive Proxy Statement filed with the Securities and Exchange Commission on March 20, 2017 (the “2017 Proxy Statement”). The descriptions of the Plan contained herein and in the 20"
0000732717-13-000101,1,"On December 12, 2013, the Human Resources Committee of the Board of Directors of AT&T Inc. approved amendments to the 2011 Incentive Plan, which, among other things, removed certain provisions relating to the acceleration of awards in connection with a change in control. The foregoing description of the amended Incentive Plan is qualified in its entirety by reference to the text of the amendment, which is filed herewith as Exhibit 10.1 and incorporated herein by reference."
0000732717-18-000005,1,"On February 1, 2018, the Human Resources Committee of the Board of Directors of AT&T Inc. (""AT&T"") amended AT&T's Short Term Incentive Plan (the ""STIP"") to permit Executive Officers to participate. The STIP permits the issuance of short-term incentive compensation based upon the achievement of performance goals to Executive Officers, Officers, Senior Managers and, where appropriate, other Employees. The foregoing description of the STIP is qualified in its entirety by reference to the text of th"
0000732717-18-000050,1,"On June 28, 2018, John Stankey, Chief Executive Officer of Warner Media, LLC., entered into an Attorney Fee Agreement with AT&T Services, Inc. Mr. Stankey is expected to engage in extensive business travel on behalf of Warner Media, LLC, which will require him to file state and local income tax returns in a number of jurisdictions. Under the agreement, AT&T Services, Inc. will reimburse Mr. Stankey for any legal fees he incurs in the defense of his state and local income tax returns. The foregoi"
0001193125-19-239966,1,"As previously disclosed by AT&T Inc. on August 26, 2019, John Donovan, Chief Executive Officer of AT&T Communications, LLC, announced he was leaving the company effective October 1, 2019. On September 3, 2019, Mr. Donovan entered into an Agreement and Release and Waiver of Claims (the “Agreement”). Pursuant to the terms of the Agreement: • Mr. Donovan will receive a cash payment of $7,850,000. • Mr. Donovan’s restricted stock granted in 2015 will vest upon his leaving the company on October 1, 2"
0000732717-20-000020,1,"Effective June 25, 2020, the Human Resources Committee of the Board of Directors of AT&T Inc. (the ""Company"") approved an amendment to the Company's Supplemental Life Insurance Plan (the “SLIP”) to provide that the death benefit payable to beneficiaries of the Executive Chairman shall be the same as that previously established for the Chief Executive Officer, which is equal to two times salary during the officer’s employment. This description of the amendment to the SLIP is qualified in its enti"
0000950117-04-004470,0,". On December 15, 2004, Altria Group, Inc. (“Altria”) issued a press release announcing that Altria’s Board of Directors has elected Dr. Harold Brown to serve on its Board of Directors, effective immediately. There is no arrangement or understanding pursuant to which Dr. Brown was selected as a director, and there are no related party transactions between Altria and Dr. Brown. The Board of Directors has not yet determined to which committees of the Board of Directors Dr. Brown will be named. A c"
0000930413-19-002643,0,"On October 7, 2019, Deborah Flint, 52, chief executive officer of Los Angeles World Airports (LAWA), was appointed to the Board of Directors of Honeywell International Inc. (the “Company”) as an independent Director, with immediate effect. Ms. Flint will stand for re-election at Honeywell’s 2020 Annual Meeting of Shareowners. She will receive compensation as a non-employee director in accordance with the Company’s non-employee director compensation practices described in the “Director Compensati"
0001193125-22-011376,0,"On January 18, 2022, Rose Lee, 56, president and CEO of Cornerstone Building Brands, Inc., was appointed to the Board of Directors of Honeywell International Inc. (the “Company”) as an independent Director, with immediate effect. Ms. Lee will stand for re-election at Honeywell’s 2022 Annual Meeting of Shareowners. She will receive compensation as a non-employee director in accordance with the Company’s previously-disclosed, non-employee director compensation practices. A copy of the press releas"
0000773840-22-000058,0,"above. The information in Item 7.01 of this Current Report on Form 8-K is being furnished and shall not be deemed “filed” for the purposes of Section 18 of the Securities Exchange Act of 1934, as amended (the “Exchange Act”), or otherwise subject to the liabilities of that section, and shall not be deemed incorporated by reference into any filing made under the Securities Act of 1933, as amended, or the Exchange Act, except as otherwise expressly stated in such filing. (d) Exhibits Exhibit # Des"
0001193125-17-082168,0,". (d) On March 14, 2017, Microsoft Corporation (“Microsoft”) issued a press release to announce that the Microsoft Board of Directors appointed Reid Hoffman to the Microsoft Board of Directors, effective immediately. Mr. Hoffman, age 49, is a partner at Greylock Partners and a co-founder of LinkedIn. Mr. Hoffman will serve on the Regulatory and Public Policy Committee of the Board. Mr. Hoffman will receive the same compensation as other non-employee Microsoft directors as described in the Micros"
0001193125-17-357415,0,"(e). On November 29, 2017, Microsoft Corporation (the “Company”) held its 2017 Annual Shareholders Meeting (the “Annual Meeting”). At the Annual Meeting, the Company’s shareholders approved the Company’s 2017 Stock Plan (the “2017 Stock Plan”). The 2017 Stock Plan replaces (a) the Company’s 2001 Stock Plan, as amended through July 26, 2016, for all awards other than stock awards to the Company’s French employees qualified under the Macron tax regime, and (b) the Company’s 1999 Stock Plan for Non"
0001193125-18-277602,0,"(e) On September 17, 2018 the Compensation Committee of the Board of Directors of Microsoft Corporation (the “Company”) approved a new Microsoft Corporation Executive Incentive Plan (the “Plan”), to replace the existing Executive Incentive Plan effective for fiscal year 2019 and later awards to Company executives. The Plan was approved to reflect changes in the Internal Revenue Code; it does not change the type or amount of executive awards. Awards under the Plan may be made the form of cash, st"
0001104659-11-069679,0,"On December 12, 2011, our Executive Compensation Committee approved the adoption of the Adobe Systems Incorporated 2011 Executive Severance Plan in the Event of a Change of Control for Prior Participants (the “Prior Participant Change of Control Plan”) and the Adobe Systems Incorporated 2011 Executive Severance Plan in the Event of a Change of Control (together with the Prior Participant Change of Control Plan, the “Change of Control Plans”), each of which became effective on December 13, 2011 a"
0001104659-12-025271,0,"(e) Amendment of 2003 Equity Incentive Plan On April 12, 2012, at the Company’s 2012 Annual Meeting of Stockholders (the “Annual Meeting”), the stockholders of Adobe Systems Incorporated (the “Company”) approved an amendment to the Adobe Systems Incorporated 2003 Equity Incentive Plan (the “2003 Plan”) that increased the available share reserve by 12.39 million shares of the Company’s common stock, increased the maximum number of shares that may be granted as incentive stock options and approved"
0000796343-13-000036,0,"(e) Amendment and Restatement of 2003 Equity Incentive Plan On April 11, 2013, at the Company’s 2013 Annual Meeting of Stockholders (the “Annual Meeting”), the stockholders of Adobe Systems Incorporated (the “Company”) approved an amendment and restatement of the Adobe Systems Incorporated 2003 Equity Incentive Plan (the “2003 Plan”) to increase the available share reserve by 17.5 million shares, increase the aggregate stock award and performance share limits, approve new performance measures an"
0000796343-17-000188,0,"On December 8, 2017, our Executive Compensation Committee approved the Adobe Systems Incorporated 2017 Executive Severance Plan in the Event of a Change of Control (the “Change of Control Plan”), to be effective on December 13, 2017. The Change of Control Plan is attached to this Current Report on Form 8-K as Exhibit 10.1 and incorporated herein by reference. The Change of Control Plan replaces Adobe’s 2014 Executive Severance Plan in the Event of a Change of Control, which terminated in accorda"
0000796343-19-000091,0,"(e) 2019 Equity Incentive Plan On April 11, 2019, at the Annual Meeting of the Company, the Company’s stockholders approved the Adobe Inc. 2019 Equity Incentive Plan (the “2019 Plan”), as described in our Proxy Statement, to replace the Adobe Systems Incorporated 2003 Equity Incentive Plan, as amended. The 2019 Plan previously had been approved, subject to stockholder approval, by the Executive Compensation Committee of the Board. A summary of the 2019 Plan is set forth in our Proxy Statement. T"
0001193125-19-010578,0,"(d) On January 14, 2019, Katie Lahey was appointed to the Carnival Corporation and Carnival plc boards of directors. Ms. Lahey will also serve on the Audit Committees of each of the boards of directors. Since 2011, Ms. Lahey has been the Executive Chair, Australasia for Korn Ferry, a leadership and talent firm. She is also Chair of the Tourism & Transport Form, Australia’s tourism and transportation industry group, and a non-executive member of the board of directors of Star Entertainment Group,"
0001104659-22-051225,0,"Carnival Corporation and Carnival plc have announced senior executive transitions, described in greater detail in the attached press release included as Exhibit 99.1. Compensation for each person is still under consideration and will be reported once finalized. The information set forth in Exhibit 99.1 is incorporated herein by reference."
0000831259-23-000007,0,"On February 7, 2023, the Board of Directors (the “Board”) of Freeport-McMoRan Inc. (“FCX”), upon the recommendation of the Governance Committee of the Board, increased the size of the Board and appointed Kathleen L. Quirk, FCX’s President, to serve as a director of FCX, effective immediately. Ms. Quirk will serve as a director until FCX’s 2023 annual meeting of stockholders and until her successor is duly elected and qualified. There is no arrangement or understanding between Ms. Quirk and any o"
0000950134-06-016417,0,". On August 15, 2006, Diane Greene was named to the Board of Directors of Intuit Inc. (“Intuit”) and the number of directors was increased from nine to ten members. Ms. Greene will serve as a member of Intuit’s Audit Committee. A copy of the press release announcing Ms. Greene’s appointment is attached as Exhibit 99.01 to this report."
0000950134-07-013237,0,"On June 11, 2007, Intuit Inc. announced that its Board of Directors has appointed Edward A. Kangas and Suzanne Nora Johnson as directors of Intuit. The appointments will become effective in July 2007, and the number of authorized directors will increase from nine to eleven members at that time. Mr. Kangas is expected to serve as a member of Intuit’s Compensation and Organizational Development Committee and Ms. Nora Johnson is expected to serve as a member of Intuit’s Audit Committee. A copy of t"
0001193125-12-186061,0,". On April 26, 2012, Jeff Weiner was named to the Board of Directors of Intuit Inc. (“Intuit”) and the number of directors was increased from eight to nine members. A copy of the press release announcing Mr. Weiner’s appointment is attached as Exhibit 99.01 to this report."
0001193125-14-020495,0,"Amendment of the 2005 Equity Incentive Plan At the Annual Meeting of Stockholders of Intuit Inc. (“Intuit”) held on January 23, 2014, Intuit’s stockholders approved amendments to Intuit’s 2005 Equity Incentive Plan (the “Plan”). The amendments were approved by Intuit’s Board of Directors, subject to the approval of Intuit’s stockholders, and became effective with such stockholder approval on January 23, 2014. As a result of such stockholder approval, the Plan was amended to increase the number o"
0001193125-15-019001,0,"Amendment of the Employee Stock Purchase Plan At the Annual Meeting of Stockholders of Intuit Inc. (“Intuit”) held on January 22, 2015, Intuit’s stockholders approved an amendment to Intuit’s Employee Stock Purchase Plan (the “Plan”). The amendment was approved by Intuit’s Board of Directors, subject to the approval of Intuit’s stockholders, and became effective with such stockholder approval on January 22, 2015. As a result of such stockholder approval, the Plan was amended to increase the numb"
0000896878-16-000219,0,"On May 4, 2016, Raul Vazquez was named to the Board of Directors (the “Board”) of Intuit Inc. (“Intuit”), and the number of directors was increased from eight to nine members. Mr. Vazquez was appointed to serve on the Audit and Risk Committee and the Acquisition Committee of the Board. Mr. Vazquez will receive compensation for services as a non-employee director of Intuit consistent with the compensation generally provided to other Intuit non-employee directors, as determined by the Board from t"
0000896878-17-000080,0,"On July 20, 2017, Deborah Liu was named to the Board of Directors (the “Board”) of Intuit Inc. (“Intuit”), and the number of directors was increased from nine to ten members. Ms. Liu was appointed to serve on the Acquisition Committee and the Compensation and Organizational Development Committee of the Board. Ms. Liu will receive compensation for services as a non-employee director of Intuit consistent with the compensation generally provided to other Intuit non-employee directors, as determined"
0000896878-20-000202,0,"On October 16, 2020, the Board of Directors (the “Board”) of Intuit Inc. (“Intuit”) appointed Tekedra Mawakana as a director of Intuit, and the number of directors constituting the full Board was increased from eleven to twelve. Ms. Mawakana also was appointed to serve on the Compensation and Organizational Development Committee and the Nominating and Governance Committee of the Board. Ms. Mawakana will receive compensation for services as a non-employee director of Intuit consistent with the co"
