round,classifier,sheet_id,company,filing_date,treated,url,fields_in_dispute,reference,classifier_codes,blind,restates_prior_disclosure,reference_person,classifier_person,reference_note,text_excerpt
audit,v2 (6f7be7a),27,ServiceNow Inc.,2024-07-24,0,https://www.sec.gov/Archives/edgar/data/1373715/000137371524000269/now-20240724.htm,pre_announced,exec=Y / ceo=N / dir=N / pre=N,exec=Y / ceo=N / dir=N / pre=Y,exec=Y / ceo=N / pre=N,N,"Chirantan 'CJ' Desai, President and COO",Mr. Desai (COO: President and Chief Operating Officer),"Resigned 2024-07-24, after reference date. Text states a policy violation found by an internal investigation.","On July 24, 2024, the Company and its President and Chief Operating Officer, Chirantan “CJ” Desai, came to a mutual agreement that Mr. Desai would resign from all positions with the Company, effective immediately. As previously referenced in the Company’s Form 10-Q for the quarter ended March 31, 2024, through its internal processes, the Company received a complaint that raised potential compliance issues related to one of its government contracts. The Company initiated an internal investigation, with the assistance of outside legal counsel, into the validity of these claims that concern the hiring of the Chief Information Officer of the U.S. Army as the Company’s Head of Global Public Sector in March 2023. As a result of the investigation, the Company’s Board of Directors (the “Board”) determined that Mr. Desai and the hired individual violated Company policy regarding a possible conflict relating to such individual’s hiring. Mr. Desai has fully cooperated with the investigation and maintains that he did not intentionally violate Company policy. The other individual also has departed the Company. The Company has informed the Department of Justice, the Department of Defense Office of Inspector General and the Army Suspension and Debarment Office of the investigation and is continuing to cooperate with the Department of Justice, which has commenced its own investigation into these matters. The Company cannot predict the timing, outcome or possible impact of the investigation. "
audit,v2 (6f7be7a),29,Sprint Nextel,2009-03-27,1,https://www.sec.gov/Archives/edgar/data/101830/000010183009000007/k2009march27hockaday.txt,"director_only_departure, pre_announced",exec=N / ceo=N / dir=Y / pre=Y,exec=N / ceo=N / dir=N / pre=N,exec=N / ceo=N / pre=Y,N,"Irvine O. Hockaday Jr., director",,"Notice 2009-03-23, before reference date.","(b) On March 23, 2009, Irvine O. Hockaday, Jr. notified Sprint Nextel Corporation (the ""Company"") that he has decided not to stand for re-election at the next annual meeting of stockholders to be held May 12, 2009. His decision is not as the result of any disagreement with the Company on any matter relating to the Company's operations, policies or practices."
audit,v2 (6f7be7a),34,Hewlett-Packard Company,2006-09-12,0,https://www.sec.gov/Archives/edgar/data/47217/000110465906060568/a06-19530_18k.htm,exec_departure,exec=N / ceo=N / dir=Y / pre=Y,exec=Y / ceo=N / dir=Y / pre=Y,exec=N / ceo=N / pre=Y,N,"George A. Keyworth II, director",Patricia C. Dunn (other_exec: executive Chairman of the Board of Directors); Keyworth II (director: director); Dr. Keyworth (director: Board),"Patricia Dunn gives up the non-executive chair but stays a director, so she is not coded. Dates before reference date.","(b) On September 12, 2006, Patricia C. Dunn resigned as non-executive Chairman of the Board of Directors of Hewlett-Packard Company (“HP”) effective at the adjournment of the regularly scheduled meeting of the Board of Directors of HP to be held on January 18, 2007. At that time, Mark V. Hurd, Chief Executive Officer and President of HP, will assume the additional role of Chairman of the Board, and Richard A. Hackborn, a member of the HP Board since 1992, will become HP’s lead independent director. Ms. Dunn will continue to serve as a director following the effective time of her resignation as Chairman. The text of HP’s press release entitled “Patricia Dunn to Remain HP Chairman Through January 2007 Board Meeting; Board Appoints Mark Hurd As Successor” is filed with this report as Exhibit 99.1. Also on September 12, 2006, Dr. George A. Keyworth II resigned as a director of HP, effective immediately. Dr. Keyworth has confirmed to the HP Board that his resignation is not the result of any disagreement on any matter relating to HP’s operations, policies or practices."
audit,v2 (6f7be7a),39,"T-Mobile USA, Inc.",2016-06-22,1,https://www.sec.gov/Archives/edgar/data/1283699/000119312516628913/d386854d8k.htm,"exec_departure, pre_announced",exec=Y / ceo=N / dir=N / pre=Y,exec=N / ceo=N / dir=N / pre=N,exec=Y / ceo=N / pre=Y,N,"Michael J. Morgan, SVP Finance and Chief Accounting Officer (moves to a new role)",,"Leaves the PAO title while staying employed. Effective 2016-06-20, before reference date.","(b) Effective as of June 20, 2016, Michael J. Morgan, who previously served as Senior Vice President, Finance & Chief Accounting Officer of T-Mobile US, Inc. (the “Company”), transitioned into a new position with the Company and will serve as the Company’s Senior Vice President — Finance, Customer Financial Services and will oversee the Company’s Financial Services team that develops and supports our core consumer financing products. Mr. Morgan will continue to report to J. Braxton Carter, Executive Vice President and Chief Financial Officer. (c) Effective as of June 20, 2016, Peter Osvaldik was appointed Senior Vice President, Finance & Chief Accounting Officer of the Company. Mr. Osvaldik, 39, previously served as Vice President, External Reporting & Technical Accounting of the Company since January 2016. From May 2014 to December 2015, he served as Chief Accounting Officer at Outerwall Inc. (formerly known as Coinstar, Inc.), a provider of automated retail solutions, including movie and video game rental kiosks as well as coin-counting kiosks. Prior to that, he served in various capacities at Outerwall, Inc., including as Controller, Coinstar LOB, the automated coin-counting business of Outerwall, from November 2010 to February 2013 and as Corporate Controller from February 2013 to May 2014. Prior to joining Outerwall, Mr. Osvaldik was a Senior Manager at PricewaterhouseCoopers LLP, a national public accounting firm. Mr. Osvaldik received a Bachelor’s degree in Accounting "
audit,v2 (6f7be7a),40,"Automatic Data Processing, Inc.",2012-11-01,0,https://www.sec.gov/Archives/edgar/data/8670/000117184312003874/document.htm,"exec_departure, pre_announced",exec=Y / ceo=N / dir=N / pre=Y,exec=N / ceo=N / dir=N / pre=N,exec=Y / ceo=N / pre=Y,N,"Christopher Reidy, CFO",,"Announced 2012-11-01, before reference date.","(b) On November 1, 2012, Automatic Data Processing, Inc. (the ""Company"") announced that the Company and Christopher Reidy have mutually agreed that Mr. Reidy would no longer serve as Chief Financial Officer of the Company after November 2, 2012. Mr. Reidy will remain available through calendar year-end to facilitate an orderly transition of his responsibilities to his successor. (c) On November 1, 2012, the Company announced that Jan Siegmund, the Company's Chief Strategy Officer and President, Added Value Services, has been appointed Chief Financial Officer of the Company, effective November 5, 2012. Mr. Siegmund, who is 48 years old, joined the Company in 1999 as Vice President of Corporate Strategy and has held increasingly senior executive leadership positions since that time. Prior to his promotion, he served as both Chief Strategy Officer, with overall responsibility for the Company's strategy, product management, marketing and corporate development, as well as President of the Added Value Services division, overseeing tax, compliance services and insurance services. He assumed these positions in 2009 and 2007, respectively. Prior to these roles, Mr. Siegmund served as the Company's Corporate Vice President, Strategic Development from 2004 to 2007 and as Senior Vice President of Strategic Development, Brokerage Services at the Company's Brokerage Services Group from 2000 to 2004."
audit,v2 (6f7be7a),47,"Intuit, Inc.",2008-02-08,0,https://www.sec.gov/Archives/edgar/data/896878/000095013408001977/f37812e8vk.htm,"exec_departure, pre_announced",exec=Y / ceo=N / dir=N / pre=Y,exec=N / ceo=N / dir=N / pre=N,exec=unclear / ceo=N / pre=Y,N,"Jeffrey E. Stiefler (SVP, Financial Institutions Division, per verification)",,"BLIND: exec = unclear (text gives no title). VERIFIED: SVP, Financial Institutions Division; executive-officer status not confirmed. Primary = Y, flagged for adjudication. Agreement 2008-02-04, before reference date.","On February 4, 2008, Intuit Inc. and Jeffrey E. Stiefler entered into a Separation Terms and General Release Agreement (the “Agreement”), under which Mr. Stiefler’s employment with Intuit will terminate on February 15, 2008 and he will provide services as a consultant through July 2008. In exchange for his waiver and release of claims in favor of the company, Mr. Stiefler will receive accelerated vesting of 40,000 restricted stock units and a one-time payment of $45,000 for continuing healthcare premiums. The Agreement has been filed as an exhibit to this report on Form 8-K, and becomes irrevocable 7 days from February 4, 2008. The above description is qualified in its entirety by reference to the Separation Terms and General Release Agreement which is filed as Exhibit 10.01 to this report on Form 8-K."
audit,v2 (6f7be7a),48,Honeywell International Inc.,2021-07-14,0,https://www.sec.gov/Archives/edgar/data/773840/000119312521215278/d153129d8k.htm,ceo_departure,exec=Y / ceo=N / dir=N / pre=N,exec=Y / ceo=Y / dir=N / pre=N,exec=Y / ceo=N / pre=N,N,"Rajeev Gautam, President and CEO, Performance Materials and Technologies segment (segment CEO)",Rajeev Gautam (CEO: President and Chief Executive Officer); Rajeev Gautam (CEO: President Chief Executive Officer); Rajeev Gautam (CEO: President Chief Executive Officer),"Notice 2021-07-14, after reference date.","On July 14, 2021, Rajeev Gautam, President and Chief Executive Officer of the Performance Materials and Technologies segment (“PMT”) of Honeywell International Inc. (the “Company”), communicated his intent to retire from the Company effective as of August 13, 2021 (the “Retirement Date”). Following the Retirement Date and through the end of January 2022, Mr. Gautam will serve as President Emeritus, Honeywell PMT, with responsibility for ensuring smooth customer transitions across PMT and helping enable growth within the Honeywell UOP business unit. Mr. Vimal Kapur, age 55, has been appointed to succeed Mr. Gautam as President and Chief Executive Officer of PMT. Mr. Kapur has served since May 2018 as President and Chief Executive Officer of the Honeywell Building Technologies segment (“HBT”), and prior to that, Mr. Kapur led PMT’s Honeywell Process Solutions business (“HPS”) from 2014 to 2018. In addition, Mr. Kapur has held several other leadership positions at Honeywell, including Vice President and General Manager of the Advanced Solutions line of business for HPS and Managing Director for Honeywell Automation India Limited (HAIL). Mr. Doug Wright, age 51, has been appointed to succeed Mr. Kapur as President and Chief Executive Officer of HBT. Mr. Wright has served as President of HBT’s Fire and Security business since joining the Company in July 2020. Before joining the Company, Mr. Wright served from 2013 to 2020 as President and Chief Executive Officer of Source Photonic"
audit,v2 (6f7be7a),51,"Charter Communications, Inc.",2008-07-08,1,https://www.sec.gov/Archives/edgar/data/1091667/000109166708000143/body.htm,director_only_departure,exec=Y / ceo=N / dir=N / pre=Y,exec=Y / ceo=N / dir=Y / pre=Y,exec=Y / ceo=N / pre=Y,Y,"Robert A. Quigley, EVP and Chief Marketing Officer",None (director: DIRECTORS OR CERTAIN OFFICERS; ELECTION OF DIRECTORS); Robert A. Quigley (other_exec: Executive Vice President and Chief Marketing Officer),"'As previously announced'; resignation effective 2008-07-01, before reference date.","DEPARTURE OF CERTAIN DIRECTORS OR CERTAIN OFFICERS; ELECTION OF DIRECTORS; APPOINTMENT OF CERTAIN OFFICERS; COMPENSATORY ARRANGEMENTS OF CERTAIN OFFICERS. On July 1, 2008, as previously announced by Charter Communications, Inc. (""Charter"") in a Form 8-K filed on June 23, 2008, Eloise E. Schmitz became the Executive Vice President and Chief Financial Officer of Charter. As of July 1, Ms. Schmitz's annual base salary increased to $525,000 and she received grants of 92,593 shares of restricted stock, 108,932 performance units and $100,000 in performance cash pursuant to the terms of Charter's 2008 Incentive Program. In addition, her annual bonus target under Charter's Executive Bonus Plan will be 75% of her annual base salary. It is anticipated that Ms. Schmitz will enter into an amended and restated employment agreement, the terms of which will include the above-referenced terms; additional terms included in Charter's employment agreements with Executive Vice Presidents include that in the event of a termination by Charter without cause or by Ms. Schmitz for Good Reason (as defined in the employment agreement), Charter shall pay her two times her annual base salary and a lump sum equal to 24 months of COBRA payments (compared to the one year payments in the current agreement). Also, on July 1, 2008, as previously announced, Robert A. Quigley resigned as Executive Vice President and Chief Marketing Officer, although he will remain as an advisor to Charter and retire at the end o"
audit,v2 (6f7be7a),55,Verizon,2013-06-10,1,https://www.sec.gov/Archives/edgar/data/732712/000119312513253564/d551901d8k.htm,pre_announced,exec=unclear / ceo=N / dir=N / pre=Y,exec=N / ceo=N / dir=N / pre=N,exec=unclear / ceo=N / pre=Y,N,"Robert J. Barish, SVP and Controller (succeeded; stays leading FP&A)",,Implied departure from the Controller title; the text does not say Controller is the principal accounting officer. Dates before reference date if counted.,"Effective June 10, 2013, Anthony T. Skiadas, 44, became Senior Vice President and Controller of Verizon Communications Inc. (Verizon). Mr. Skiadas has held high-level managerial positions in the finance organization of Verizon and its subsidiaries over the past five years. He succeeds Robert J. Barish, who will continue to lead the corporate financial planning and analysis organization."
audit,v2 (6f7be7a),57,CenturyLink,2013-03-25,1,https://www.sec.gov/Archives/edgar/data/18926/000119312513124519/d509961d8k.htm,ceo_departure,exec=Y / ceo=N / dir=N / pre=Y,exec=Y / ceo=Y / dir=N / pre=Y,exec=Y / ceo=N / pre=Y,N,"James E. Ousley, CEO, Savvis Operations (segment CEO)",James E. Ousley (CEO: Chief Executive Officer); James E. Ousley (CEO: Chief Executive Officer),Filed under (b). Filing predates reference date.,"(b) James E. Ousley, Chief Executive Officer, Savvis Operations, will retire effective April 1, 2013. A press release announcing his retirement is attached as Exhibit 99.1."
audit,v2 (6f7be7a),70,"DISH Network, LLC",2023-11-13,1,https://www.sec.gov/Archives/edgar/data/1001082/000110465923116755/tm2323753d3_8k.htm,pre_announced,exec=Y / ceo=Y / dir=N / pre=N,exec=Y / ceo=Y / dir=N / pre=unclear,exec=Y / ceo=Y / pre=unclear,Y,"W. Erik Carlson, President and CEO (stays on board through merger)",Mr. Carlson (CEO: President and Chief Executive Officer),"BLIND pre-announced = unclear ('previously disclosed', no date). VERIFIED: notice 2023-11-03 (DISH 8-K), after reference date; primary = N.","On November 9, 2023, DISH Network Corporation (“DISH”) appointed Mr. Hamid Akhavan, the current Chief Executive Officer and President of EchoStar Corporation (“EchoStar”), to the additional role of President and Chief Executive Officer of DISH effective as of November 13, 2023. As previously disclosed, Mr. Carlson notified DISH of his intention to resign as President and Chief Executive Officer of DISH effective as of November 12, 2023, but will remain on the board of directors of DISH (the “DISH Board”) through the closing of the previously announced merger between DISH and EchoStar (the “Merger”). The appointment of Mr. Akhavan was approved by a special committee of independent directors of the DISH Board (the “DISH Special Committee”), subject to the approval of the DISH Board, and was subsequently approved by the DISH Board. The approval of the DISH Board was conditioned upon the approval of the board of directors of EchoStar (the “EchoStar Board”) of a compensation sharing agreement between DISH and EchoStar, which approval was obtained on November 9, 2023. Mr. Akhavan will retain his current position as Chief Executive Officer and President of EchoStar. Prior to joining EchoStar on March 31, 2022, Mr. Akhavan served as a Partner at Twin Point Capital, an investment firm, beginning in April 2018, and from March 2016 to April 2018, he was a Founding Partner of Long Arc Capital LLC. Prior to March 2016, Mr. Akhavan held a variety of leadership positions, including as Chief"
audit,v2 (6f7be7a),71,Verizon,2017-10-04,1,https://www.sec.gov/Archives/edgar/data/732712/000119312517303383/d469226d8k.htm,ceo_departure,exec=Y / ceo=N / dir=N / pre=N,exec=Y / ceo=Y / dir=N / pre=N,exec=Y / ceo=N / pre=N,N,"Marni M. Walden, EVP and President, Global Media",Lowell McAdam (CEO: Chief Executive Officer),"Announced by the 2017-10-04 filing, after reference date.","Verizon Communications Inc. announced that Marni M. Walden, Verizon’s Executive Vice President and President – Global Media, would step down from her current position effective at the close of business on December 31, 2017. Following that date, she will report to Lowell McAdam, the Chairman and Chief Executive Officer of Verizon, as a strategic advisor and will leave the company in February 2018."
