accession,sub_row,person,title,role_class,action,verb,sentence
0000078003-06-000195,2,Henry A. McKinnell,Chief Executive Officer,CEO,departure,succeed/replace,Mr. Kindler succeeds Henry A. McKinnell as Chief Executive Officer.
0000078003-06-000195,3,Mr. Kindler,director,director,election,elect,"On July 28, 2006, Mr. Kindler was appointed to the Board effective July 31, 2006."
0000078003-06-000195,4,Mr. Kindler,director,director,election,elect,Mr. Kindler was also named Chairman of the Executive Committee of the Board.
0000078003-06-000195,5,Henry A. McKinnell,officer,other_exec,departure,Departure,Departure of Dr. McKinnell The Company is currently negotiating the definitive terms of Dr. McKinnell’s departure as a principal officer.
0000078003-06-000195,6,Henry A. McKinnell,officer,other_exec,departure,departure,The Company will disclose the definitive terms of Dr. McKinnell’s departure as principal officer in a subsequent filing on Form 8-K.
0000078003-06-000352,1,Henry A. McKinnell,Chief Executive Officer,CEO,departure,Resignation,"On July 28, 2006, Pfizer announced that Jeffrey B. Kindler would succeed Dr. McKinnell as Chief Executive Officer of Pfizer effective July 31, 2006 (“Resignation Date”)."
0000078003-06-000352,2,Henry A. McKinnell,Chief Executive Officer of Pfizer effective July 31,CEO,departure,succeed/replace,"On July 28, 2006, Pfizer announced that Jeffrey B. Kindler would succeed Dr. McKinnell as Chief Executive Officer of Pfizer effective July 31, 2006 (“Resignation Date”)."
0000078003-06-000352,3,Henry A. McKinnell,Board,director,departure,resigned,"On December 18, 2006, Dr. McKinnell resigned from his position as Chairman of the Board."
0000078003-06-000352,4,Henry A. McKinnell,Board,director,departure,step down,"Under the Agreement, Dr. McKinnell has agreed to step down from his position on the Board and to retire from employment and all other positions with Pfizer then held by him on the Termination Date."
0000078003-07-000034,1,Ruth J. Simmons,Board,director,departure,not stand for re-election,"Ruth J. Simmons : On February 21, 2007, Ruth J. Simmons informed the Board of Directors that she will not stand for re-election to the Board at Pfizer's annual meeting of shareholders on April 26, 2007 due to her increased responsibilities as President of Brown University."
0000078003-07-000122,1,Pfizer Research,Senior Vice President; Chief Financial Officer,CFO,departure,retire,"On May 18, 2007, the Board of Directors authorized the Company to enter into agreements whereby Dr. John L. LaMattina, Senior Vice President; President - Pfizer Research and Development, will retire, and Mr. Alan G. Levin, Senior Vice President; Chief Financial Officer, will resign, from the Company when their successors are appointed but no later than December 31, 2007."
0000078003-07-000213,1,Mr. D'Amelio,Senior Vice President and Chief Financial Officer,CFO,appointment,appointed,"On August 7, 2007, the Board of Directors of Pfizer Inc. (the ""Company"") elected Frank A. D'Amelio Senior Vice President and Chief Financial Officer of the Company and appointed Mr. D'Amelio a member of the Company's Executive Leadership Team effective September 10, 2007 (the ""Effective Date""), subject to the Company reaching appropriate agreement with Mr. D'Amelio regarding his acceptance of such positions."
0000078003-07-000294,1,,Vice Chairman,other_exec,departure,retire,"On October 25, 2007, the Company issued a press release announcing that, after a 31-year career, Vice Chairman David L. Shedlarz will retire from Pfizer at the end of 2007."
0001299933-09-000511,1,,director,director,election,elect,"On January 26, 2009, the J. M. Smucker Company (the ""Company"") issued a press release announcing that its Board of Directors (the ""Board"") was increased to thirteen members and that the Board had elected Alex Shumate, Paul Smucker Wagstaff and Mark Smucker to serve on the Board, effective immediately."
0000950152-09-003994,1,"Donald D. Hurrle, Sr.",Vice President,other_exec,departure,Departure,"(b) Departure of Named Executive Officer On April 20, 2009, Donald D. Hurrle, Sr., Vice President, Sales, Grocery Market of The J. M. Smucker Company, notified the Company’s Board of Directors that he would be retiring effective June 30, 2009."
0000950123-09-020588,1,"Donald D. Hurrle, Sr.",Vice President,other_exec,departure,retired,"On July 7, 2009, The J. M. Smucker Company (the “Company”) entered into a consulting agreement (the “Agreement”) with Donald D. Hurrle, Sr., who retired as the Company’s Vice President, Sales, Grocery Market, effective June 30, 2009."
0001193125-21-116417,1,Richard K. Strege,Principal Accounting Officer,PAO,departure,retire,"On April 9, 2021, Richard K. Strege, the Principal Accounting Officer of Snap-on Incorporated (the “Company”), as well as its Vice President and Controller, informed the Company that he intends to retire on or about June 30, 2021."
0001193125-21-116417,2,Marty V. Ozolins,director,director,election,elect,"Marty V. Ozolins, currently Vice President, Internal Audit, was elected as Vice President and Controller, as well as Principal Accounting Officer, by the Company’s Board of Directors, effective upon Mr. Strege’s retirement."
0001193125-15-388118,1,Southwest Airlines Co,Board with notice of his resignation from the Board,director,departure,resignation,"(b) On November 20, 2015, Thomas M. Nealon, a member of the Southwest Airlines Co. Board of Directors (the “Board”), provided the Board with notice of his resignation from the Board, effective immediately."
0001193125-16-447087,1,Southwest Airlines Co,director,director,election,elect,"(d) On January 27, 2016, the Board of Directors (the “Board”) of Southwest Airlines Co. (the “Company”) appointed Grace Lieblein as a member of the Board, effective January 27, 2016."
0001193125-16-447087,2,Grace Lieblein,director,director,election,elect,"Ms. Lieblein has not yet been appointed to any Board committees, has no relationships requiring disclosure under Item 404 of Regulation S-K, and is not a party to any arrangement or understanding with any other person pursuant to which she was selected as a director."
0001193125-17-008419,1,Thomas M. Nealon,President,president,appointment,appointed,"On January 10, 2017, Thomas M. Nealon was appointed as President of Southwest Airlines Co. (the “Company”), effective the same day."
0001193125-17-008419,2,Gary C. Kelly,Chief Executive Officer,CEO,departure,no longer serve,"Gary C. Kelly, who has been with the Company for over 30 years and served as Chief Executive Officer for the last 12 years and as President for the last eight years, will no longer serve the Company as President, effective with Mr. Nealon’s appointment, but will continue in his role as Chief Executive Officer and as Chairman of the Board of Directors."
0001193125-17-183437,1,Southwest Airlines Co,Executive Vice President,other_exec,departure,resignation,"On May 22, 2017, Jeff Lamb, Executive Vice President of Corporate Services of Southwest Airlines Co. (the “Company”), submitted his resignation from the Company effective June 30, 2017."
0001193125-17-183437,2,Jeff Lamb,Executive Vice President,other_exec,departure,departure,"Concurrent with the Company’s announcement of Mr. Lamb’s departure, the Company announced that Bob Jordan, the Company’s Executive Vice President & Chief Commercial Officer, will assume the role of Executive Vice President of Corporate Services effective July 1, 2017."
0001193125-17-183437,3,Andrew Watterson,"Chief Revenue Officer, will be promoted to Executive Vice President & Chief Revenue Officer",other_exec,appointment,promoted,"The Company also announced that Andrew Watterson, the Company’s Senior Vice President & Chief Revenue Officer, will be promoted to Executive Vice President & Chief Revenue Officer effective July 1, 2017."
0001193125-21-203381,1,Mr. Hourican,President and CEO,CEO,appointment,appointment,"The goals for these PSU awards were established in July 2019, more than six months prior to Mr. Hourican’s appointment as President and CEO."
0001193125-21-203381,2,Mr. Hourican,CEO,CEO,appointment,appointment,"Although the Committee believes strongly in pay-for-performance, the circumstances surrounding the impact of the pandemic on Sysco’s business, which occurred almost immediately after Mr. Hourican’s appointment, were extraordinary, and the Committee believes it would be detrimental to the Company’s business to undermine the motivation and retention of its CEO by allowing his new hire PSUs to remain unachievable."
0001193125-21-252868,1,Mr. Joshua,Board of Directors,director,departure,resigned,"On August 20, 2021, each of Mr. Nelson Peltz and Mr. Joshua D. Frank resigned as members of the Board of Directors of Sysco Corporation (the “Company”)."
0001193125-21-362516,1,,director,director,election,elect,"(d) On December 17, 2021, the Board of Directors (the “ Board ”) of Sysco Corporation (“ Sysco ” or the “ Company ”) increased the size of the Board from ten to thirteen directors and elected Mr. Ali Dibadj, Ms. Jill Golder and Ms. Alison Kenney Paul to fill the resulting vacancies, effective on January 1, 2022."
0001193125-22-058196,1,Ms. Stephanie,Board of Directors (the “ Board,director,departure,resign,"On February 24, 2022, Ms. Stephanie A. Lundquist tendered her offer to resign from the Board of Directors (the “ Board ”) of Sysco Corporation (“ Sysco ” or the “ Company ”) in connection with an upcoming change in her principal occupation, as required by the Company’s Corporate Governance Guidelines."
0001193125-22-139528,1,Mr. Tim,Named Executive Officer,other_exec,departure,Departure,"Departure of Named Executive Officer (Item 5.02(b)) Mr. Tim Ørting Jørgensen, the Executive Vice President and President, Foodservice Operations, International of Sysco Corporation (“ Sysco ” or the “ Company ”), has departed the Company effective May 3, 2022."
0001193125-22-247448,1,,"Chief Accounting Officer On September 16, 2022, the Board of Directors",PAO,appointment,Appointment,"Appointment of Interim Chief Accounting Officer On September 16, 2022, the Board of Directors (the “ Board ”) of Sysco Corporation (“ Sysco ” or the “ Company ”) appointed Ms. Anita A. Zielinski, Senior Vice President and Chief Accounting Officer, to her new role as Senior Vice President, Chief Financial Officer – US Foodservice Operations of the Company, effective September 26, 2022 (the “ Effective Date ”)."
0001193125-22-247448,2,Mr. Scott,director,director,election,elect,"Mr. Scott B. Stone, the Company’s Vice President, Financial Reporting, has been appointed by the Board to serve as interim Chief Accounting Officer from the Effective Date until the appointment of Ms. Zielinski’s successor."
0001193125-22-247448,3,Regulation S-K,"Director John Cassaday On September 20, 2022, the Board",director,departure,Retirement,"There are no family relationships between Mr. Stone and any director or executive officer of the Company, and he is not a party to any transaction requiring disclosure under Item 404(a) of Regulation S-K. Retirement of Director John Cassaday On September 20, 2022, the Board announced that Mr. John M. Cassaday, a member of the Board and the Chair of the Compensation and Leadership Development Committee of the Board, will retire from his service as a director at the time of Sysco’s 2022 Annual Mee"
0001193125-22-305398,1,Mr. Aaron,Chief Financial Officer,CFO,departure,Departure,"Departure of Chief Financial Officer (Item 5.02(b)) On December 10, 2022, Mr. Aaron E. Alt, the Executive Vice President and Chief Financial Officer of Sysco Corporation (“ Sysco ” or the “ Company ”), resigned from his position with the Company effective January 6, 2023 (the “ Effective Date ”)."
0001193125-22-305398,2,Mr. Neil,director,director,election,elect,"Appointment of Interim Chief Financial Officer (Item 5.02(c)) Mr. Neil A. Russell, the Company’s Senior Vice President, Corporate Affairs and Chief Communications Officer, has been appointed by the Board to serve as interim Chief Financial Officer from the Effective Date until the appointment of Mr. Alt’s successor."
0000096021-23-000042,1,Mr. Kenny,Executive Vice President and Chief Financial Officer,CFO,appointment,named,"On March 24, 2023, the Board of Directors (the “ Board ”) of Sysco Corporation (“ Sysco ” or the “ Company ”) named Mr. Kenny Cheung as Sysco’s Executive Vice President and Chief Financial Officer, with an expected effective date of April 17, 2023 (the “ Effective Date ”)."
0000096021-23-000042,2,Mr. Neil A. Russell,Senior Vice President and Chief Administrative Officer,other_exec,departure,succeed/replace,"Mr. Cheung will succeed Mr. Neil A. Russell, who will be transitioning to serve as the Company’s Senior Vice President and Chief Administrative Officer as of the Effective Date."
0000096021-23-000042,3,Mr. Cheung,Executive Vice President and Chief Financial Officer,CFO,appointment,appointment,"Executive Vice President and Chief Financial Officer Compensation Arrangements In connection with Mr. Cheung’s appointment as Executive Vice President and Chief Financial Officer, Mr. Cheung and the Company entered into a letter agreement (the “ Cheung Agreement ”), pursuant to which Mr. Cheung will receive an annual base salary of $765,000 and will be eligible to receive: (i) a target annual cash incentive opportunity for fiscal year 2023 equal to 100% of his annual base salary, pro-rated from "
0000096021-23-000042,4,Mr. Russell,Senior Vice President and Chief Administrative Officer,other_exec,appointment,appointment,"Senior Vice President and Chief Administrative Officer Compensation Arrangements In connection with his appointment as Senior Vice President and Chief Administrative Officer, Mr. Russell’s (i) annual base salary will be increased to $525,000, (ii) target annual cash incentive opportunity will be equal to 100% of his annual base salary, and (iii) long-term incentive opportunity will be increased to an aggregate grant date fair value equal to 200% of his annual base salary."
0000096021-23-000120,1,,"Executive Vice President, Global Chief Operating Officer",COO,appointment,Appointment,"Appointment of Executive Vice President, Global Chief Operating Officer On August 23, 2023, the Board of Directors (the “ Board ”) of Sysco Corporation (“ Sysco ” or the “ Company ”) appointed Mr. Greg D. Bertrand, currently Sysco’s Executive Vice President, U.S. Foodservice Operations, as the Company’s Executive Vice President, Global Chief Operating Officer, effective September 1, 2023."
0000096021-23-000120,2,Mr. Bertrand,Executive Vice President,other_exec,appointment,promoted,He was promoted to Executive Vice President in 1999.
0000096021-23-000120,3,Sysco Eastern Wisconsin,President,president,appointment,named,"In 2005, he was named President-Sysco Eastern Wisconsin."
0000096021-23-000120,4,Sysco Chicago,Vice President-Midwest in 2010 and then to Senior Vice President,other_exec,appointment,promoted,He was promoted to Market Vice President-Midwest in 2010 and then to Senior Vice President – Foodservice Operations (West) in July 2012.
0000096021-23-000144,1,Ms. Judith,Executive Vice President and Chief Commercial Officer,other_exec,departure,retire,"On September 7, 2023, Ms. Judith S. Sansone, Executive Vice President and Chief Commercial Officer of Sysco Corporation (“ Sysco ” or the “ Company ”), notified the Company of her intention to retire from Sysco, effective October 2, 2023."
0000096021-23-000144,2,Ms. Sansone,Board of Directors,director,departure,retirement,The Company and its Board of Directors thank Ms. Sansone for her many contributions to Sysco over the years and wish her all the best as she transitions into her well-deserved retirement. - 2 -
0000096021-23-000165,1,Dr. Hans-Joachim,"Board, will retire from his service as a director",director,departure,retire,"On September 22, 2023, the Board announced that Dr. Hans-Joachim Koerber, a member of the Board, will retire from his service as a director at the time of Sysco’s 2023 Annual Meeting of Stockholders, currently scheduled for November 17, 2023."
0000096021-23-000165,2,Dr. Koerber,Board,director,departure,retirement,"Dr. Koerber’s retirement, following 15 years of distinguished service on the Board, is in accordance with the Company’s 15-year director tenure policy."
0000096021-23-000186,1,Ms. Judith,Executive Vice President and Chief Commercial Officer,other_exec,departure,retire,"On September 8, 2023, Sysco Corporation (“ Sysco ” or the “ Company ”) filed a Current Report on Form 8-K (the “ Original Form 8-K ”) disclosing that Ms. Judith S. Sansone, Sysco’s Executive Vice President and Chief Commercial Officer, intended to retire from Sysco, effective October 2, 2023."
0000096021-23-000190,1,,Senior Vice President and Chief Accounting Officer,PAO,appointment,Appointment,"Appointment of Senior Vice President and Chief Accounting Officer On October 12, 2023, the Board of Directors (the “ Board ”) of Sysco Corporation (“ Sysco ” or the “ Company ”) approved the appointment of Ms. Jennifer L. Johnson as Sysco’s Senior Vice President and Chief Accounting Officer, with an expected effective date of October 23, 2023 (the “ Effective Date ”)."
0000096021-23-000190,2,Ms. Johnson,Senior Vice President and Chief Accounting Officer,PAO,appointment,appointment,"There are no family relationships between Ms. Johnson and any director or executive officer of the Company, and there are no transactions since the beginning of the Company’s fiscal year 2023 in which the Company is a participant and in which Ms. Johnson or any of her immediate family members has any interests that are required to be reported under Item 404(a) of Regulation S-K. Senior Vice President and Chief Accounting Officer Compensation Arrangements In connection with Ms. Johnson’s appointm"
0000101830-07-000011,1,William E. Kennard,Board of Directors,director,departure,resigned,"On March 1, 2007, William E. Kennard resigned as a member of the Board of Directors of Sprint Nextel Corporation."
0000101830-07-000032,1,Larry C. Glasscock,director,director,election,elect,Messrs. Glasscock and O'Neal have not been appointed to any committees of the board.
0000101830-07-000036,1,Gary Forsee,president and chief executive officer,CEO,departure,stepping down,"Sprint Nextel Corporation (""Sprint Nextel"") announced that effective October 8, 2007 Gary Forsee is stepping down as the company's chairman, president and chief executive officer and is resigning from the Sprint Nextel Board of Directors effective immediately."
0000101830-07-000036,2,Sprint Nextel,chief executive officer,CEO,appointment,will serve as,"It also announced that Paul Saleh, current chief financial officer of Sprint Nextel, will serve as acting chief executive officer of Sprint Nextel until a permanent replacement for Mr. Forsee is named."
0000101830-07-000042,1,Sprint Nextel,director,director,election,elect,"On December 18, 2007, Sprint Nextel Corporation (""Sprint Nextel"") announced that Daniel R. Hesse, 54, has been elected as a director and appointed President and Chief Executive Officer of Sprint Nextel effective December 17, 2007 (the ""Effective Date"")."
0000101830-08-000006,1,Timothy E. Kelly,Chief Marketing Officer,other_exec,departure,will leave,"Sprint Nextel Corporation (""Sprint Nextel"") has announced that Paul N. Saleh, Chief Financial Officer, and Timothy E. Kelly, Chief Marketing Officer will leave the Company effective January 25, 2008, as more fully described in the press release filed as Exhibit 99.1, which is incorporated by reference herein."
0000101830-08-000006,2,Sprint Nextel,"Controller of Sprint Nextel, will serve as acting Chief Financial Officer",CFO,appointment,will serve as,"Sprint Nextel also announced that William G. Arendt, current Senior Vice President and Controller of Sprint Nextel, will serve as acting Chief Financial Officer of Sprint Nextel until a permanent replacement for Mr. Saleh is named."
0000101830-08-000006,3,William G. Arendt,Senior Vice President and Controller,PAO,appointment,appointed,"Mr. Arendt, age 50, was appointed Senior Vice President and Controller at the time of the Sprint-Nextel merger in August 2005."
0000101830-08-000008,1,Sprint Nextel,Board of Directors,director,departure,decided not to stand,"(b) On January 28, 2008, William H. Swanson sent a letter to James H. Hance, Jr., the Chairman of the Board of Directors of Sprint Nextel Corporation (""Sprint Nextel""), stating that, for personal reasons, he has decided not to stand for re-election at the next annual meeting of stockholders to be held May 13, 2008."
0000101830-08-000008,2,Sprint Nextel,director,director,election,elect,"(d) On February 11, 2008, the Board of Directors of Sprint Nextel appointed a new independent director, Ralph V. Whitworth."
0001193125-08-098764,1,Robert H. Brust,Chief Financial Officer,CFO,appointment,appointed,"(c) On May 1, 2008, Sprint Nextel Corporation (“Sprint Nextel”) announced that Robert H. Brust, 64, has been appointed as Chief Financial Officer of Sprint Nextel effective May 1, 2008."
0000101830-08-000026,1,Sprint Nextel,director,director,election,elect,"(d) On June 9, 2008, the Board of Directors of Sprint Nextel Corporation (""Sprint Nextel"") appointed a new independent director, William R. Nuti."
0000101830-08-000028,1,William Arendt,principal accounting officer,PAO,departure,succeeded by,"(b) On October 7, 2008, Sprint Nextel Corporation (""Sprint Nextel"") announced that William Arendt is being succeeded by Chris Gregoire as principal accounting officer effective October 2, 2008."
0000101830-08-000028,2,Christopher Gregoire,Vice President and Principal Accounting Officer,PAO,appointment,appointed,"(c) On October 7, 2008, Sprint Nextel announced that Christopher Gregoire, 39, has been appointed Vice President and Principal Accounting Officer of Sprint Nextel effective October 2, 2008."
0000101830-08-000030,1,Sprint Nextel,Board of Directors,director,departure,resign,"(b) On October 22, 2008, Ralph V. Whitworth sent a letter to James H. Hance, Jr., the Chairman of the Board of Directors of Sprint Nextel Corporation (""Sprint Nextel""), stating that, because of the need to turn his attention to other business matters, he has decided to resign from the Board of Directors effective October 23, 2008."
0000101830-08-000030,2,Sprint Nextel,director,director,election,elect,"(d) On October 23, 2008, the Board of Directors of Sprint Nextel appointed a new independent director, Sven-Christer Nilsson, with the appointment to be effective as of November 10, 2008."
0000950123-08-016627,1,Barry J. West,Chief Technology Officer and President,president,departure,stepped down,"(b) On November 28, 2008, Barry J. West stepped down from his position as Chief Technology Officer and President, Xohm Business Unit, of Sprint Nextel Corporation (“Sprint Nextel”)."
0000101830-09-000005,1,Christopher J. Gregoire,principal accounting officer of the Company effective March 3,PAO,departure,succeed/replace,"(b) On February 26, 2009, Sprint Nextel Corporation (the ""Company"") appointed Charles L. Hall, 59, to succeed Christopher J. Gregoire as principal accounting officer of the Company effective March 3, 2009."
0000101830-09-000005,2,Christopher J. Gregoire,Vice President and Assistant Controller,PAO,appointment,appointed,Mr. Gregoire has been appointed Vice President and Assistant Controller.
0000101830-09-000005,3,Charles L. Hall,Senior Vice President and Controller,PAO,appointment,appointed,"(c) On February 26, 2009, the Company appointed Charles L. Hall as Senior Vice President and Controller of the Company effective March 3, 2009."
0000101830-09-000005,4,Frank Ianna,director,director,election,elect,"(d) On February 26, 2009, the Board of Directors of the Company appointed a new independent director, Frank Ianna, with the appointment to be effective as of March 3, 2009."
0000101830-09-000014,1,Charles L. Hall,"Senior Vice President, Controller and Principal Accounting Officer",PAO,departure,resignation,"(b) On October 13, 2009, Charles L. Hall tendered his resignation to Sprint Nextel Corporation (""Sprint Nextel"") from his position as Senior Vice President, Controller and Principal Accounting Officer effective November 4, 2009."
0000101830-09-000016,1,Ryan H. Siurek,"Vice President, Controller",PAO,appointment,appointed,"(c) On November 6, 2009, Sprint Nextel Corporation (""Sprint Nextel"") announced that Ryan H. Siurek, 38, has been appointed as Vice President, Controller of Sprint Nextel effective November 6, 2009."
0000101830-10-000015,1,Daniel H. Schulman,President,president,departure,resignation,"On July 19, 2010, Daniel H. Schulman tendered his resignation to Sprint Nextel Corporation (“Sprint Nextel”) from his position as President - Prepaid effective August 23, 2010."
0000101830-11-000010,1,Daniel Schulman,named executive officer,other_exec,departure,resigned,"Daniel Schulman, who was a named executive officer of the Company in 2010, resigned on July 19, 2010 and is not eligible to participate."
0000101830-11-000010,2,Robert H. Brust,CFO,CFO,departure,retirement,"Long-Term Incentive Compensation Plan On February 23, 2011, the Compensation Committee of the Board of Directors of the Company established the terms, target opportunities and the 2011 performance objectives of the Company’s 2011 Long-Term Incentive Plan (the “2011 LTI Plan”) for officers and other eligible employees of the Company (except with respect to Mr. Brust, our CFO, who is not eligible for awards under the 2011 LTI Plan due to his pending retirement)."
0000101830-11-000010,3,Daniel Schulman,named executive officer,other_exec,departure,resigned,"Mr. Schulman, who was a named executive officer of the Company in 2010, resigned on July 19, 2010 and is not eligible to participate. ."
0000101830-11-000014,1,Joseph J. Euteneuer,Chief Financial Officer,CFO,appointment,appointed,"On April 4, 2011, Sprint Nextel Corporation (“Sprint”) announced that Joseph J. Euteneuer has been appointed as the company’s Chief Financial Officer effective April 4, 2011."
0000101830-11-000014,2,Robert H. Brust,Chief Financial Officer,CFO,departure,resign,"Mr. Euteneuer will succeed Robert H. Brust, who will resign as Chief Financial Officer on April 4, 2011."
0000101830-11-000014,3,Robert H. Brust,Chief Financial Officer,CFO,departure,succeed/replace,"Mr. Euteneuer will succeed Robert H. Brust, who will resign as Chief Financial Officer on April 4, 2011."
0000101830-11-000032,1,Robert L. Johnson,"Chief Service Officer, as its new Chief Service and Information Technology Officer",other_exec,appointment,appointed,"(e) On August 1, 2011, the Board of Directors of Sprint Nextel Corporation (the “Company”) appointed Robert L. Johnson, Chief Service Officer, as its new Chief Service and Information Technology Officer, effective August 1, 2011."
0000101830-12-000024,1,Robert H. Brust,named executive officer,other_exec,departure,left the Company,"Robert H. Brust, who was a named executive officer of the Company in 2011, left the Company on April 30, 2011 and is not eligible to participate."
0000101830-12-000024,2,Robert H. Brust,named executive officer,other_exec,departure,left the Company,"Robert H. Brust, who was a named executive officer of the Company in 2011, left the Company on April 30, 2011 and is not eligible to participate."
0000101830-13-000041,1,Sara Martinez Tucker,director,director,election,elect,"(d) On September 2, 2013, the Vacancy Resolution Committee of the Board of Directors (the “Board”) of the Company appointed a new director, Sara Martinez Tucker."
0000101830-13-000041,2,Sara Martinez Tucker,director,director,election,elect,There are no arrangements or understandings between Ms. Tucker and any other persons pursuant to which Ms. Tucker was appointed as a director.
0000101830-13-000041,3,Sara Martinez Tucker,director,director,election,elect,"After such evaluation, Ms. Tucker is expected to be appointed to the Audit Committee and the Nominating and Corporate Governance Committee of the Board."
0000101830-13-000053,1,Roaming Planning,"Vice President, Controller",PAO,appointment,appointed,"On December 17, 2013, Paul W. Schieber, Jr., Vice President, Access and Roaming Planning of Sprint Corporation (""Sprint""), was appointed Vice President, Controller."
0000101830-13-000053,2,Mr. Schieber,principal accounting officer,PAO,appointment,appointment,"As a result of this appointment, Mr. Schieber is now Sprint’s principal accounting officer and Ryan H. Siurek, formerly Sprint’s principal accounting officer, will serve as Sprint’s Vice President, Finance - Enterprise Solutions."
0000101830-13-000053,3,Mr. Schieber,director in Sprint’s Tax department and a director,director,departure,depart,He was also a director in Sprint’s Tax department and a director on its Mergers and Acquisitions team.
0000101830-14-000002,1,,director,director,election,elect,"On January 13, 2014, the Vacancy Resolution Committee of the Board of Directors (the “ Board ”) of Sprint Corporation (the “ Company ” or “ Sprint ”) appointed a new director, Marcelo Claure."
0000101830-14-000021,1,Steven L. Elfman,President,president,departure,retire,"On March 6, 2014, Steven L. Elfman, President - Network, Technology and Operations, of Sprint Corporation (the “Company”) announced changes in his organization as he expects to retire from the Company around the beginning of 2015 consistent with his agreement to remain with the Company through at least January 2, 2015 as described in his amended employment agreement, dated September 10, 2013."
0000101830-14-000049,1,Steven L. Elfman,President,president,departure,retirement,"Mr. Elfman has announced his retirement effective August 16, 2014."
0001193125-14-297076,1,Marcelo Claure,President and Chief Executive Officer (“CEO,CEO,appointment,named,"Management Transition On August 5, 2014, the Board of Directors of Sprint Corporation (the “Company”) named Marcelo Claure as the Company’s next President and Chief Executive Officer (“CEO”), effective as of August 11, 2014."
0001193125-14-297076,2,Daniel R. Hesse,"President and CEO, and as a member of the Board of Directors",CEO,departure,step down,"Mr. Claure will succeed Daniel R. Hesse, who will step down from his positions as the Company’s President and CEO, and as a member of the Board of Directors, effective as of August 11, 2014."
0001193125-14-297076,3,Daniel R. Hesse,"President and CEO, and as a member of the Board of Directors",CEO,departure,succeed/replace,"Mr. Claure will succeed Daniel R. Hesse, who will step down from his positions as the Company’s President and CEO, and as a member of the Board of Directors, effective as of August 11, 2014."
0001193125-14-297076,4,Daniel R. Hesse,President,president,departure,resignation,"A copy of the press release issued by the Company on August 6, 2014 announcing the resignation of Mr. Hesse and the appointment of Mr. Claure is filed as Exhibit 99.1 hereto and is incorporated herein by reference."
0001193125-14-297076,5,Marcelo Claure,President and CEO,CEO,appointment,will serve as,"Employment Agreement On August 5, 2014, the Company and Mr. Claure entered into a new employment agreement (the “Agreement”), under which Mr. Claure will serve as the Company’s President and CEO, effective as of August 11, 2014 (the “Effective Date”)."
0001193125-14-297076,6,Marcelo Claure,executive officer,other_exec,departure,terminates his employment,"If, not in connection with a change in control of the Company, the Company provides notice of non-renewal of the employment term and Mr. Claure’s employment under the Agreement terminates upon the resulting expiration of the employment term, Mr. Claure’s employment under the Agreement is terminated by the Company without cause (as defined in the Agreement), or Mr. Claure terminates his employment under the Agreement with good reason (as defined in the Agreement), Mr. Claure will be entitled to r"
0001193125-14-297076,7,Marcelo Claure,executive officer,other_exec,departure,resignation,"Mr. Claure was the founder of Brightstar, and, until his resignation is effective as of August 11, 2014, is the Chairman and CEO of Brightstar."
0000101830-14-000079,1,,director,director,election,elect,"On November 4, 2014, the Vacancy Resolution Committee of the Board of Directors (the “Board”) of Sprint Corporation (the “Company” or “Sprint”) appointed Nikesh Arora as a new director of the Board."
0000101830-14-000079,2,Nikesh Arora,director,director,election,elect,"Mr. Arora is Vice Chairman of the board of directors of SoftBank Corp. and Chief Executive Officer of SoftBank Internet and Media, Inc. He was appointed to serve as a member of the Finance Committee of the Board."
0000101830-14-000081,1,Overland Park,"President, Retail, Chief Service and IT Officer",president,departure,termination of employment,"The Committee also approved an interim living allowance of $50,000 per year, on a tax protected basis and payable monthly, for Robert L. Johnson, the Company’s Chief Experience Officer (formerly our President, Retail, Chief Service and IT Officer) up until he relocates to the Overland Park area or his earlier termination of employment."
0000101830-14-000081,2,Robert L. Johnson,Chief Experience Officer,other_exec,departure,resign,"The Committee further approved Mr. Johnson’s ability, conditioned on his continued employment through December, 2017 and his waiver of any 2017 long-term incentive compensation award, to resign effective January 2018 with 30 days’ written notice and receive the severance benefits provided under his employment agreement, dated December 31, 2008."
0001193125-15-275046,1,Joseph Euteneuer,Chief Financial Officer,CFO,departure,will leave,"Joseph Euteneuer, our current Chief Financial Officer, will leave Sprint following the orderly transition of responsibilities."
0000101830-15-000030,1,Michael Schwartz,Senior Vice President,other_exec,departure,Resignation,"Resignation On October 9, 2015, Michael Schwartz, Senior Vice President, Corporate Strategy and Development of Sprint Corporation (the “ Company ”) informed the Company of his decision to resign from the Company effective as of November 6, 2015."
0000101830-16-000070,1,Nikesh Arora,director,director,departure,resign,"On June 22, 2016, Nikesh Arora notified Sprint Corporation (the “Company”) that he will resign as a director of the Company effective immediately."
0000101830-16-000094,1,,director,director,election,elect,"(d) On December 1, 2016, the Vacancy Resolution Committee of the Board of Directors (the “Board”) of Sprint Corporation (the “Company”) appointed a new director, Patrick Doyle."
0000101830-16-000094,2,Patrick Doyle,director,director,election,elect,There are no arrangements or understandings between Mr. Doyle and any other persons pursuant to which Mr. Doyle was appointed as a director.
0000101830-16-000094,3,Patrick Doyle,director,director,election,elect,"After such evaluation, Mr. Doyle is expected to be appointed as the Chairman of the Audit Committee of the Board."
