breach_date,reported_date,org_name,n_source_records,prc_source_types,prc_source_first_record,n_8k_in_window,incident_8k_accession,days_8k_minus_reported,in_q2_scope,cik_vintage
2018-08-20,2018-08-23,T-Mobile USA Inc.,1,state AG,"The Wisconsin Department of Justice reported that T-Mobile USA Inc. experienced a data breach on August 20, 2018, potentially affecting an unknown number of individuals, including Wisconsin residents. The compromised inf",1,,,1,T-Mobile US
2019-11-26,2020-03-02,T-Mobile USA,3,state AG,"The Montana Department of Justice reported a data breach involving T-Mobile USA on March 10, 2020. The breach occurred between November 26, 2019 and December 25, 2019, involving unauthorized access to T-Mobile employee e",11,,,1,T-Mobile US
2020-04-02,2020-04-02,Sprint,1,other,"On April 2, 2020, the Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving Sprint, affecting 3 residents. The breach potentially compromised electronic records, specifically d",12,,,1,T-Mobile US
2020-04-15,2020-04-15,Sprint,1,other,"The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving Sprint on April 15, 2020, affecting 6 residents. The breach involved the compromise of electronic records, including a",12,,,1,T-Mobile US
2020-08-27,2020-12-08,"T-Mobile US, Inc.",2,state AG,"The New Hampshire Department of Justice reported on December 8, 2020, that T-Mobile experienced a data breach affecting the personal information of seven New Hampshire residents. The breach occurred between August 27, 20",2,,,1,T-Mobile US
2020-08-31,2020-10-09,T-Mobile,1,state AG,"The Indiana Office of the Attorney General reported a data breach involving T-Mobile on October 9, 2020. The breach occurred on August 31, 2020, affecting 2 residents. The total number of individuals affected is unknown.",6,,,1,T-Mobile US
2021-01-18,2021-02-09,T-Mobile,2,state AG,"The Indiana Office of the Attorney General reported a data breach involving T-Mobile on February 9, 2021. The breach occurred on January 18, 2021, affecting a total of 421 individuals, including 6 residents.",5,,,1,T-Mobile US
2021-02-12,2021-03-16,"T-Mobile USA, Inc.",1,state AG,"On March 16, 2021, the New Hampshire Office of the Attorney General reported a data breach involving T-Mobile USA, Inc. The breach occurred on February 12, 2021, when a T-Mobile representative accessed the personal infor",5,,,1,T-Mobile US
2021-02-20,2021-03-31,T-Mobile,1,state AG,"The Indiana Office of the Attorney General reported a data breach involving T-Mobile on March 31, 2021. The breach occurred on February 20, 2021, affecting a total of 65 individuals, including 1 resident.",5,,,1,T-Mobile US
2021-03-01,2021-08-16,"T-Mobile USA, Inc.",1,state AG,"The California Office of the Attorney General reported on August 25, 2021, that T-Mobile USA experienced a data breach on July 22, 2021, involving the unauthorized access of personal customer information. The breach pote",6,0001193125-21-248002,0,1,T-Mobile US
2021-03-31,2021-03-31,T-Mobile,1,other,"The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving T-Mobile on March 31, 2021. The breach affected 1 resident and compromised electronic records, specifically drivers' l",5,,,1,T-Mobile US
2021-08-13,2021-08-16,"T-Mobile USA, Inc.",1,state AG,"The Wisconsin Department of Justice reported that T-Mobile USA, Inc. experienced a data breach on August 13, 2021, affecting approximately 53.7 million individuals, including current, former, and prospective customers. C",6,0001193125-21-248002,0,1,T-Mobile US
2021-08-17,2021-08-19,T-Mobile USA,2,state AG,"The Maryland Office of the Attorney General reported a data breach involving T-Mobile USA on August 19, 2021. The breach was discovered on August 17, 2021, involving unauthorized access to unencrypted personal informatio",7,0001193125-21-248002,-3,1,T-Mobile US
2021-08-26,2021-08-26,T-Mobile USA,1,other,"On August 26, 2021, the Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving T-Mobile USA, affecting 1,044,774 residents. The breach involved the exposure of electronic record",7,0001193125-21-248002,-10,1,T-Mobile US
2022-03-08,2022-03-08,T-Mobile,1,other,"On March 8, 2022, the Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving T-Mobile that affected 1 resident. The breach involved compromised paper records, specifically credi",0,,,1,T-Mobile US
2022-11-25,2023-01-19,T-Mobile USA,3,state AG,"The Wisconsin Department of Justice reported a data breach affecting T-Mobile on January 19, 2023. The breach occurred on November 25, 2022, affecting a total of 37 million individuals, with specific details about reside",6,0001193125-23-010949,0,1,T-Mobile US
2023-02-01,2023-04-28,"T-Mobile USA, Inc.",3,state AG,"The Maryland Office of the Attorney General reported on April 28, 2023, that T-Mobile USA, Inc. experienced unauthorized access to customer accounts between late February and March 2023, affecting 16 Maryland residents o",3,,,1,T-Mobile US
2023-02-24,2023-04-28,T-Mobile,1,state AG,"The Indiana Office of the Attorney General reported that T-Mobile experienced a data breach on February 24, 2023, affecting a total of 836 individuals, of which 7 were residents of Indiana. The report was made on April 2",3,,,1,T-Mobile US
2023-04-28,2023-04-28,T-Mobile USA,1,other,"The Massachusetts Office of Consumer Affairs and Business Regulation reported on April 28, 2023, that T-Mobile USA experienced a data breach affecting 17 residents. The breach involved electronic records, specifically So",3,,,1,T-Mobile US
