final_cik,breach_date,org_name,treated,outcome_cik,win_lo,win_hi
1652044,2008-06-27,"Google, Inc.",0,1288776,2006-06-28,2008-12-24
1319161,2020-08-05,Warner Music Group,0,1319161,2018-08-06,2021-03-03
1319161,2020-09-09,Warner Music Group,0,1319161,2018-09-10,2021-03-08
1326160,2014-03-24,Duke Energy Corporation,0,1326160,2012-03-24,2014-10-07
1326160,2017-11-10,Duke Energy,0,1326160,2015-11-11,2018-05-09
1326160,2021-05-28,Duke Energy Corporation,0,1326160,2019-05-29,2022-02-02
1326801,2013-11-24,Facebook,0,1326801,2011-11-25,2014-06-01
1326801,2018-03-01,Facebook,0,1326801,2016-03-01,2018-09-13
1326801,2018-09-01,Facebook,0,1326801,2016-09-01,2019-03-27
1341439,2013-07-10,Oracle Corporation,0,1341439,2011-07-11,2014-01-27
1373715,2024-05-14,ServiceNow Inc.,0,1373715,2022-05-15,2024-11-10
1387467,2022-02-22,Alpha & Omega Semiconductor,0,1387467,2020-02-23,2023-01-17
1113169,2007-12-24,"T. Rowe Price Retirement Plan Services, Inc.",0,1113169,2005-12-24,2008-07-21
1113169,2023-05-29,"T. Rowe Price Retirement Plan Services, Inc.",0,1113169,2021-05-29,2024-01-23
1397911,2018-07-10,LPL Financial LLC,0,1397911,2016-07-10,2019-09-08
1428439,2023-12-01,Roku Inc.,0,1428439,2021-12-01,2024-09-04
1428439,2023-12-28,Roku Inc,0,1428439,2021-12-28,2024-06-25
1428439,2024-02-29,"Roku, Inc.",0,1428439,2022-03-01,2024-08-27
1447669,2022-08-04,Twilio,1,1447669,2020-08-04,2023-01-31
1447669,2024-04-01,Twilio,1,1447669,2022-04-02,2024-09-28
1400891,2024-12-24,"iHeartMedia + Entertainment, Inc.",0,1400891,2022-12-25,2025-10-08
1472787,2023-12-18,First American Financial Corporation,0,1472787,2021-12-18,2024-12-04
728535,2020-08-01,"J.B. Hunt Transport, Inc.",0,728535,2018-08-02,2022-04-18
728535,2020-08-17,"J.B. Hunt Transport, Inc.",0,728535,2018-08-18,2022-04-18
1501585,2022-03-01,"Huntington Ingalls Industries, Inc.",0,1501585,2020-03-01,2023-10-15
1510295,2018-11-28,Marathon Petroleum Company LP,0,1510295,2016-11-28,2019-10-05
1512673,2016-02-01,"Block and Company, Inc.",0,1512673,2014-02-01,2016-09-27
1512673,2016-02-09,"Block and Company, Inc.",0,1512673,2014-02-09,2016-09-27
1512673,2016-03-21,"Block and Company, Inc.",0,1512673,2014-03-22,2016-11-09
1512673,2023-01-12,Block Inc,0,1512673,2021-01-12,2024-03-20
1535527,2022-04-01,"CrowdStrike Holdings, Inc.",0,1535527,2020-04-01,2022-11-11
1535527,2024-07-19,CrowdStrike Holdings Inc.,0,1535527,2022-07-20,2025-01-15
1543151,2019-10-28,"Uber Technologies, Inc.",0,1543151,2017-10-28,2020-04-25
1543151,2023-01-23,"Uber Technologies, Inc.",0,1543151,2021-01-23,2023-09-26
1543151,2023-03-31,"Uber Technologies, Inc.",0,1543151,2021-03-31,2023-09-27
1543151,2024-08-23,"Uber Technologies, Inc.",0,1543151,2022-08-24,2025-02-19
1553023,2017-10-18,"CyrusOne, Inc.",0,1553023,2015-10-19,2018-07-07
1564408,2022-03-01,Snap Inc.,0,1564408,2020-03-01,2023-03-07
1590895,2023-08-23,"Caesars Entertainment, Inc.",0,1590895,2021-08-23,2024-04-03
1609711,2019-10-16,GoDaddy.com LLC,1,1609711,2017-10-16,2023-11-13
1609711,2021-09-06,"GoDaddy.com, LLC",1,1609711,2019-09-07,2022-05-06
1609711,2022-03-14,"GoDaddy.com, LLC",1,1609711,2020-03-14,2022-11-28
1632127,2019-03-01,"Cable One, Inc.",1,1632127,2017-03-01,2020-02-04
1632127,2019-08-08,"Cable One, Inc.",1,1632127,2017-08-08,2020-02-04
1640147,2024-03-01,Snowflake Inc.,0,1640147,2022-03-02,2024-08-28
1640147,2024-04-14,Snowflake Inc.,0,1640147,2022-04-15,2024-11-19
1645590,2023-12-12,Hewlett Packard Enterprise Company,0,1645590,2021-12-12,2025-08-04
1647088,2020-11-10,WillScot Mobile Mini Holdings Corp.,0,1647088,2018-11-11,2021-05-19
1652044,2016-03-29,Google Inc.,0,1652044,2014-03-30,2016-11-02
1652044,2016-05-06,Google Inc.,0,1652044,2014-05-07,2016-11-02
1652044,2016-08-10,Google Inc.,0,1652044,2014-08-11,2017-12-26
1652044,2017-06-29,"Google, Inc.",0,1652044,2015-06-30,2017-12-26
1660134,2023-09-23,"Okta, Inc.",0,1660134,2021-09-23,2024-04-29
1660134,2023-11-02,Okta Inc,0,1660134,2021-11-02,2024-04-30
1660134,2023-11-07,"Okta, Inc.",0,1660134,2021-11-07,2024-05-05
1669779,2022-01-14,CWGS Group,0,1669779,2020-01-15,2023-05-02
1702780,2019-11-04,"Altice USA, Inc.",1,1702780,2017-11-04,2020-08-04
1702780,2024-02-29,Altice USA,1,1702780,2022-03-01,2024-08-27
1713683,2018-09-01,"Zscaler, Inc.",0,1713683,2016-09-01,2019-04-08
315293,2020-12-29,Aon Corporation PLC,0,315293,2018-12-30,2022-11-27
315293,2022-02-25,Aon PLC,0,315293,2020-02-26,2022-12-10
718877,2012-08-01,"Activision Publishing, Inc.",0,718877,2010-08-02,2013-02-05
718877,2022-12-02,"Activision Publishing, Inc.",0,718877,2020-12-02,2023-08-19
1889539,2023-05-29,"Corebridge Financial, Inc.",0,1889539,2021-05-29,2024-01-21
