parent_cik,legal_name,FRN,start,end,type,usf,holding,evidence_named,end_before_start,events_in_sample,event_span
732717,"SNET Diversified Group, Inc.",0007586423,1997-01-01,2013-12-31,Other Local,No,AT&T INC,,,24,2008-05-23..2024-04-14
101830,Sprint/United Telephone Company of Eastern Kansas,0002595247,1997-01-01,1997-01-01,Incumbent Local Exchange Carrier,No,Sprint Corporation,,,9,2009-02-01..2019-06-22
101830,Sprint/United Tel. Co. of Kansas,0002342038,1997-01-01,1997-01-01,Incumbent Local Exchange Carrier,No,Sprint Corporation,,,9,2009-02-01..2019-06-22
101830,Sprint/United Telephone Company of South Central Kansas,0005051743,1997-01-01,1997-01-01,Incumbent Local Exchange Carrier,No,Sprint Corporation,,,9,2009-02-01..2019-06-22
101830,"Sprint - Missouri, Inc",0002337244,1997-01-01,1997-01-01,Incumbent Local Exchange Carrier,No,Sprint Corporation,,,9,2009-02-01..2019-06-22
101830,Sprint/United Telephone Company of the West,0002391639,1997-01-01,1997-01-01,Incumbent Local Exchange Carrier,No,Sprint Corporation,,,9,2009-02-01..2019-06-22
101830,"Sprint/United Telephone Company of Texas, Inc.",0005051768,1997-01-01,1997-01-01,Incumbent Local Exchange Carrier,No,Sprint Corporation,,,9,2009-02-01..2019-06-22
101830,"Sprint- Minnesota, Inc.",0002643435,1997-01-01,1997-01-01,Incumbent Local Exchange Carrier,No,Sprint Corporation,,,9,2009-02-01..2019-06-22
101830,Sprint/Central Telephone Company of Texas,0001685148,1997-01-01,1997-01-01,Incumbent Local Exchange Carrier,No,Sprint Corporation,,,9,2009-02-01..2019-06-22
18926,"CenturyTel of Fairwater-Brandon-Alto, Inc.",0004085080,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
101830,Sprint/Central Tel. Co. - Nevada,0002382570,1997-01-01,1997-01-01,Incumbent Local Exchange Carrier,No,Sprint Corporation,,,9,2009-02-01..2019-06-22
1632127,"Hargray Telephone Company, LLC",0001886704,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Cable One, Inc.",,,2,2019-03-01..2019-08-08
732712,Verizon Wireless fka Cellco Partnership,0003290673,1997-01-01,2003-02-03,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,NYNEX Long Distance Company,0004342580,1997-01-01,2014-11-12,Toll Reseller,No,VERIZON COMMUNICATIONS INC,,,10,2008-06-27..2024-02-06
732712,Verizon Hawaii International Inc.,0004374443,1997-01-01,2021-09-30,Private Service Provider,No,VERIZON COMMUNICATIONS INC,,,10,2008-06-27..2024-02-06
732712,"GTE Pacifica, Inc.",0004339933,1997-01-01,open,Interexchange Carrier (IXC),Yes,PACIFIC TELECOM INC,,,10,2008-06-27..2024-02-06
20520,Frontier Communications Northwest Inc,0001583244,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,Northwest Fiber LLC,,,4,2022-02-24..2024-06-10
20520,Frontier Communications West Coast Inc.,0001583228,1997-01-01,2013-07-01,Incumbent Local Exchange Carrier,No,FRONTIER COMMUNICATIONS CORPORATION,,,4,2022-02-24..2024-06-10
732712,Frontier Communications West Coast Inc.,0001583228,1997-01-01,2013-07-01,Incumbent Local Exchange Carrier,No,FRONTIER COMMUNICATIONS CORPORATION,,,10,2008-06-27..2024-02-06
732712,"Verizon South, Inc.",0001962588,1997-01-01,2021-09-30,Incumbent Local Exchange Carrier,No,VERIZON COMMUNICATIONS INC,,,10,2008-06-27..2024-02-06
20520,"Citizens Telecommunications Co. of Tennessee, LLC",0003573391,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,"Frontier Communications of America, Inc.",0005042080,1997-01-01,open,Interexchange Carrier (IXC),Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,CITIZENS TELECOMMUNICATIONS COMPANY OF UTAH,0003574506,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,CITIZENS TELECOMMUNICATIONS COMPANY OF NEW YORK INC,0003574548,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,Citizens Telecommunications Co. of Idaho,0003574589,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,Northwest Fiber LLC,,,4,2022-02-24..2024-06-10
20520,Citizens Telecommunications Co. of Montana,0003574563,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,Northwest Fiber LLC,,,4,2022-02-24..2024-06-10
20520,CITIZENS TELECOMMUNICATIONS COMPANY OF THE WHITE MOUNTAINS INC,0003572617,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
18926,"CenturyTel of the Northwest Arkansas, LLC",0004547295,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
732712,Verizon Midwest,0004191789,1997-01-01,2002-09-01,Incumbent Local Exchange Carrier,No,"Verizon Communications, Inc.",,,10,2008-06-27..2024-02-06
18926,"CenturyTel of Port Aransas, Inc.",0001685429,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Claiborne, Inc.",0001772482,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Central Louisiana, Inc.",0001673359,1997-01-01,2017-01-01,Incumbent Local Exchange Carrier,No,CenturyLink Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Mountain Home, Inc.",0001732338,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of North Mississippi, Inc.",0001743541,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Arkansas, Inc.",0001730886,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of North Louisiana, Inc.",0001710011,1997-01-01,2017-01-01,Incumbent Local Exchange Carrier,No,CenturyLink Inc.,,,5,2013-12-27..2022-03-15
18926,CenturyTel of East Louisiana,0001710979,1997-01-01,2017-01-01,Incumbent Local Exchange Carrier,No,CenturyLink Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of South Arkansas, Inc.",0004312153,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Southeast Louisiana, Inc",0004303004,1997-01-01,2017-01-01,Incumbent Local Exchange Carrier,No,CenturyLink Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Evangeline, Inc.",0005786223,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,CenturyTel of Southwest Louisiana,0004312161,1997-01-01,2017-01-01,Incumbent Local Exchange Carrier,No,CenturyLink Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Odon, Inc.",0001748466,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Central Indiana, Inc.",0003936952,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Northwest Louisiana, Inc.",0004312195,1997-01-01,2017-01-01,Incumbent Local Exchange Carrier,No,CenturyLink Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel Midwest-Michigan, Inc.",0002767283,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Wisconsin, LLC",0002390326,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Chester, Inc.",0004312203,1997-01-01,open,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Idaho, Inc.",0002648368,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Adamsville, Inc.",0001773811,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Redfield, Inc.",0004312211,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Michigan, Inc.",0002774487,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Forestville, Inc.",0004085098,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Larsen-Redfield, Inc.",0004547071,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Monroe County, Inc.",0004547055,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Northwest Wisconsin, Inc.",0004547022,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Colorado, Inc.",0002715902,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Northern Wisconsin, Inc.",0004547048,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Ooltewah - Collegedale, Inc.",0001768449,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Ohio, Inc.",0002853711,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Chatham, LLC.",0004312237,1997-01-01,2017-01-01,Incumbent Local Exchange Carrier,No,CenturyLink Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of San Marcos, Inc",0001712751,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"CenturyTel of Northern Michigan, Inc.",0004312245,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
732717,"Northeast Mississippi Cellular, LLC",0001835917,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,"Cingular Wireless, LLC",,,24,2008-05-23..2024-04-14
732717,"BellSouth Mobility, LLC",0001844349,1997-01-01,2002-08-01,Cellular/PCS/SMR,No,"Cingular Wireless, LLC",,,24,2008-05-23..2024-04-14
732717,"BellSouth Long Distance, Inc.",0003733318,1997-01-01,open,Interexchange Carrier (IXC),Yes,"AT&T, Inc.",,,24,2008-05-23..2024-04-14
732717,Huntsville MSA Limited Partnership,0001840719,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,"Cingular Wireless, LLC",,,24,2008-05-23..2024-04-14
732717,Chattanooga MSA Ltd. Partnership,0001842723,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,"Cingular Wireless, LLC",,,24,2008-05-23..2024-04-14
732717,Decatur RSA Ltd. Partnership,0003765682,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,"Cingular Wireless, LLC",,,24,2008-05-23..2024-04-14
732717,Georgia RSA No. 2 Ltd. Partnership,0001837715,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,"Cingular Wireless, LLC",,,24,2008-05-23..2024-04-14
732717,Georgia RSA No. 3 Ltd. Partnership,0001836998,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,"Cingular Wireless, LLC",,,24,2008-05-23..2024-04-14
732717,Acadiana Cellular General Partnership,0001837814,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,"Cingular Wireless, LLC",,,24,2008-05-23..2024-04-14
732717,"M-T Cellular, LLC",0001767557,1997-01-01,2002-01-24,Cellular/PCS/SMR,No,"Cingular Wireless, LLC",,,24,2008-05-23..2024-04-14
732717,"Nevada Bell Telephone Company, LLC",0001552173,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"AT&T, Inc.",,,24,2008-05-23..2024-04-14
101830,"COGENT COMMUNICATIONS, INC",0019898303,1997-01-01,2023-05-01,Private Service Provider,No,"Cogent Communications, Inc.",,,9,2009-02-01..2019-06-22
101830,"US Telecom, Inc.",0014848477,1997-01-01,2020-12-30,Toll Reseller,No,"T-MOBILE USA, INC.",,,9,2009-02-01..2019-06-22
1283699,"US Telecom, Inc.",0014848477,1997-01-01,2020-12-30,Toll Reseller,No,"T-MOBILE USA, INC.",,,26,2014-01-02..2023-04-28
101830,Sprint International Communications Company,0004372876,1997-01-01,2002-01-01,Interexchange Carrier (IXC),No,Sprint Corporation,,,9,2009-02-01..2019-06-22
18926,"CenturyTel of Ringgold, LLC.",0004312252,1997-01-01,2017-01-01,Incumbent Local Exchange Carrier,No,CenturyLink Inc.,,,5,2013-12-27..2022-03-15
732712,"Verizon Wireless (VAW) Services, LLC fka Vodaphone AirTouch Licenses, LLC",0003800307,1997-01-01,2003-04-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Boise City MSA Limited Partnership,0001574409,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Colorado RSA No. 3 Limited Partnership,0001572403,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Des Moines MSA General Partnership,0005005491,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Duluth MSA Limited Partnership,0001574425,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Idaho RSA No. 1 Limited Partnership,0001572361,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Idaho RSA No. 2 Limited Partnership,0001572346,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Idaho RSA 3 Limited Partnership,0001837137,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Iowa RSA No. 10 General Partnership,0001572312,1997-01-01,2012-01-01,Cellular/PCS/SMR,No,,,,10,2008-06-27..2024-02-06
732712,Iowa RSA 7 Limited Partnership,0001572445,1997-01-01,2012-07-01,Cellular/PCS/SMR,No,,,,10,2008-06-27..2024-02-06
732712,North Dakota RSA No. 3 Limited Partnership,0001572429,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Olympia Cellular Limited Partnership,0001574367,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Omaha Cellular Telephone Company,0005005533,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Seattle SMSA Limited Partnership,0001581305,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Spokane MSA Limited Partnership,0001578749,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,"Coconino, Arizona RSA Limited Partnership",0003819521,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Wasatch Utah RSA No. 2 Limited Partnership,0001572387,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,"Yuma, Arizona RSA Limited Partnership",0001837194,1997-01-01,2001-06-15,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Grays Harbor-Mason Limited Partnership,0001572320,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
20520,Citizens Telecommunications Co. of West Virginia,0004054938,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,Citizens Telecommunications Co. of Tuolumne,0003573706,1997-01-01,2009-01-01,Incumbent Local Exchange Carrier,No,Frontier Communications Corporation,,,4,2022-02-24..2024-06-10
20520,CITIZENS TELECOMMUNICATIONS COMPANY OF NEVADA,0001596881,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
20520,"Citizens Telecommunications Co. of Golden State, Inc",0003573417,1997-01-01,2009-01-01,Incumbent Local Exchange Carrier,No,Citizens Communications Company,,,4,2022-02-24..2024-06-10
20520,Citizens Telecommunications Company of Oregon,0003574522,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,Northwest Fiber LLC,,,4,2022-02-24..2024-06-10
20520,"Citizens Telecomm Company of the Volunteer State, LLC",0004260568,1997-01-01,2018-01-01,Incumbent Local Exchange Carrier,No,Frontier Commnunications Corporation,,,4,2022-02-24..2024-06-10
732712,"Sioux Falls Cellular, LP",0003770849,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,"Bismarck MSA, LP",0001606532,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Eastern South Dakota Cellular (South Dakota RSA No. 9),0001608116,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,North Central RSA 2 Limited Partnership,0001608280,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Colorado 4 - Park Limited Partnership,0001608132,2001-07-01,2001-07-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,"Platte River Cellular of Colorado, LP",0001608249,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,"Smokey Hill Cellular of Colorado, LP",0001608223,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Colorado 7 - Saguache Limited Partnership,0003770286,1997-01-01,2023-10-11,Cellular/PCS/SMR,No,Verizon Communications,,,10,2008-06-27..2024-02-06
732712,Two Buttes Cellular of Colorado Limited Partnership,0003770328,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,San Isabel Cellular of Colorado Limited Partnership,0001608199,1997-01-01,2023-10-11,Cellular/PCS/SMR,No,,,,10,2008-06-27..2024-02-06
732712,Idaho 6 - Clark Limited Partnership,0001607886,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Iowa 8 - Monona Limited Partnership,0001608009,1997-01-01,2012-07-01,Cellular/PCS/SMR,No,,,,10,2008-06-27..2024-02-06
732712,South Dakota 8 - Kingsbury Limited Partnership,0001608090,2001-07-01,2001-07-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,South Dakota 7 - Sully Limited Partnership,0001608074,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Cellular Inc. Network Corporation,0001607795,1997-01-01,2003-02-03,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Gold Creek Cellular,0001627702,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,"Northwest Dakota Cellular of North Dakota, Ltd. Partnership",0001608306,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Badlands Cellular of North Dakota,0001608264,1997-01-01,open,Cellular/PCS/SMR,Yes,,,,10,2008-06-27..2024-02-06
732712,Northern New Mexico LP (New Mexico RSA No. 1),0001604966,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Wyoming 1 - Park Limited Partnership,0001608157,1997-01-01,2012-07-01,Cellular/PCS/SMR,No,,,,10,2008-06-27..2024-02-06
732712,North Dakota 5 - Kidder Limited Partnership,0001607985,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Utah RSA 6 Limited Partnership,0001607241,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,Sioux City MSA Limited Partnership,0001609411,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
