key,value,source_file,source_field
"ledger / Outcome-data requirement (>=1 8-K in [t0-730d, t0+180d], outcome CIK) / N",412,e_ledger.csv,"row 'Outcome-data requirement (>=1 8-K in [t0-730d, t0+180d], outcome CIK)', N"
"ledger / Outcome-data requirement (>=1 8-K in [t0-730d, t0+180d], outcome CIK) / treated",109,e_ledger.csv,"row 'Outcome-data requirement (>=1 8-K in [t0-730d, t0+180d], outcome CIK)', treated"
"ledger / Outcome-data requirement (>=1 8-K in [t0-730d, t0+180d], outcome CIK) / control",303,e_ledger.csv,"row 'Outcome-data requirement (>=1 8-K in [t0-730d, t0+180d], outcome CIK)', control"
"ledger / Outcome-data requirement (>=1 8-K in [t0-730d, t0+180d], outcome CIK) / treated parent CIKs",13,e_ledger.csv,"row 'Outcome-data requirement (>=1 8-K in [t0-730d, t0+180d], outcome CIK)', treated_parent_ciks"
"ledger / Outcome-data requirement (>=1 8-K in [t0-730d, t0+180d], outcome CIK) / treated corporate families",12,e_ledger.csv,"row 'Outcome-data requirement (>=1 8-K in [t0-730d, t0+180d], outcome CIK)', treated_corporate_families"
"ledger / Outcome-data requirement (>=1 8-K in [t0-730d, t0+180d], outcome CIK) / pre-rule treated",0,e_ledger.csv,"row 'Outcome-data requirement (>=1 8-K in [t0-730d, t0+180d], outcome CIK)', pre_rule_treated"
"ledger / Outcome-data requirement (>=1 8-K in [t0-730d, t0+180d], outcome CIK) / pre-rule control",7,e_ledger.csv,"row 'Outcome-data requirement (>=1 8-K in [t0-730d, t0+180d], outcome CIK)', pre_rule_control"
ledger / Prior 12-month market-adjusted return available (>=150 daily returns) / N,405,e_ledger.csv,"row 'Prior 12-month market-adjusted return available (>=150 daily returns)', N"
ledger / Prior 12-month market-adjusted return available (>=150 daily returns) / treated,109,e_ledger.csv,"row 'Prior 12-month market-adjusted return available (>=150 daily returns)', treated"
ledger / Prior 12-month market-adjusted return available (>=150 daily returns) / control,296,e_ledger.csv,"row 'Prior 12-month market-adjusted return available (>=150 daily returns)', control"
ledger / Prior 12-month market-adjusted return available (>=150 daily returns) / treated parent CIKs,13,e_ledger.csv,"row 'Prior 12-month market-adjusted return available (>=150 daily returns)', treated_parent_ciks"
ledger / Prior 12-month market-adjusted return available (>=150 daily returns) / treated corporate families,12,e_ledger.csv,"row 'Prior 12-month market-adjusted return available (>=150 daily returns)', treated_corporate_families"
ledger / Prior 12-month market-adjusted return available (>=150 daily returns) / pre-rule treated,0,e_ledger.csv,"row 'Prior 12-month market-adjusted return available (>=150 daily returns)', pre_rule_treated"
ledger / Prior 12-month market-adjusted return available (>=150 daily returns) / pre-rule control,7,e_ledger.csv,"row 'Prior 12-month market-adjusted return available (>=150 daily returns)', pre_rule_control"
breach type / DISC / events,18,b_scope_events.csv,breach_type == 'DISC'
breach type / DISC / treated,2,b_scope_events.csv,"breach_type == 'DISC', fcc_form499 == 1"
breach type / DISC+HACK / events,2,b_scope_events.csv,breach_type == 'DISC+HACK'
breach type / DISC+HACK / treated,0,b_scope_events.csv,"breach_type == 'DISC+HACK', fcc_form499 == 1"
breach type / HACK / events,296,b_scope_events.csv,breach_type == 'HACK'
breach type / HACK / treated,64,b_scope_events.csv,"breach_type == 'HACK', fcc_form499 == 1"
breach type / HACK+INSD / events,5,b_scope_events.csv,breach_type == 'HACK+INSD'
breach type / HACK+INSD / treated,3,b_scope_events.csv,"breach_type == 'HACK+INSD', fcc_form499 == 1"
breach type / HACK+PORT / events,2,b_scope_events.csv,breach_type == 'HACK+PORT'
breach type / HACK+PORT / treated,1,b_scope_events.csv,"breach_type == 'HACK+PORT', fcc_form499 == 1"
breach type / INSD / events,47,b_scope_events.csv,breach_type == 'INSD'
breach type / INSD / treated,22,b_scope_events.csv,"breach_type == 'INSD', fcc_form499 == 1"
breach type / PHYS / events,16,b_scope_events.csv,breach_type == 'PHYS'
breach type / PHYS / treated,12,b_scope_events.csv,"breach_type == 'PHYS', fcc_form499 == 1"
breach type / PORT / events,26,b_scope_events.csv,breach_type == 'PORT'
breach type / PORT / treated,5,b_scope_events.csv,"breach_type == 'PORT', fcc_form499 == 1"
analysis sample / N,405,e_analysis_sample.csv,in_analysis_sample == 1
analysis sample / treated,109,e_analysis_sample.csv,fcc_form499 == 1
analysis sample / control,296,e_analysis_sample.csv,fcc_form499 == 0
T-Mobile / events in the treated set,26,e_analysis_sample.csv,"final_cik == 1283699, treated"
T-Mobile / share of treated events,23.9%,e_analysis_sample.csv,computed from final_cik == 1283699
T-Mobile + Sprint / share of treated events,34.9%,e_analysis_sample.csv,"final_cik in (1283699, 101830)"
anchor diagnostic / breach+180d ends before reported_date / treated,11.9%,e_analysis_sample.csv,"bd180_before_rd mean, fcc_form499 == 1"
anchor diagnostic / breach+180d ends before reported_date / control,14.9%,e_analysis_sample.csv,"bd180_before_rd mean, fcc_form499 == 0"
censoring / events censored at 30d (rd anchor),0,232_censoring.csv,censored_30_rd == 1
censoring / events censored at 90d (rd anchor),0,232_censoring.csv,censored_90_rd == 1
censoring / events censored at 180d (rd anchor),0,232_censoring.csv,censored_180_rd == 1
censoring / minimum margin (days),26,232_censoring.csv,min(last_filing - (t0_rd + 180d))
censoring / median margin (days),"2,718",232_censoring.csv,median(last_filing - (t0_rd + 180d))
censoring / tightest event,"NextGen Healthcare, Inc. 2023-03-29",232_censoring.csv,argmin of the margin
F1 30d / clusters G,119,f1_ladder.csv,"window == 30, G"
F1 30d / treated clusters G1,13,f1_ladder.csv,"window == 30, G1"
F1 30d / effective clusters G*,24.5,f1_ladder.csv,"window == 30, G_star"
F1 30d / cluster-size CV,2.328,f1_ladder.csv,"window == 30, cluster_size_cv"
F1 30d / coefficient,0.0031,f1_ladder.csv,"window == 30, coef"
F1 30d / CV3 SE,0.0338,f1_ladder.csv,"window == 30, se_cv3"
F1 30d / MDE80,0.0956,f1_ladder.csv,"window == 30, mde80_cv3"
F1 30d / control base rate,0.0439,f1_ladder.csv,"window == 30, control_mean"
F1 30d / treated rate,0.0367,f1_ladder.csv,"window == 30, treated_mean"
F1 30d / CV3 p,p = .927,f1_ladder.csv,"window == 30, p_cv3"
F1 30d / WCR p,p = .914,f1_ladder.csv,"window == 30, p_wcr"
F1 90d / clusters G,119,f1_ladder.csv,"window == 90, G"
F1 90d / treated clusters G1,13,f1_ladder.csv,"window == 90, G1"
F1 90d / effective clusters G*,24.5,f1_ladder.csv,"window == 90, G_star"
F1 90d / cluster-size CV,2.328,f1_ladder.csv,"window == 90, cluster_size_cv"
F1 90d / coefficient,-0.0252,f1_ladder.csv,"window == 90, coef"
F1 90d / CV3 SE,0.0824,f1_ladder.csv,"window == 90, se_cv3"
F1 90d / MDE80,0.2328,f1_ladder.csv,"window == 90, mde80_cv3"
F1 90d / control base rate,0.1453,f1_ladder.csv,"window == 90, control_mean"
F1 90d / treated rate,0.1101,f1_ladder.csv,"window == 90, treated_mean"
F1 90d / CV3 p,p = .760,f1_ladder.csv,"window == 90, p_cv3"
F1 90d / WCR p,p = .702,f1_ladder.csv,"window == 90, p_wcr"
F1 180d / clusters G,119,f1_ladder.csv,"window == 180, G"
F1 180d / treated clusters G1,13,f1_ladder.csv,"window == 180, G1"
F1 180d / effective clusters G*,24.5,f1_ladder.csv,"window == 180, G_star"
F1 180d / cluster-size CV,2.328,f1_ladder.csv,"window == 180, cluster_size_cv"
F1 180d / coefficient,0.0383,f1_ladder.csv,"window == 180, coef"
F1 180d / CV3 SE,0.1000,f1_ladder.csv,"window == 180, se_cv3"
F1 180d / MDE80,0.2826,f1_ladder.csv,"window == 180, mde80_cv3"
F1 180d / control base rate,0.2466,f1_ladder.csv,"window == 180, control_mean"
F1 180d / treated rate,0.3119,f1_ladder.csv,"window == 180, treated_mean"
F1 180d / CV3 p,p = .703,f1_ladder.csv,"window == 180, p_cv3"
F1 180d / WCR p,p = .662,f1_ladder.csv,"window == 180, p_wcr"
placebo / coefficient,-0.0833,f4_placebo.csv,coef
placebo / CV3 p,p = .319,f4_placebo.csv,p_cv3
placebo / WCR p,p = .239,f4_placebo.csv,p_wcr
CEO-only / 30d / treated events,0,f5_ceo.csv,"window == 30, treated_events"
CEO-only / 30d / control events,1,f5_ceo.csv,"window == 30, control_events"
CEO-only / 90d / treated events,4,f5_ceo.csv,"window == 90, treated_events"
CEO-only / 90d / control events,8,f5_ceo.csv,"window == 90, control_events"
CEO-only / 180d / treated events,8,f5_ceo.csv,"window == 180, treated_events"
CEO-only / 180d / control events,24,f5_ceo.csv,"window == 180, control_events"
director-only / 30d / treated events,8,f6_director.csv,"window == 30, treated_events"
director-only / 30d / control events,4,f6_director.csv,"window == 30, control_events"
director-only / 90d / treated events,18,f6_director.csv,"window == 90, treated_events"
director-only / 90d / control events,20,f6_director.csv,"window == 90, control_events"
director-only / 180d / treated events,21,f6_director.csv,"window == 180, treated_events"
director-only / 180d / control events,56,f6_director.csv,"window == 180, control_events"
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / exec_departure / n,80,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=exec_departure; n
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / exec_departure / agreement,0.9125,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=exec_departure; agreement
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / exec_departure / kappa,0.8034,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=exec_departure; kappa
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / exec_departure / reference positives,29,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=exec_departure; ref_Y
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / exec_departure / classifier positives,24,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=exec_departure; clf_Y
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / exec_departure / precision,0.9583,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=exec_departure; precision
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / exec_departure / recall,0.7931,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=exec_departure; recall
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / ceo_departure / n,80,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=ceo_departure; n
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / ceo_departure / agreement,0.9625,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=ceo_departure; agreement
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / ceo_departure / kappa,0.7073,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=ceo_departure; kappa
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / ceo_departure / reference positives,6,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=ceo_departure; ref_Y
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / ceo_departure / classifier positives,5,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=ceo_departure; clf_Y
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / ceo_departure / precision,0.8000,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=ceo_departure; precision
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / ceo_departure / recall,0.6667,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=ceo_departure; recall
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / director_only_departure / n,80,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=director_only_departure; n
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / director_only_departure / agreement,0.9625,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=director_only_departure; agreement
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / director_only_departure / kappa,0.8582,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=director_only_departure; kappa
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / director_only_departure / reference positives,14,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=director_only_departure; ref_Y
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / director_only_departure / classifier positives,11,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=director_only_departure; clf_Y
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / director_only_departure / precision,1.0000,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=director_only_departure; precision
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / director_only_departure / recall,0.7857,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=director_only_departure; recall
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / pre_announced / n,80,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=pre_announced; n
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / pre_announced / agreement,0.8875,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=pre_announced; agreement
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / pre_announced / kappa,0.6980,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=pre_announced; kappa
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / pre_announced / reference positives,20,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=pre_announced; ref_Y
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / pre_announced / classifier positives,12,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=pre_announced; clf_Y
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / pre_announced / precision,1.0000,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=pre_announced; precision
validation / v3 round 1 / classifier v1 (d39bc6d) / subset all 80 / variant A / stratum combined / pre_announced / recall,0.6000,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=all 80; stratum=combined; field=pre_announced; recall
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / exec_departure / n,73,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=exec_departure; n
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / exec_departure / agreement,0.9452,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=exec_departure; agreement
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / exec_departure / kappa,0.8760,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=exec_departure; kappa
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / exec_departure / reference positives,25,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=exec_departure; ref_Y
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / exec_departure / classifier positives,23,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=exec_departure; clf_Y
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / exec_departure / precision,0.9565,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=exec_departure; precision
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / exec_departure / recall,0.8800,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=exec_departure; recall
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / ceo_departure / n,73,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=ceo_departure; n
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / ceo_departure / agreement,0.9726,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=ceo_departure; agreement
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / ceo_departure / kappa,0.7853,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=ceo_departure; kappa
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / ceo_departure / reference positives,5,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=ceo_departure; ref_Y
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / ceo_departure / classifier positives,5,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=ceo_departure; clf_Y
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / ceo_departure / precision,0.8000,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=ceo_departure; precision
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / ceo_departure / recall,0.8000,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=ceo_departure; recall
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / director_only_departure / n,73,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=director_only_departure; n
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / director_only_departure / agreement,0.9589,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=director_only_departure; agreement
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / director_only_departure / kappa,0.8192,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=director_only_departure; kappa
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / director_only_departure / reference positives,11,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=director_only_departure; ref_Y
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / director_only_departure / classifier positives,8,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=director_only_departure; clf_Y
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / director_only_departure / precision,1.0000,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=director_only_departure; precision
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / director_only_departure / recall,0.7273,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=director_only_departure; recall
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / pre_announced / n,73,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=pre_announced; n
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / pre_announced / agreement,0.8904,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=pre_announced; agreement
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / pre_announced / kappa,0.7191,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=pre_announced; kappa
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / pre_announced / reference positives,19,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=pre_announced; ref_Y
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / pre_announced / classifier positives,12,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=pre_announced; clf_Y
validation / v3 round 1 / classifier v1 (d39bc6d) / subset excl. T-Mobile calibration 7 / variant A / stratum combined / pre_announced / precision,1.0000,d3_agreement.csv,round=v3 round 1; classifier=v1 (d39bc6d); subset=excl. T-Mobile calibration 7; stratum=combined; field=pre_announced; precision
